k,P0_FKP_map0_tracer0,P2_FKP_map0_tracer0,P4_FKP_map0_tracer0
0.00721238898038469,89255.13757139159,7239.044292826629,-193018.4474614373
0.017212388980384692,80035.98580545162,8796.550517535738,92485.19572699498
0.02721238898038469,69227.52693904313,-4128.295284554469,-14695.05160076867
0.037212388980384696,66327.53870769244,7681.503082423816,9349.472432171298
0.04721238898038469,46548.44669374733,15006.45680634473,6656.074346695599
0.0572123889803847,42761.20438698743,-1709.5786969459548,-5268.118294881953
0.0672123889803847,40030.27339811592,7515.033513944388,21498.62836486557
0.0772123889803847,35236.38889591676,3938.733215388919,-6749.34302608577
0.08721238898038469,29238.596979478985,1223.861791256934,2267.3015010168842
0.0972123889803847,25432.04307631269,-3315.427359609577,4078.966168491653
0.10721238898038471,21791.834239569194,1700.937250113625,3260.935039134244
0.11721238898038469,21498.426222636237,916.4772528342253,5575.517954890986
0.1272123889803847,18494.79951424945,-157.2911818180859,-2818.2726359552753
0.1372123889803847,17320.5183522419,2627.2950627531623,2948.420046219614
0.1472123889803847,13703.25034254105,953.7064577205165,557.7024937291579
0.1572123889803847,14183.79770450582,1468.6252948514116,305.50643447583343
0.1672123889803847,11755.660140563155,882.938040564216,2001.4217741682387
0.17721238898038472,11255.982095781761,97.32348873409751,-532.1158348629459
0.18721238898038473,10681.228506238733,1943.3966558244565,1035.398687106176
0.19721238898038473,9802.015830217651,539.5006352552116,545.9871926260678
0.20721238898038472,9729.31983503355,1042.9465261263429,2633.5980524612437
0.2172123889803847,8643.360131107796,1296.711250442383,2599.3704428280953
0.22721238898038468,7539.428985483818,1065.6467864462256,-919.4349737978927
0.23721238898038474,7088.089370525442,960.2706366430132,2105.6134382848986
0.24721238898038472,6655.010030487322,942.0481995579288,1087.348410835312
0.25721238898038473,6251.425925711406,18.06825208340501,1599.743013920369
0.2672123889803847,6131.842972028327,1753.1339799075233,1582.4916332458176
0.2772123889803847,5342.4630817886,1142.5448389009969,-302.94643882474594
0.28721238898038465,5011.3401112188985,701.3342336932924,1082.3833501952927
0.29721238898038477,4668.359681459091,1537.1187943380705,1155.496814439383
0.3072123889803847,4395.459563574676,661.1029725624151,1163.2620441105453
0.31721238898038473,4275.918583324012,525.3854725766125,1390.6982442516514
0.3272123889803847,4372.080193665494,905.207615826393,695.3810760898825
0.3372123889803847,3668.0654769050107,1077.9972610041473,890.3883932074239
0.34721238898038476,3704.299297020328,706.5853791650138,473.9215066885192
0.3572123889803847,3161.5570228031215,1311.8966318355467,112.60319824993294
0.3672123889803847,3227.2155219526676,1221.5061877538362,216.95063093330063
0.3772123889803847,3049.4656246112277,1103.6388163605386,1048.0638313506704
0.3872123889803847,2787.1359899584018,503.0921746335462,806.9807106786625
0.39721238898038475,2543.6593952861454,1377.1150595757526,1169.2611425646453
0.40721238898038475,2838.931534147805,855.8135304405861,1181.913823544265
0.4172123889803847,2295.222351085844,1070.9119993309541,142.36138436087225
0.4272123889803847,2276.2492325767203,198.7018129636052,1441.2109159869865
0.4372123889803847,2282.844219228068,1051.9064322338859,1115.7405640833424
0.4472123889803847,2142.9133136742885,1123.0310509077772,370.26169156192606
0.4572123889803847,2123.135473624344,906.3854636583394,1040.6228725577637
0.46721238898038475,1996.4725983565147,784.9391121014166,351.8792910350952
0.4772123889803847,1735.7875299880775,966.8751890010458,1124.2080450177186
0.4872123889803847,1768.930357314364,218.4802664267586,743.2790533251035
