#           k/h    P           
   0.100000E-03   0.157511E+03
   0.102020E-03   0.160571E+03
   0.104081E-03   0.163690E+03
   0.106184E-03   0.166869E+03
   0.108329E-03   0.170111E+03
   0.110517E-03   0.173415E+03
   0.112750E-03   0.176783E+03
   0.115027E-03   0.180217E+03
   0.117351E-03   0.183717E+03
   0.119722E-03   0.187285E+03
   0.122140E-03   0.190923E+03
   0.124608E-03   0.194630E+03
   0.127125E-03   0.198410E+03
   0.129693E-03   0.202263E+03
   0.132313E-03   0.206191E+03
   0.134986E-03   0.210195E+03
   0.137713E-03   0.214277E+03
   0.140495E-03   0.218437E+03
   0.143333E-03   0.222679E+03
   0.146228E-03   0.227002E+03
   0.149182E-03   0.231409E+03
   0.152196E-03   0.235902E+03
   0.155271E-03   0.240482E+03
   0.158407E-03   0.245150E+03
   0.161607E-03   0.249909E+03
   0.164872E-03   0.254760E+03
   0.168203E-03   0.259705E+03
   0.171601E-03   0.264745E+03
   0.175067E-03   0.269883E+03
   0.178604E-03   0.275121E+03
   0.182212E-03   0.280460E+03
   0.185893E-03   0.285902E+03
   0.189648E-03   0.291450E+03
   0.193479E-03   0.297104E+03
   0.197388E-03   0.302868E+03
   0.201375E-03   0.308744E+03
   0.205443E-03   0.314733E+03
   0.209594E-03   0.320838E+03
   0.213828E-03   0.327060E+03
   0.218147E-03   0.333403E+03
   0.222554E-03   0.339868E+03
   0.227050E-03   0.346458E+03
   0.231637E-03   0.353176E+03
   0.236316E-03   0.360022E+03
   0.241090E-03   0.367001E+03
   0.245960E-03   0.374115E+03
   0.250929E-03   0.381365E+03
   0.255998E-03   0.388756E+03
   0.261170E-03   0.396288E+03
   0.266446E-03   0.403966E+03
   0.271828E-03   0.411791E+03
   0.277319E-03   0.419767E+03
   0.282922E-03   0.427896E+03
   0.288637E-03   0.436182E+03
   0.294468E-03   0.444627E+03
   0.300417E-03   0.453234E+03
   0.306485E-03   0.462006E+03
   0.312677E-03   0.470947E+03
   0.318993E-03   0.480059E+03
   0.325437E-03   0.489345E+03
   0.332012E-03   0.498810E+03
   0.338719E-03   0.508456E+03
   0.345561E-03   0.518287E+03
   0.352542E-03   0.528305E+03
   0.359664E-03   0.538515E+03
   0.366930E-03   0.548920E+03
   0.374342E-03   0.559524E+03
   0.381904E-03   0.570330E+03
   0.389619E-03   0.581342E+03
   0.397490E-03   0.592564E+03
   0.405520E-03   0.604000E+03
   0.413712E-03   0.615653E+03
   0.422070E-03   0.627527E+03
   0.430596E-03   0.639627E+03
   0.439295E-03   0.651957E+03
   0.448169E-03   0.664520E+03
   0.457222E-03   0.677322E+03
   0.466459E-03   0.690365E+03
   0.475882E-03   0.703655E+03
   0.485496E-03   0.717196E+03
   0.495303E-03   0.730993E+03
   0.505309E-03   0.745049E+03
   0.515517E-03   0.759370E+03
   0.525931E-03   0.773961E+03
   0.536556E-03   0.788825E+03
   0.547395E-03   0.803968E+03
   0.558453E-03   0.819395E+03
   0.569734E-03   0.835111E+03
   0.581244E-03   0.851120E+03
   0.592986E-03   0.867428E+03
   0.604965E-03   0.884040E+03
   0.617186E-03   0.900960E+03
   0.629654E-03   0.918195E+03
   0.642374E-03   0.935750E+03
   0.655350E-03   0.953630E+03
   0.668589E-03   0.971841E+03
   0.682096E-03   0.990388E+03
   0.695875E-03   0.100928E+04
   0.709933E-03   0.102851E+04
   0.724274E-03   0.104810E+04
   0.738906E-03   0.106805E+04
   0.753832E-03   0.108836E+04
   0.769061E-03   0.110905E+04
   0.784597E-03   0.113011E+04
   0.800447E-03   0.115155E+04
   0.816617E-03   0.117338E+04
   0.833114E-03   0.119561E+04
   0.849944E-03   0.121824E+04
   0.867114E-03   0.124128E+04
   0.884631E-03   0.126473E+04
   0.902501E-03   0.128861E+04
   0.920733E-03   0.131291E+04
   0.939333E-03   0.133764E+04
   0.958309E-03   0.136281E+04
   0.977668E-03   0.138844E+04
   0.997418E-03   0.141451E+04
   0.101757E-02   0.144105E+04
   0.103812E-02   0.146805E+04
   0.105910E-02   0.149553E+04
   0.108049E-02   0.152349E+04
   0.110232E-02   0.155193E+04
   0.112459E-02   0.158088E+04
   0.114730E-02   0.161032E+04
   0.117048E-02   0.164027E+04
   0.119413E-02   0.167074E+04
   0.121825E-02   0.170173E+04
   0.124286E-02   0.173326E+04
   0.126797E-02   0.176532E+04
   0.129358E-02   0.179792E+04
   0.131971E-02   0.183108E+04
   0.134637E-02   0.186479E+04
   0.137357E-02   0.189907E+04
   0.140132E-02   0.193392E+04
   0.142963E-02   0.196935E+04
   0.145851E-02   0.200537E+04
   0.148797E-02   0.204198E+04
   0.151803E-02   0.207920E+04
   0.154870E-02   0.211702E+04
   0.157998E-02   0.215545E+04
   0.161190E-02   0.219450E+04
   0.164446E-02   0.223418E+04
   0.167768E-02   0.227449E+04
   0.171158E-02   0.231545E+04
   0.174615E-02   0.235705E+04
   0.178143E-02   0.239930E+04
   0.181741E-02   0.244221E+04
   0.185413E-02   0.248578E+04
   0.189158E-02   0.253002E+04
   0.192980E-02   0.257494E+04
   0.196878E-02   0.262054E+04
   0.200855E-02   0.266683E+04
   0.204913E-02   0.271380E+04
   0.209052E-02   0.276147E+04
   0.213276E-02   0.280985E+04
   0.217584E-02   0.285892E+04
   0.221979E-02   0.290871E+04
   0.226464E-02   0.295921E+04
   0.231039E-02   0.301042E+04
   0.235706E-02   0.306236E+04
   0.240467E-02   0.311501E+04
   0.245325E-02   0.316839E+04
   0.250281E-02   0.322250E+04
   0.255337E-02   0.327734E+04
   0.260495E-02   0.333291E+04
   0.265758E-02   0.338921E+04
   0.271126E-02   0.344624E+04
   0.276603E-02   0.350401E+04
   0.282191E-02   0.356251E+04
   0.287892E-02   0.362174E+04
   0.293708E-02   0.368170E+04
   0.299641E-02   0.374239E+04
   0.305694E-02   0.380381E+04
   0.311870E-02   0.386595E+04
   0.318170E-02   0.392882E+04
   0.324597E-02   0.399240E+04
   0.331155E-02   0.405670E+04
   0.337844E-02   0.412170E+04
   0.344669E-02   0.418741E+04
   0.351632E-02   0.425381E+04
   0.358735E-02   0.432090E+04
   0.365982E-02   0.438867E+04
   0.373376E-02   0.445712E+04
   0.380918E-02   0.452622E+04
   0.388613E-02   0.459598E+04
   0.396464E-02   0.466638E+04
   0.404473E-02   0.473741E+04
   0.412644E-02   0.480906E+04
   0.420980E-02   0.488130E+04
   0.429484E-02   0.495414E+04
   0.438160E-02   0.502754E+04
   0.447012E-02   0.510150E+04
   0.456042E-02   0.517600E+04
   0.465255E-02   0.525101E+04
   0.474653E-02   0.532653E+04
   0.484242E-02   0.540251E+04
   0.494024E-02   0.547895E+04
   0.504004E-02   0.555583E+04
   0.514186E-02   0.563310E+04
   0.524573E-02   0.571076E+04
   0.535170E-02   0.578877E+04
   0.545981E-02   0.586711E+04
   0.557011E-02   0.594574E+04
   0.568263E-02   0.602463E+04
   0.579743E-02   0.610375E+04
   0.591455E-02   0.618307E+04
   0.603403E-02   0.626255E+04
   0.615592E-02   0.634216E+04
   0.628028E-02   0.642185E+04
   0.640715E-02   0.650158E+04
   0.653658E-02   0.658132E+04
   0.666863E-02   0.666102E+04
   0.680335E-02   0.674063E+04
   0.694078E-02   0.682011E+04
   0.708100E-02   0.689941E+04
   0.722404E-02   0.697848E+04
   0.736998E-02   0.705727E+04
   0.751886E-02   0.713573E+04
   0.767075E-02   0.721379E+04
   0.782571E-02   0.729141E+04
   0.798380E-02   0.736852E+04
   0.814509E-02   0.744506E+04
   0.830963E-02   0.752097E+04
   0.847750E-02   0.759619E+04
   0.864875E-02   0.767064E+04
   0.882347E-02   0.774427E+04
   0.900171E-02   0.781700E+04
   0.918356E-02   0.788875E+04
   0.936908E-02   0.795946E+04
   0.955835E-02   0.802905E+04
   0.975144E-02   0.809744E+04
   0.994843E-02   0.816455E+04
   0.101494E-01   0.823029E+04
   0.103544E-01   0.829460E+04
   0.105636E-01   0.835737E+04
   0.107770E-01   0.841853E+04
   0.109947E-01   0.847798E+04
   0.112168E-01   0.853564E+04
   0.114434E-01   0.859141E+04
   0.116746E-01   0.864519E+04
   0.119104E-01   0.869691E+04
   0.121510E-01   0.874645E+04
   0.123965E-01   0.879373E+04
   0.126469E-01   0.883864E+04
   0.129024E-01   0.888109E+04
   0.131631E-01   0.892097E+04
   0.134290E-01   0.895819E+04
   0.137003E-01   0.899264E+04
   0.139770E-01   0.902423E+04
   0.142594E-01   0.905285E+04
   0.145474E-01   0.907840E+04
   0.148413E-01   0.910079E+04
   0.151411E-01   0.911992E+04
   0.154470E-01   0.913569E+04
   0.157590E-01   0.914800E+04
   0.160774E-01   0.915676E+04
   0.164022E-01   0.916188E+04
   0.167335E-01   0.916328E+04
   0.170716E-01   0.916086E+04
   0.174164E-01   0.915455E+04
   0.177683E-01   0.914427E+04
