#    L    TT             EE             TE             PP             TP          
   689   0.174803E+04   0.374478E+02  -0.786852E+02   0.525938E+06   0.158824E+03
   690   0.175092E+04   0.374430E+02  -0.803184E+02   0.524667E+06   0.159637E+03
   691   0.175400E+04   0.374321E+02  -0.819404E+02   0.523400E+06   0.160440E+03
   692   0.175725E+04   0.374152E+02  -0.835504E+02   0.522138E+06   0.161234E+03
   693   0.176068E+04   0.373922E+02  -0.851478E+02   0.520881E+06   0.162018E+03
   694   0.176428E+04   0.373633E+02  -0.867311E+02   0.519628E+06   0.162793E+03
   695   0.176807E+04   0.373283E+02  -0.883003E+02   0.518379E+06   0.163557E+03
   696   0.177201E+04   0.372872E+02  -0.898539E+02   0.517135E+06   0.164312E+03
   697   0.177613E+04   0.372402E+02  -0.913920E+02   0.515895E+06   0.165056E+03
   698   0.178041E+04   0.371871E+02  -0.929131E+02   0.514660E+06   0.165789E+03
   699   0.178486E+04   0.371281E+02  -0.944173E+02   0.513429E+06   0.166513E+03
   700   0.178946E+04   0.370632E+02  -0.959038E+02   0.512203E+06   0.167225E+03
   701   0.179423E+04   0.369924E+02  -0.973720E+02   0.510980E+06   0.167926E+03
   702   0.179914E+04   0.369156E+02  -0.988210E+02   0.509763E+06   0.168617E+03
   703   0.180421E+04   0.368332E+02  -0.100251E+03   0.508549E+06   0.169297E+03
   704   0.180945E+04   0.367448E+02  -0.101660E+03   0.507340E+06   0.169965E+03
   705   0.181481E+04   0.366508E+02  -0.103048E+03   0.506135E+06   0.170623E+03
   706   0.182034E+04   0.365511E+02  -0.104414E+03   0.504934E+06   0.171270E+03
   707   0.182600E+04   0.364459E+02  -0.105757E+03   0.503737E+06   0.171906E+03
   708   0.183179E+04   0.363349E+02  -0.107079E+03   0.502545E+06   0.172530E+03
   709   0.183773E+04   0.362186E+02  -0.108377E+03   0.501357E+06   0.173144E+03
   710   0.184380E+04   0.360967E+02  -0.109651E+03   0.500173E+06   0.173746E+03
   711   0.185000E+04   0.359695E+02  -0.110901E+03   0.498993E+06   0.174337E+03
   712   0.185634E+04   0.358368E+02  -0.112126E+03   0.497818E+06   0.174918E+03
   713   0.186279E+04   0.356989E+02  -0.113324E+03   0.496646E+06   0.175487E+03
   714   0.186936E+04   0.355557E+02  -0.114496E+03   0.495478E+06   0.176044E+03
   715   0.187606E+04   0.354073E+02  -0.115642E+03   0.494315E+06   0.176591E+03
   716   0.188286E+04   0.352537E+02  -0.116761E+03   0.493156E+06   0.177126E+03
   717   0.188977E+04   0.350950E+02  -0.117851E+03   0.492000E+06   0.177650E+03
   718   0.189679E+04   0.349311E+02  -0.118912E+03   0.490849E+06   0.178163E+03
   719   0.190392E+04   0.347624E+02  -0.119944E+03   0.489702E+06   0.178665E+03
   720   0.191114E+04   0.345887E+02  -0.120948E+03   0.488558E+06   0.179155E+03
   721   0.191845E+04   0.344103E+02  -0.121921E+03   0.487419E+06   0.179634E+03
   722   0.192586E+04   0.342272E+02  -0.122865E+03   0.486283E+06   0.180101E+03
   723   0.193337E+04   0.340396E+02  -0.123778E+03   0.485152E+06   0.180557E+03
   724   0.194096E+04   0.338475E+02  -0.124661E+03   0.484024E+06   0.181001E+03
   725   0.194864E+04   0.336511E+02  -0.125512E+03   0.482900E+06   0.181435E+03
   726   0.195640E+04   0.334504E+02  -0.126332E+03   0.481781E+06   0.181856E+03
   727   0.196424E+04   0.332455E+02  -0.127120E+03   0.480665E+06   0.182266E+03
   728   0.197216E+04   0.330365E+02  -0.127877E+03   0.479552E+06   0.182665E+03
   729   0.198013E+04   0.328236E+02  -0.128600E+03   0.478444E+06   0.183052E+03
   730   0.198818E+04   0.326066E+02  -0.129291E+03   0.477339E+06   0.183427E+03
   731   0.199630E+04   0.323859E+02  -0.129948E+03   0.476238E+06   0.183791E+03
   732   0.200447E+04   0.321614E+02  -0.130572E+03   0.475141E+06   0.184143E+03
   733   0.201269E+04   0.319333E+02  -0.131162E+03   0.474048E+06   0.184484E+03
   734   0.202097E+04   0.317015E+02  -0.131716E+03   0.472958E+06   0.184813E+03
   735   0.202928E+04   0.314664E+02  -0.132237E+03   0.471872E+06   0.185130E+03
   736   0.203765E+04   0.312280E+02  -0.132723E+03   0.470790E+06   0.185435E+03
   737   0.204605E+04   0.309863E+02  -0.133174E+03   0.469711E+06   0.185729E+03
   738   0.205448E+04   0.307415E+02  -0.133590E+03   0.468636E+06   0.186011E+03
   739   0.206294E+04   0.304937E+02  -0.133970E+03   0.467565E+06   0.186281E+03
   740   0.207143E+04   0.302430E+02  -0.134313E+03   0.466497E+06   0.186540E+03
   741   0.207993E+04   0.299896E+02  -0.134621E+03   0.465433E+06   0.186786E+03
   742   0.208845E+04   0.297336E+02  -0.134894E+03   0.464372E+06   0.187021E+03
   743   0.209698E+04   0.294751E+02  -0.135130E+03   0.463315E+06   0.187244E+03
   744   0.210552E+04   0.292142E+02  -0.135329E+03   0.462261E+06   0.187455E+03
   745   0.211405E+04   0.289511E+02  -0.135492E+03   0.461211E+06   0.187654E+03
   746   0.212258E+04   0.286859E+02  -0.135620E+03   0.460164E+06   0.187841E+03
   747   0.213111E+04   0.284186E+02  -0.135710E+03   0.459121E+06   0.188016E+03
   748   0.213962E+04   0.281495E+02  -0.135763E+03   0.458081E+06   0.188179E+03
   749   0.214812E+04   0.278785E+02  -0.135780E+03   0.457045E+06   0.188330E+03
   750   0.215660E+04   0.276059E+02  -0.135761E+03   0.456012E+06   0.188469E+03
   751   0.216505E+04   0.273317E+02  -0.135705E+03   0.454982E+06   0.188596E+03
   752   0.217346E+04   0.270562E+02  -0.135611E+03   0.453956E+06   0.188711E+03
   753   0.218185E+04   0.267792E+02  -0.135482E+03   0.452933E+06   0.188814E+03
   754   0.219021E+04   0.265010E+02  -0.135315E+03   0.451914E+06   0.188905E+03
   755   0.219852E+04   0.262219E+02  -0.135112E+03   0.450898E+06   0.188984E+03
   756   0.220678E+04   0.259418E+02  -0.134872E+03   0.449885E+06   0.189051E+03
   757   0.221501E+04   0.256610E+02  -0.134596E+03   0.448875E+06   0.189107E+03
   758   0.222320E+04   0.253796E+02  -0.134284E+03   0.447869E+06   0.189151E+03
   759   0.223133E+04   0.250977E+02  -0.133937E+03   0.446866E+06   0.189183E+03
   760   0.223941E+04   0.248154E+02  -0.133553E+03   0.445866E+06   0.189203E+03
   761   0.224743E+04   0.245330E+02  -0.133133E+03   0.444870E+06   0.189212E+03
   762   0.225538E+04   0.242504E+02  -0.132678E+03   0.443876E+06   0.189210E+03
   763   0.226328E+04   0.239679E+02  -0.132187E+03   0.442886E+06   0.189196E+03
   764   0.227110E+04   0.236854E+02  -0.131660E+03   0.441899E+06   0.189171E+03
   765   0.227883E+04   0.234032E+02  -0.131097E+03   0.440916E+06   0.189134E+03
   766   0.228650E+04   0.231214E+02  -0.130499E+03   0.439935E+06   0.189086E+03
   767   0.229407E+04   0.228400E+02  -0.129864E+03   0.438958E+06   0.189027E+03
   768   0.230155E+04   0.225592E+02  -0.129193E+03   0.437984E+06   0.188956E+03
   769   0.230893E+04   0.222793E+02  -0.128488E+03   0.437012E+06   0.188875E+03
   770   0.231621E+04   0.220002E+02  -0.127749E+03   0.436044E+06   0.188782E+03
   771   0.232339E+04   0.217221E+02  -0.126975E+03   0.435080E+06   0.188678E+03
   772   0.233046E+04   0.214453E+02  -0.126166E+03   0.434118E+06   0.188564E+03
   773   0.233742E+04   0.211698E+02  -0.125324E+03   0.433159E+06   0.188438E+03
   774   0.234425E+04   0.208958E+02  -0.124449E+03   0.432203E+06   0.188302E+03
   775   0.235097E+04   0.206233E+02  -0.123541E+03   0.431251E+06   0.188154E+03
   776   0.235757E+04   0.203526E+02  -0.122601E+03   0.430301E+06   0.187996E+03
   777   0.236406E+04   0.200837E+02  -0.121628E+03   0.429354E+06   0.187827E+03
   778   0.237042E+04   0.198168E+02  -0.120625E+03   0.428411E+06   0.187648E+03
   779   0.237666E+04   0.195519E+02  -0.119590E+03   0.427470E+06   0.187457E+03
   780   0.238277E+04   0.192892E+02  -0.118525E+03   0.426532E+06   0.187257E+03
   781   0.238876E+04   0.190288E+02  -0.117430E+03   0.425598E+06   0.187045E+03
   782   0.239462E+04   0.187708E+02  -0.116306E+03   0.424666E+06   0.186824E+03
   783   0.240035E+04   0.185153E+02  -0.115151E+03   0.423737E+06   0.186591E+03
   784   0.240594E+04   0.182624E+02  -0.113967E+03   0.422811E+06   0.186349E+03
   785   0.241138E+04   0.180121E+02  -0.112753E+03   0.421888E+06   0.186096E+03
   786   0.241667E+04   0.177647E+02  -0.111510E+03   0.420968E+06   0.185833E+03
   787   0.242181E+04   0.175202E+02  -0.110239E+03   0.420051E+06   0.185559E+03
   788   0.242680E+04   0.172787E+02  -0.108938E+03   0.419136E+06   0.185276E+03
   789   0.243161E+04   0.170404E+02  -0.107610E+03   0.418225E+06   0.184982E+03
   790   0.243626E+04   0.168054E+02  -0.106253E+03   0.417316E+06   0.184678E+03
   791   0.244075E+04   0.165738E+02  -0.104871E+03   0.416410E+06   0.184364E+03
   792   0.244507E+04   0.163458E+02  -0.103463E+03   0.415507E+06   0.184041E+03
   793   0.244922E+04   0.161215E+02  -0.102031E+03   0.414606E+06   0.183707E+03
   794   0.245319E+04   0.159011E+02  -0.100574E+03   0.413709E+06   0.183363E+03
   795   0.245699E+04   0.156848E+02  -0.990955E+02   0.412814E+06   0.183010E+03
   796   0.246062E+04   0.154724E+02  -0.975935E+02   0.411922E+06   0.182647E+03
   797   0.246408E+04   0.152642E+02  -0.960699E+02   0.411032E+06   0.182274E+03
   798   0.246736E+04   0.150602E+02  -0.945245E+02   0.410146E+06   0.181892E+03
   799   0.247048E+04   0.148604E+02  -0.929582E+02   0.409262E+06   0.181500E+03
   800   0.247341E+04   0.146649E+02  -0.913701E+02   0.408380E+06   0.181098E+03
   801   0.247617E+04   0.144737E+02  -0.897625E+02   0.407502E+06   0.180687E+03
   802   0.247875E+04   0.142869E+02  -0.881346E+02   0.406626E+06   0.180267E+03
   803   0.248115E+04   0.141047E+02  -0.864872E+02   0.405752E+06   0.179837E+03
   804   0.248338E+04   0.139270E+02  -0.848215E+02   0.404882E+06   0.179398E+03
   805   0.248541E+04   0.137541E+02  -0.831370E+02   0.404014E+06   0.178950E+03
   806   0.248724E+04   0.135861E+02  -0.814358E+02   0.403148E+06   0.178493E+03
   807   0.248887E+04   0.134230E+02  -0.797164E+02   0.402285E+06   0.178027E+03
   808   0.249031E+04   0.132651E+02  -0.779817E+02   0.401425E+06   0.177553E+03
   809   0.249153E+04   0.131125E+02  -0.762310E+02   0.400567E+06   0.177070E+03
   810   0.249255E+04   0.129650E+02  -0.744649E+02   0.399712E+06   0.176579E+03
   811   0.249336E+04   0.128230E+02  -0.726851E+02   0.398860E+06   0.176079E+03
   812   0.249398E+04   0.126862E+02  -0.708923E+02   0.398010E+06   0.175571E+03
   813   0.249440E+04   0.125549E+02  -0.690873E+02   0.397162E+06   0.175055E+03
   814   0.249462E+04   0.124290E+02  -0.672711E+02   0.396317E+06   0.174530E+03
   815   0.249466E+04   0.123085E+02  -0.654444E+02   0.395475E+06   0.173998E+03
   816   0.249452E+04   0.121936E+02  -0.636082E+02   0.394635E+06   0.173459E+03
   817   0.249418E+04   0.120843E+02  -0.617629E+02   0.393797E+06   0.172911E+03
   818   0.249365E+04   0.119807E+02  -0.599087E+02   0.392963E+06   0.172356E+03
   819   0.249292E+04   0.118827E+02  -0.580462E+02   0.392130E+06   0.171794E+03
   820   0.249198E+04   0.117906E+02  -0.561755E+02   0.391300E+06   0.171224E+03
   821   0.249083E+04   0.117043E+02  -0.542973E+02   0.390473E+06   0.170647E+03
   822   0.248946E+04   0.116239E+02  -0.524115E+02   0.389648E+06   0.170063E+03
   823   0.248787E+04   0.115495E+02  -0.505189E+02   0.388825E+06   0.169472E+03
   824   0.248606E+04   0.114811E+02  -0.486204E+02   0.388005E+06   0.168874E+03
   825   0.248405E+04   0.114188E+02  -0.467171E+02   0.387187E+06   0.168269E+03
   826   0.248183E+04   0.113626E+02  -0.448102E+02   0.386372E+06   0.167658E+03
   827   0.247940E+04   0.113124E+02  -0.429009E+02   0.385559E+06   0.167040E+03
   828   0.247678E+04   0.112683E+02  -0.409902E+02   0.384748E+06   0.166416E+03
   829   0.247397E+04   0.112303E+02  -0.390793E+02   0.383940E+06   0.165785E+03
   830   0.247098E+04   0.111985E+02  -0.371693E+02   0.383134E+06   0.165149E+03
   831   0.246780E+04   0.111728E+02  -0.352604E+02   0.382330E+06   0.164506E+03
   832   0.246443E+04   0.111532E+02  -0.333532E+02   0.381529E+06   0.163857E+03
   833   0.246086E+04   0.111400E+02  -0.314478E+02   0.380730E+06   0.163203E+03
   834   0.245709E+04   0.111330E+02  -0.295447E+02   0.379934E+06   0.162543E+03
   835   0.245312E+04   0.111322E+02  -0.276442E+02   0.379140E+06   0.161877E+03
   836   0.244893E+04   0.111378E+02  -0.257464E+02   0.378348E+06   0.161206E+03
   837   0.244454E+04   0.111497E+02  -0.238521E+02   0.377558E+06   0.160529E+03
   838   0.243994E+04   0.111679E+02  -0.219619E+02   0.376771E+06   0.159847E+03
   839   0.243513E+04   0.111924E+02  -0.200769E+02   0.375986E+06   0.159160E+03
   840   0.243013E+04   0.112231E+02  -0.181979E+02   0.375203E+06   0.158468E+03
   841   0.242494E+04   0.112600E+02  -0.163261E+02   0.374422E+06   0.157771E+03
   842   0.241956E+04   0.113032E+02  -0.144622E+02   0.373644E+06   0.157070E+03
   843   0.241400E+04   0.113524E+02  -0.126074E+02   0.372868E+06   0.156363E+03
   844   0.240827E+04   0.114076E+02  -0.107625E+02   0.372094E+06   0.155652E+03
   845   0.240236E+04   0.114690E+02  -0.892806E+01   0.371322E+06   0.154937E+03
   846   0.239627E+04   0.115365E+02  -0.710475E+01   0.370553E+06   0.154217E+03
   847   0.239000E+04   0.116101E+02  -0.529302E+01   0.369785E+06   0.153493E+03
   848   0.238355E+04   0.116899E+02  -0.349345E+01   0.369020E+06   0.152765E+03
   849   0.237692E+04   0.117758E+02  -0.170656E+01   0.368257E+06   0.152033E+03
   850   0.237009E+04   0.118680E+02   0.670930E-01   0.367497E+06   0.151297E+03
   851   0.236309E+04   0.119664E+02   0.182698E+01   0.366738E+06   0.150558E+03
   852   0.235589E+04   0.120708E+02   0.357261E+01   0.365981E+06   0.149814E+03
   853   0.234852E+04   0.121813E+02   0.530346E+01   0.365227E+06   0.149067E+03
   854   0.234097E+04   0.122977E+02   0.701904E+01   0.364475E+06   0.148317E+03
   855   0.233326E+04   0.124199E+02   0.871884E+01   0.363725E+06   0.147562E+03
   856   0.232538E+04   0.125479E+02   0.104024E+02   0.362976E+06   0.146805E+03
   857   0.231736E+04   0.126814E+02   0.120692E+02   0.362230E+06   0.146044E+03
   858   0.230918E+04   0.128205E+02   0.137187E+02   0.361487E+06   0.145279E+03
   859   0.230085E+04   0.129652E+02   0.153501E+02   0.360745E+06   0.144511E+03
   860   0.229237E+04   0.131154E+02   0.169625E+02   0.360005E+06   0.143740E+03
   861   0.228374E+04   0.132710E+02   0.185550E+02   0.359267E+06   0.142966E+03
   862   0.227497E+04   0.134321E+02   0.201269E+02   0.358532E+06   0.142188E+03
   863   0.226606E+04   0.135988E+02   0.216773E+02   0.357798E+06   0.141408E+03
   864   0.225701E+04   0.137708E+02   0.232051E+02   0.357067E+06   0.140624E+03
   865   0.224781E+04   0.139484E+02   0.247099E+02   0.356337E+06   0.139837E+03
   866   0.223849E+04   0.141312E+02   0.261912E+02   0.355610E+06   0.139048E+03
   867   0.222902E+04   0.143194E+02   0.276490E+02   0.354885E+06   0.138255E+03
   868   0.221941E+04   0.145127E+02   0.290829E+02   0.354161E+06   0.137459E+03
   869   0.220968E+04   0.147111E+02   0.304931E+02   0.353440E+06   0.136661E+03
   870   0.219981E+04   0.149146E+02   0.318791E+02   0.352720E+06   0.135860E+03
   871   0.218980E+04   0.151229E+02   0.332409E+02   0.352003E+06   0.135056E+03
   872   0.217968E+04   0.153360E+02   0.345783E+02   0.351288E+06   0.134250E+03
   873   0.216943E+04   0.155538E+02   0.358908E+02   0.350574E+06   0.133441E+03
   874   0.215906E+04   0.157762E+02   0.371779E+02   0.349863E+06   0.132629E+03
   875   0.214857E+04   0.160032E+02   0.384389E+02   0.349153E+06   0.131815E+03
   876   0.213798E+04   0.162345E+02   0.396734E+02   0.348446E+06   0.130999E+03
   877   0.212728E+04   0.164700E+02   0.408806E+02   0.347740E+06   0.130180E+03
   878   0.211649E+04   0.167097E+02   0.420603E+02   0.347036E+06   0.129358E+03
   879   0.210560E+04   0.169534E+02   0.432117E+02   0.346335E+06   0.128535E+03
   880   0.209463E+04   0.172011E+02   0.443344E+02   0.345635E+06   0.127709E+03
   881   0.208356E+04   0.174527E+02   0.454279E+02   0.344937E+06   0.126881E+03
   882   0.207241E+04   0.177081E+02   0.464918E+02   0.344241E+06   0.126051E+03
   883   0.206118E+04   0.179672E+02   0.475255E+02   0.343547E+06   0.125219E+03
   884   0.204985E+04   0.182300E+02   0.485286E+02   0.342855E+06   0.124385E+03
   885   0.203845E+04   0.184964E+02   0.495005E+02   0.342164E+06   0.123549E+03
   886   0.202697E+04   0.187663E+02   0.504409E+02   0.341476E+06   0.122711E+03
   887   0.201541E+04   0.190396E+02   0.513497E+02   0.340789E+06   0.121871E+03
   888   0.200378E+04   0.193162E+02   0.522267E+02   0.340105E+06   0.121029E+03
   889   0.199207E+04   0.195959E+02   0.530721E+02   0.339422E+06   0.120185E+03
   890   0.198031E+04   0.198787E+02   0.538856E+02   0.338741E+06   0.119340E+03
   891   0.196847E+04   0.201644E+02   0.546674E+02   0.338062E+06   0.118493E+03
   892   0.195658E+04   0.204530E+02   0.554172E+02   0.337384E+06   0.117645E+03
   893   0.194463E+04   0.207442E+02   0.561352E+02   0.336709E+06   0.116795E+03
   894   0.193264E+04   0.210379E+02   0.568211E+02   0.336035E+06   0.115943E+03
   895   0.192059E+04   0.213342E+02   0.574748E+02   0.335363E+06   0.115090E+03
   896   0.190850E+04   0.216326E+02   0.580962E+02   0.334693E+06   0.114236E+03
   897   0.189637E+04   0.219332E+02   0.586852E+02   0.334025E+06   0.113380E+03
   898   0.188419E+04   0.222358E+02   0.592417E+02   0.333359E+06   0.112523E+03
   899   0.187199E+04   0.225402E+02   0.597654E+02   0.332694E+06   0.111664E+03
   900   0.185976E+04   0.228465E+02   0.602563E+02   0.332031E+06   0.110805E+03
   901   0.184750E+04   0.231542E+02   0.607143E+02   0.331370E+06   0.109944E+03
   902   0.183523E+04   0.234634E+02   0.611393E+02   0.330710E+06   0.109083E+03
   903   0.182293E+04   0.237740E+02   0.615310E+02   0.330053E+06   0.108220E+03
   904   0.181063E+04   0.240858E+02   0.618894E+02   0.329397E+06   0.107357E+03
   905   0.179831E+04   0.243987E+02   0.622145E+02   0.328743E+06   0.106492E+03
   906   0.178598E+04   0.247127E+02   0.625059E+02   0.328090E+06   0.105627E+03
   907   0.177367E+04   0.250274E+02   0.627636E+02   0.327440E+06   0.104761E+03
   908   0.176135E+04   0.253429E+02   0.629877E+02   0.326791E+06   0.103895E+03
   909   0.174903E+04   0.256591E+02   0.631782E+02   0.326144E+06   0.103028E+03
   910   0.173673E+04   0.259758E+02   0.633351E+02   0.325498E+06   0.102161E+03
   911   0.172443E+04   0.262929E+02   0.634585E+02   0.324854E+06   0.101294E+03
   912   0.171216E+04   0.266102E+02   0.635484E+02   0.324212E+06   0.100426E+03
   913   0.169990E+04   0.269278E+02   0.636049E+02   0.323572E+06   0.995584E+02
   914   0.168767E+04   0.272453E+02   0.636280E+02   0.322933E+06   0.986906E+02
   915   0.167546E+04   0.275628E+02   0.636178E+02   0.322296E+06   0.978227E+02
   916   0.166328E+04   0.278802E+02   0.635744E+02   0.321661E+06   0.969549E+02
   917   0.165113E+04   0.281971E+02   0.634979E+02   0.321027E+06   0.960873E+02
   918   0.163901E+04   0.285135E+02   0.633885E+02   0.320395E+06   0.952200E+02
   919   0.162692E+04   0.288294E+02   0.632462E+02   0.319765E+06   0.943530E+02
   920   0.161489E+04   0.291445E+02   0.630711E+02   0.319136E+06   0.934865E+02
   921   0.160288E+04   0.294587E+02   0.628634E+02   0.318509E+06   0.926204E+02
   922   0.159093E+04   0.297718E+02   0.626234E+02   0.317884E+06   0.917550E+02
   923   0.157903E+04   0.300839E+02   0.623514E+02   0.317260E+06   0.908902E+02
   924   0.156717E+04   0.303948E+02   0.620476E+02   0.316638E+06   0.900262E+02
   925   0.155538E+04   0.307042E+02   0.617124E+02   0.316017E+06   0.891630E+02
   926   0.154364E+04   0.310122E+02   0.613463E+02   0.315399E+06   0.883007E+02
   927   0.153196E+04   0.313185E+02   0.609493E+02   0.314781E+06   0.874394E+02
   928   0.152036E+04   0.316232E+02   0.605219E+02   0.314166E+06   0.865792E+02
   929   0.150883E+04   0.319260E+02   0.600643E+02   0.313552E+06   0.857202E+02
   930   0.149737E+04   0.322268E+02   0.595768E+02   0.312940E+06   0.848624E+02
   931   0.148597E+04   0.325255E+02   0.590596E+02   0.312329E+06   0.840060E+02
   932   0.147467E+04   0.328220E+02   0.585130E+02   0.311720E+06   0.831509E+02
   933   0.146344E+04   0.331161E+02   0.579372E+02   0.311112E+06   0.822974E+02
   934   0.145230E+04   0.334077E+02   0.573325E+02   0.310506E+06   0.814454E+02
   935   0.144124E+04   0.336967E+02   0.566992E+02   0.309902E+06   0.805951E+02
   936   0.143026E+04   0.339829E+02   0.560376E+02   0.309299E+06   0.797465E+02
   937   0.141938E+04   0.342663E+02   0.553480E+02   0.308698E+06   0.788998E+02
   938   0.140859E+04   0.345467E+02   0.546309E+02   0.308098E+06   0.780550E+02
   939   0.139790E+04   0.348240E+02   0.538865E+02   0.307500E+06   0.772121E+02
   940   0.138730E+04   0.350981E+02   0.531154E+02   0.306903E+06   0.763713E+02
   941   0.137681E+04   0.353689E+02   0.523176E+02   0.306308E+06   0.755327E+02
   942   0.136641E+04   0.356362E+02   0.514938E+02   0.305714E+06   0.746963E+02
   943   0.135613E+04   0.358999E+02   0.506443E+02   0.305123E+06   0.738622E+02
   944   0.134595E+04   0.361601E+02   0.497696E+02   0.304532E+06   0.730305E+02
   945   0.133588E+04   0.364165E+02   0.488701E+02   0.303943E+06   0.722013E+02
   946   0.132592E+04   0.366691E+02   0.479462E+02   0.303356E+06   0.713747E+02
   947   0.131608E+04   0.369177E+02   0.469986E+02   0.302770E+06   0.705507E+02
   948   0.130635E+04   0.371623E+02   0.460275E+02   0.302185E+06   0.697294E+02
   949   0.129673E+04   0.374029E+02   0.450335E+02   0.301603E+06   0.689109E+02
   950   0.128725E+04   0.376392E+02   0.440170E+02   0.301021E+06   0.680954E+02
   951   0.127788E+04   0.378711E+02   0.429785E+02   0.300441E+06   0.672827E+02
   952   0.126863E+04   0.380986E+02   0.419184E+02   0.299863E+06   0.664731E+02
   953   0.125951E+04   0.383216E+02   0.408372E+02   0.299286E+06   0.656666E+02
   954   0.125052E+04   0.385400E+02   0.397354E+02   0.298710E+06   0.648632E+02
   955   0.124165E+04   0.387537E+02   0.386133E+02   0.298136E+06   0.640628E+02
   956   0.123292E+04   0.389625E+02   0.374716E+02   0.297564E+06   0.632657E+02
   957   0.122432E+04   0.391665E+02   0.363107E+02   0.296993E+06   0.624718E+02
   958   0.121584E+04   0.393655E+02   0.351313E+02   0.296423E+06   0.616811E+02
   959   0.120751E+04   0.395595E+02   0.339340E+02   0.295855E+06   0.608938E+02
   960   0.119931E+04   0.397485E+02   0.327195E+02   0.295288E+06   0.601098E+02
   961   0.119125E+04   0.399323E+02   0.314883E+02   0.294723E+06   0.593291E+02
   962   0.118333E+04   0.401110E+02   0.302412E+02   0.294159E+06   0.585519E+02
   963   0.117556E+04   0.402844E+02   0.289786E+02   0.293597E+06   0.577782E+02
   964   0.116793E+04   0.404526E+02   0.277012E+02   0.293036E+06   0.570079E+02
   965   0.116044E+04   0.406154E+02   0.264094E+02   0.292477E+06   0.562412E+02
   966   0.115309E+04   0.407728E+02   0.251038E+02   0.291918E+06   0.554781E+02
   967   0.114589E+04   0.409247E+02   0.237851E+02   0.291362E+06   0.547186E+02
   968   0.113884E+04   0.410710E+02   0.224536E+02   0.290807E+06   0.539628E+02
   969   0.113193E+04   0.412116E+02   0.211099E+02   0.290253E+06   0.532107E+02
   970   0.112518E+04   0.413465E+02   0.197546E+02   0.289700E+06   0.524623E+02
   971   0.111857E+04   0.414757E+02   0.183883E+02   0.289149E+06   0.517178E+02
   972   0.111210E+04   0.415991E+02   0.170117E+02   0.288600E+06   0.509770E+02
   973   0.110579E+04   0.417166E+02   0.156251E+02   0.288052E+06   0.502402E+02
   974   0.109964E+04   0.418283E+02   0.142294E+02   0.287505E+06   0.495072E+02
   975   0.109362E+04   0.419340E+02   0.128251E+02   0.286959E+06   0.487782E+02
   976   0.108776E+04   0.420338E+02   0.114128E+02   0.286415E+06   0.480532E+02
   977   0.108206E+04   0.421275E+02   0.999310E+01   0.285873E+06   0.473322E+02
   978   0.107650E+04   0.422153E+02   0.856657E+01   0.285332E+06   0.466154E+02
   979   0.107110E+04   0.422971E+02   0.713384E+01   0.284792E+06   0.459026E+02
   980   0.106585E+04   0.423727E+02   0.569544E+01   0.284253E+06   0.451940E+02
   981   0.106076E+04   0.424424E+02   0.425195E+01   0.283716E+06   0.444896E+02
   982   0.105581E+04   0.425059E+02   0.280395E+01   0.283180E+06   0.437894E+02
   983   0.105101E+04   0.425634E+02   0.135200E+01   0.282646E+06   0.430935E+02
   984   0.104637E+04   0.426147E+02  -0.103340E+00   0.282113E+06   0.424019E+02
   985   0.104188E+04   0.426599E+02  -0.156154E+01   0.281581E+06   0.417147E+02
   986   0.103754E+04   0.426989E+02  -0.302208E+01   0.281050E+06   0.410319E+02
   987   0.103336E+04   0.427317E+02  -0.448447E+01   0.280521E+06   0.403536E+02
   988   0.102933E+04   0.427582E+02  -0.594820E+01   0.279994E+06   0.396797E+02
   989   0.102545E+04   0.427786E+02  -0.741274E+01   0.279467E+06   0.390104E+02
   990   0.102172E+04   0.427926E+02  -0.887755E+01   0.278942E+06   0.383456E+02
   991   0.101814E+04   0.428002E+02  -0.103422E+02   0.278419E+06   0.376855E+02
   992   0.101471E+04   0.428017E+02  -0.118060E+02   0.277896E+06   0.370299E+02
   993   0.101143E+04   0.427967E+02  -0.132683E+02   0.277375E+06   0.363791E+02
   994   0.100831E+04   0.427855E+02  -0.147285E+02   0.276855E+06   0.357330E+02
   995   0.100533E+04   0.427681E+02  -0.161861E+02   0.276337E+06   0.350917E+02
   996   0.100249E+04   0.427444E+02  -0.176402E+02   0.275819E+06   0.344552E+02
   997   0.999813E+03   0.427144E+02  -0.190905E+02   0.275304E+06   0.338236E+02
   998   0.997282E+03   0.426782E+02  -0.205361E+02   0.274789E+06   0.331968E+02
   999   0.994893E+03   0.426358E+02  -0.219764E+02   0.274276E+06   0.325750E+02
  1000   0.992655E+03   0.425872E+02  -0.234108E+02   0.273764E+06   0.319581E+02
  1001   0.990552E+03   0.425323E+02  -0.248385E+02   0.273253E+06   0.313463E+02
  1002   0.988599E+03   0.424712E+02  -0.262587E+02   0.272743E+06   0.307395E+02
  1003   0.986781E+03   0.424039E+02  -0.276709E+02   0.272235E+06   0.301378E+02
  1004   0.985107E+03   0.423303E+02  -0.290743E+02   0.271728E+06   0.295410E+02
  1005   0.983561E+03   0.422504E+02  -0.304682E+02   0.271223E+06   0.289494E+02
  1006   0.982158E+03   0.421645E+02  -0.318523E+02   0.270718E+06   0.283628E+02
  1007   0.980883E+03   0.420725E+02  -0.332262E+02   0.270215E+06   0.277813E+02
  1008   0.979744E+03   0.419748E+02  -0.345897E+02   0.269713E+06   0.272049E+02
