#           k/h    P           
   0.420980E-02   0.447980E+03
   0.429484E-02   0.454673E+03
   0.438160E-02   0.461418E+03
   0.447012E-02   0.468214E+03
   0.456042E-02   0.475060E+03
   0.465255E-02   0.481954E+03
   0.474653E-02   0.488893E+03
   0.484242E-02   0.495877E+03
   0.494024E-02   0.502902E+03
   0.504004E-02   0.509967E+03
   0.514186E-02   0.517070E+03
   0.524573E-02   0.524208E+03
   0.535170E-02   0.531379E+03
   0.545981E-02   0.538579E+03
   0.557011E-02   0.545808E+03
   0.568263E-02   0.553060E+03
   0.579743E-02   0.560335E+03
   0.591455E-02   0.567628E+03
   0.603403E-02   0.574936E+03
   0.615592E-02   0.582256E+03
   0.628028E-02   0.589584E+03
   0.640715E-02   0.596917E+03
   0.653658E-02   0.604251E+03
   0.666863E-02   0.611582E+03
   0.680335E-02   0.618906E+03
   0.694078E-02   0.626218E+03
   0.708100E-02   0.633515E+03
   0.722404E-02   0.640791E+03
   0.736998E-02   0.648042E+03
   0.751886E-02   0.655263E+03
   0.767075E-02   0.662449E+03
   0.782571E-02   0.669595E+03
   0.798380E-02   0.676695E+03
   0.814509E-02   0.683744E+03
   0.830963E-02   0.690736E+03
   0.847750E-02   0.697666E+03
   0.864875E-02   0.704526E+03
   0.882347E-02   0.711312E+03
   0.900171E-02   0.718016E+03
   0.918356E-02   0.724632E+03
   0.936908E-02   0.731153E+03
   0.955835E-02   0.737573E+03
   0.975144E-02   0.743883E+03
   0.994843E-02   0.750078E+03
   0.101494E-01   0.756149E+03
   0.103544E-01   0.762088E+03
   0.105636E-01   0.767889E+03
   0.107770E-01   0.773543E+03
   0.109947E-01   0.779041E+03
   0.112168E-01   0.784377E+03
   0.114434E-01   0.789540E+03
   0.116746E-01   0.794523E+03
   0.119104E-01   0.799318E+03
   0.121510E-01   0.803915E+03
   0.123965E-01   0.808305E+03
   0.126469E-01   0.812480E+03
   0.129024E-01   0.816430E+03
   0.131631E-01   0.820146E+03
   0.134290E-01   0.823619E+03
   0.137003E-01   0.826841E+03
   0.139770E-01   0.829800E+03
   0.142594E-01   0.832489E+03
   0.145474E-01   0.834898E+03
   0.148413E-01   0.837018E+03
   0.151411E-01   0.838840E+03
   0.154470E-01   0.840355E+03
   0.157590E-01   0.841554E+03
   0.160774E-01   0.842428E+03
   0.164022E-01   0.842969E+03
   0.167335E-01   0.843170E+03
   0.170716E-01   0.843021E+03
   0.174164E-01   0.842516E+03
   0.177683E-01   0.841648E+03
   0.181272E-01   0.840409E+03
   0.184934E-01   0.838794E+03
   0.188670E-01   0.836796E+03
   0.192481E-01   0.834412E+03
   0.196370E-01   0.831636E+03
   0.200337E-01   0.828465E+03
   0.204384E-01   0.824896E+03
   0.208513E-01   0.820927E+03
   0.212725E-01   0.816558E+03
   0.217022E-01   0.811787E+03
   0.221406E-01   0.806616E+03
   0.225879E-01   0.801047E+03
   0.230442E-01   0.795084E+03
   0.235097E-01   0.788730E+03
   0.239847E-01   0.781992E+03
   0.244692E-01   0.774875E+03
   0.249635E-01   0.767389E+03
   0.254678E-01   0.759545E+03
   0.259823E-01   0.751354E+03
   0.265072E-01   0.742828E+03
   0.270426E-01   0.733980E+03
   0.275889E-01   0.724826E+03
   0.281463E-01   0.715387E+03
   0.287149E-01   0.705681E+03
   0.292949E-01   0.695725E+03
   0.298867E-01   0.685542E+03
   0.304905E-01   0.675155E+03
   0.311064E-01   0.664591E+03
   0.317348E-01   0.653877E+03
   0.323759E-01   0.643037E+03
   0.330299E-01   0.632097E+03
   0.336972E-01   0.621086E+03
   0.343779E-01   0.610037E+03
   0.350724E-01   0.598976E+03
   0.357809E-01   0.587932E+03
   0.365038E-01   0.576932E+03
   0.372412E-01   0.566011E+03
   0.379935E-01   0.555205E+03
   0.387610E-01   0.544544E+03
   0.395440E-01   0.534057E+03
   0.403429E-01   0.523770E+03
   0.411579E-01   0.513698E+03
   0.419893E-01   0.503856E+03
   0.428375E-01   0.494257E+03
   0.437029E-01   0.484913E+03
   0.445858E-01   0.475840E+03
   0.454865E-01   0.467071E+03
   0.464053E-01   0.458637E+03
   0.473428E-01   0.450567E+03
   0.482992E-01   0.442888E+03
   0.492749E-01   0.435596E+03
   0.502703E-01   0.428653E+03
   0.512858E-01   0.422023E+03
   0.523219E-01   0.415672E+03
   0.533789E-01   0.409569E+03
   0.544572E-01   0.403698E+03
   0.555573E-01   0.398046E+03
   0.566796E-01   0.392600E+03
   0.578246E-01   0.387340E+03
   0.589927E-01   0.382213E+03
   0.601845E-01   0.377166E+03
   0.614003E-01   0.372147E+03
   0.626407E-01   0.367104E+03
   0.639061E-01   0.361984E+03
   0.651971E-01   0.356736E+03
   0.665142E-01   0.351312E+03
   0.678578E-01   0.345663E+03
   0.692287E-01   0.339742E+03
   0.706272E-01   0.333505E+03
   0.720539E-01   0.326927E+03
   0.735095E-01   0.319990E+03
   0.749945E-01   0.312683E+03
   0.765095E-01   0.305017E+03
   0.780551E-01   0.297014E+03
   0.796319E-01   0.288702E+03
   0.812406E-01   0.280134E+03
   0.828817E-01   0.271366E+03
