#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105231E-04   0.362474E+07   0.362474E+07   0.483257E+07   0.483256E+07   0.000000E+00   0.362474E+07   0.362474E+07   0.363448E+07  -0.599751E+00   0.360936E+07   0.360936E+07   0.827271E+01
   0.116199E-04   0.362474E+07   0.362473E+07   0.483248E+07   0.483247E+07   0.000000E+00   0.362474E+07   0.362474E+07   0.363448E+07  -0.599751E+00   0.360936E+07   0.360936E+07   0.913483E+01
   0.128309E-04   0.362473E+07   0.362473E+07   0.483237E+07   0.483235E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363447E+07  -0.599751E+00   0.360936E+07   0.360936E+07   0.100868E+02
   0.141682E-04   0.362473E+07   0.362473E+07   0.483223E+07   0.483222E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363447E+07  -0.599751E+00   0.360936E+07   0.360936E+07   0.111379E+02
   0.156449E-04   0.362473E+07   0.362473E+07   0.483207E+07   0.483205E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363447E+07  -0.599750E+00   0.360936E+07   0.360936E+07   0.122985E+02
   0.172754E-04   0.362473E+07   0.362473E+07   0.483187E+07   0.483184E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363447E+07  -0.599750E+00   0.360936E+07   0.360936E+07   0.135799E+02
   0.190759E-04   0.362473E+07   0.362473E+07   0.483162E+07   0.483159E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363447E+07  -0.599750E+00   0.360935E+07   0.360935E+07   0.149948E+02
   0.210641E-04   0.362473E+07   0.362473E+07   0.483132E+07   0.483129E+07   0.000000E+00   0.362473E+07   0.362473E+07   0.363446E+07  -0.599749E+00   0.360935E+07   0.360935E+07   0.165571E+02
   0.232595E-04   0.362472E+07   0.362472E+07   0.483096E+07   0.483091E+07   0.000000E+00   0.362472E+07   0.362472E+07   0.363446E+07  -0.599749E+00   0.360935E+07   0.360935E+07   0.182819E+02
   0.256837E-04   0.362472E+07   0.362472E+07   0.483051E+07   0.483046E+07   0.000000E+00   0.362472E+07   0.362472E+07   0.363446E+07  -0.599748E+00   0.360935E+07   0.360935E+07   0.201863E+02
   0.283605E-04   0.362472E+07   0.362472E+07   0.482997E+07   0.482990E+07   0.000000E+00   0.362472E+07   0.362472E+07   0.363445E+07  -0.599747E+00   0.360934E+07   0.360934E+07   0.222888E+02
   0.313163E-04   0.362471E+07   0.362471E+07   0.482931E+07   0.482923E+07   0.000000E+00   0.362471E+07   0.362471E+07   0.363444E+07  -0.599746E+00   0.360934E+07   0.360934E+07   0.246099E+02
   0.345802E-04   0.362470E+07   0.362470E+07   0.482850E+07   0.482841E+07   0.000000E+00   0.362470E+07   0.362470E+07   0.363444E+07  -0.599744E+00   0.360933E+07   0.360933E+07   0.271723E+02
   0.381843E-04   0.362470E+07   0.362470E+07   0.482752E+07   0.482740E+07   0.000000E+00   0.362470E+07   0.362470E+07   0.363443E+07  -0.599743E+00   0.360932E+07   0.360932E+07   0.300008E+02
   0.421640E-04   0.362469E+07   0.362469E+07   0.482632E+07   0.482618E+07   0.000000E+00   0.362469E+07   0.362469E+07   0.363442E+07  -0.599741E+00   0.360932E+07   0.360931E+07   0.331229E+02
   0.465585E-04   0.362468E+07   0.362468E+07   0.482486E+07   0.482469E+07   0.000000E+00   0.362468E+07   0.362468E+07   0.363440E+07  -0.599738E+00   0.360930E+07   0.360930E+07   0.365689E+02
   0.514110E-04   0.362466E+07   0.362466E+07   0.482308E+07   0.482287E+07   0.000000E+00   0.362466E+07   0.362466E+07   0.363438E+07  -0.599735E+00   0.360929E+07   0.360929E+07   0.403718E+02
   0.567693E-04   0.362465E+07   0.362464E+07   0.482092E+07   0.482065E+07   0.000000E+00   0.362465E+07   0.362465E+07   0.363436E+07  -0.599732E+00   0.360927E+07   0.360927E+07   0.445682E+02
   0.626859E-04   0.362463E+07   0.362462E+07   0.481827E+07   0.481795E+07   0.000000E+00   0.362463E+07   0.362463E+07   0.363434E+07  -0.599727E+00   0.360925E+07   0.360925E+07   0.491980E+02
   0.692193E-04   0.362460E+07   0.362460E+07   0.481505E+07   0.481466E+07   0.000000E+00   0.362460E+07   0.362460E+07   0.363431E+07  -0.599722E+00   0.360923E+07   0.360922E+07   0.543051E+02
