#    L    TT             EE             BB             TE          
    91   0.234165E+04   0.619932E+00   0.251204E-02  -0.166543E+02
    92   0.236966E+04   0.635018E+00   0.256796E-02  -0.172683E+02
    93   0.239789E+04   0.650075E+00   0.262454E-02  -0.178866E+02
    94   0.242632E+04   0.665091E+00   0.268179E-02  -0.185091E+02
    95   0.245498E+04   0.680053E+00   0.273970E-02  -0.191352E+02
    96   0.248385E+04   0.694946E+00   0.279829E-02  -0.197646E+02
    97   0.251294E+04   0.709756E+00   0.285755E-02  -0.203968E+02
    98   0.254226E+04   0.724467E+00   0.291749E-02  -0.210315E+02
    99   0.257177E+04   0.739068E+00   0.297812E-02  -0.216680E+02
   100   0.260151E+04   0.753546E+00   0.303943E-02  -0.223060E+02
   101   0.263145E+04   0.767887E+00   0.310144E-02  -0.229449E+02
   102   0.266161E+04   0.782070E+00   0.316413E-02  -0.235844E+02
   103   0.269196E+04   0.796096E+00   0.322753E-02  -0.242238E+02
   104   0.272251E+04   0.809934E+00   0.329162E-02  -0.248628E+02
   105   0.275325E+04   0.823580E+00   0.335643E-02  -0.255007E+02
   106   0.278417E+04   0.837017E+00   0.342194E-02  -0.261370E+02
   107   0.281527E+04   0.850241E+00   0.348816E-02  -0.267711E+02
   108   0.284652E+04   0.863228E+00   0.355510E-02  -0.274026E+02
   109   0.287795E+04   0.875973E+00   0.362276E-02  -0.280308E+02
   110   0.290953E+04   0.888453E+00   0.369115E-02  -0.286553E+02
   111   0.294126E+04   0.900662E+00   0.376026E-02  -0.292756E+02
   112   0.297314E+04   0.912593E+00   0.383011E-02  -0.298909E+02
   113   0.300515E+04   0.924224E+00   0.390070E-02  -0.305009E+02
   114   0.303730E+04   0.935540E+00   0.397203E-02  -0.311050E+02
   115   0.306957E+04   0.946541E+00   0.404410E-02  -0.317025E+02
   116   0.310196E+04   0.957212E+00   0.411693E-02  -0.322931E+02
   117   0.313447E+04   0.967532E+00   0.419051E-02  -0.328761E+02
   118   0.316707E+04   0.977501E+00   0.426485E-02  -0.334509E+02
   119   0.319978E+04   0.987103E+00   0.433995E-02  -0.340170E+02
   120   0.323258E+04   0.996333E+00   0.441583E-02  -0.345740E+02
   121   0.326547E+04   0.100517E+01   0.449249E-02  -0.351212E+02
   122   0.329842E+04   0.101362E+01   0.456992E-02  -0.356582E+02
   123   0.333144E+04   0.102166E+01   0.464814E-02  -0.361843E+02
   124   0.336452E+04   0.102929E+01   0.472716E-02  -0.366990E+02
   125   0.339765E+04   0.103650E+01   0.480697E-02  -0.372019E+02
