#    L    TT             EE             BB             TE          
   677   0.174518E+04   0.362601E+02   0.774200E-01  -0.578048E+02
   678   0.174581E+04   0.363233E+02   0.774704E-01  -0.594351E+02
   679   0.174663E+04   0.363806E+02   0.775215E-01  -0.610618E+02
   680   0.174764E+04   0.364322E+02   0.775733E-01  -0.626844E+02
   681   0.174882E+04   0.364779E+02   0.776257E-01  -0.643019E+02
   682   0.175018E+04   0.365177E+02   0.776789E-01  -0.659136E+02
   683   0.175172E+04   0.365516E+02   0.777328E-01  -0.675188E+02
   684   0.175344E+04   0.365795E+02   0.777875E-01  -0.691170E+02
   685   0.175533E+04   0.366017E+02   0.778430E-01  -0.707075E+02
   686   0.175740E+04   0.366179E+02   0.778992E-01  -0.722891E+02
   687   0.175964E+04   0.366284E+02   0.779563E-01  -0.738622E+02
   688   0.176206E+04   0.366331E+02   0.780142E-01  -0.754261E+02
   689   0.176466E+04   0.366319E+02   0.780730E-01  -0.769793E+02
   690   0.176742E+04   0.366252E+02   0.781326E-01  -0.785212E+02
   691   0.177035E+04   0.366126E+02   0.781932E-01  -0.800518E+02
   692   0.177345E+04   0.365943E+02   0.782546E-01  -0.815705E+02
   693   0.177672E+04   0.365703E+02   0.783169E-01  -0.830766E+02
   694   0.178015E+04   0.365406E+02   0.783802E-01  -0.845686E+02
   695   0.178375E+04   0.365053E+02   0.784444E-01  -0.860467E+02
   696   0.178749E+04   0.364641E+02   0.785096E-01  -0.875095E+02
   697   0.179140E+04   0.364173E+02   0.785758E-01  -0.889569E+02
   698   0.179546E+04   0.363649E+02   0.786429E-01  -0.903876E+02
   699   0.179968E+04   0.363068E+02   0.787111E-01  -0.918016E+02
   700   0.180405E+04   0.362432E+02   0.787803E-01  -0.931984E+02
   701   0.180856E+04   0.361740E+02   0.788505E-01  -0.945771E+02
   702   0.181321E+04   0.360992E+02   0.789217E-01  -0.959372E+02
   703   0.181801E+04   0.360190E+02   0.789940E-01  -0.972786E+02
   704   0.182295E+04   0.359333E+02   0.790673E-01  -0.985992E+02
   705   0.182802E+04   0.358423E+02   0.791416E-01  -0.998998E+02
   706   0.183324E+04   0.357459E+02   0.792171E-01  -0.101179E+03
   707   0.183858E+04   0.356444E+02   0.792936E-01  -0.102437E+03
   708   0.184405E+04   0.355374E+02   0.793712E-01  -0.103673E+03
   709   0.184966E+04   0.354254E+02   0.794498E-01  -0.104886E+03
   710   0.185538E+04   0.353083E+02   0.795296E-01  -0.106076E+03
   711   0.186122E+04   0.351861E+02   0.796104E-01  -0.107243E+03
   712   0.186718E+04   0.350588E+02   0.796923E-01  -0.108385E+03
   713   0.187326E+04   0.349266E+02   0.797753E-01  -0.109502E+03
   714   0.187944E+04   0.347895E+02   0.798594E-01  -0.110594E+03
   715   0.188574E+04   0.346475E+02   0.799446E-01  -0.111660E+03
   716   0.189213E+04   0.345007E+02   0.800309E-01  -0.112700E+03
   717   0.189863E+04   0.343490E+02   0.801183E-01  -0.113713E+03
   718   0.190522E+04   0.341926E+02   0.802067E-01  -0.114698E+03
   719   0.191190E+04   0.340316E+02   0.802963E-01  -0.115655E+03
   720   0.191868E+04   0.338660E+02   0.803869E-01  -0.116584E+03
   721   0.192554E+04   0.336961E+02   0.804786E-01  -0.117485E+03
   722   0.193249E+04   0.335217E+02   0.805714E-01  -0.118356E+03
   723   0.193952E+04   0.333432E+02   0.806652E-01  -0.119199E+03
   724   0.194663E+04   0.331606E+02   0.807601E-01  -0.120013E+03
   725   0.195382E+04   0.329739E+02   0.808560E-01  -0.120796E+03
   726   0.196108E+04   0.327832E+02   0.809530E-01  -0.121550E+03
   727   0.196841E+04   0.325888E+02   0.810510E-01  -0.122274E+03
   728   0.197582E+04   0.323904E+02   0.811500E-01  -0.122967E+03
   729   0.198327E+04   0.321885E+02   0.812501E-01  -0.123628E+03
   730   0.199079E+04   0.319829E+02   0.813511E-01  -0.124259E+03
   731   0.199837E+04   0.317738E+02   0.814531E-01  -0.124858E+03
   732   0.200600E+04   0.315612E+02   0.815562E-01  -0.125424E+03
   733   0.201367E+04   0.313453E+02   0.816601E-01  -0.125959E+03
   734   0.202139E+04   0.311260E+02   0.817651E-01  -0.126460E+03
   735   0.202915E+04   0.309037E+02   0.818710E-01  -0.126929E+03
   736   0.203694E+04   0.306783E+02   0.819778E-01  -0.127364E+03
   737   0.204476E+04   0.304500E+02   0.820855E-01  -0.127767E+03
   738   0.205262E+04   0.302188E+02   0.821941E-01  -0.128136E+03
   739   0.206049E+04   0.299849E+02   0.823036E-01  -0.128471E+03
   740   0.206839E+04   0.297484E+02   0.824140E-01  -0.128771E+03
   741   0.207629E+04   0.295095E+02   0.825252E-01  -0.129038E+03
   742   0.208421E+04   0.292682E+02   0.826373E-01  -0.129272E+03
   743   0.209214E+04   0.290246E+02   0.827502E-01  -0.129471E+03
   744   0.210006E+04   0.287789E+02   0.828639E-01  -0.129635E+03
   745   0.210798E+04   0.285312E+02   0.829784E-01  -0.129765E+03
   746   0.211590E+04   0.282816E+02   0.830936E-01  -0.129861E+03
   747   0.212380E+04   0.280302E+02   0.832096E-01  -0.129922E+03
   748   0.213168E+04   0.277771E+02   0.833263E-01  -0.129948E+03
   749   0.213956E+04   0.275225E+02   0.834437E-01  -0.129940E+03
   750   0.214740E+04   0.272664E+02   0.835619E-01  -0.129898E+03
   751   0.215522E+04   0.270089E+02   0.836806E-01  -0.129821E+03
   752   0.216300E+04   0.267502E+02   0.838001E-01  -0.129708E+03
   753   0.217075E+04   0.264904E+02   0.839202E-01  -0.129563E+03
   754   0.217847E+04   0.262295E+02   0.840408E-01  -0.129382E+03
   755   0.218614E+04   0.259678E+02   0.841621E-01  -0.129167E+03
   756   0.219376E+04   0.257053E+02   0.842840E-01  -0.128917E+03
   757   0.220134E+04   0.254423E+02   0.844063E-01  -0.128633E+03
   758   0.220888E+04   0.251787E+02   0.845292E-01  -0.128317E+03
   759   0.221637E+04   0.249149E+02   0.846526E-01  -0.127966E+03
   760   0.222380E+04   0.246509E+02   0.847765E-01  -0.127581E+03
   761   0.223117E+04   0.243867E+02   0.849009E-01  -0.127163E+03
   762   0.223848E+04   0.241226E+02   0.850256E-01  -0.126712E+03
   763   0.224573E+04   0.238586E+02   0.851508E-01  -0.126227E+03
   764   0.225290E+04   0.235948E+02   0.852763E-01  -0.125708E+03
   765   0.225999E+04   0.233314E+02   0.854023E-01  -0.125156E+03
   766   0.226701E+04   0.230684E+02   0.855285E-01  -0.124571E+03
   767   0.227394E+04   0.228059E+02   0.856550E-01  -0.123952E+03
   768   0.228078E+04   0.225442E+02   0.857819E-01  -0.123299E+03
   769   0.228752E+04   0.222833E+02   0.859089E-01  -0.122614E+03
   770   0.229417E+04   0.220233E+02   0.860362E-01  -0.121897E+03
   771   0.230072E+04   0.217644E+02   0.861638E-01  -0.121148E+03
   772   0.230715E+04   0.215068E+02   0.862914E-01  -0.120366E+03
   773   0.231348E+04   0.212505E+02   0.864193E-01  -0.119554E+03
   774   0.231969E+04   0.209957E+02   0.865472E-01  -0.118711E+03
   775   0.232579E+04   0.207425E+02   0.866752E-01  -0.117837E+03
   776   0.233177E+04   0.204910E+02   0.868033E-01  -0.116934E+03
   777   0.233764E+04   0.202414E+02   0.869315E-01  -0.116000E+03
   778   0.234339E+04   0.199937E+02   0.870596E-01  -0.115038E+03
   779   0.234903E+04   0.197480E+02   0.871877E-01  -0.114046E+03
   780   0.235454E+04   0.195045E+02   0.873158E-01  -0.113028E+03
   781   0.235994E+04   0.192632E+02   0.874438E-01  -0.111981E+03
   782   0.236521E+04   0.190242E+02   0.875716E-01  -0.110907E+03
   783   0.237036E+04   0.187877E+02   0.876994E-01  -0.109805E+03
   784   0.237537E+04   0.185538E+02   0.878269E-01  -0.108676E+03
   785   0.238024E+04   0.183224E+02   0.879542E-01  -0.107520E+03
   786   0.238496E+04   0.180938E+02   0.880814E-01  -0.106337E+03
   787   0.238954E+04   0.178680E+02   0.882082E-01  -0.105127E+03
   788   0.239397E+04   0.176450E+02   0.883348E-01  -0.103890E+03
   789   0.239824E+04   0.174252E+02   0.884610E-01  -0.102628E+03
   790   0.240236E+04   0.172084E+02   0.885869E-01  -0.101340E+03
   791   0.240631E+04   0.169950E+02   0.887123E-01  -0.100029E+03
   792   0.241011E+04   0.167851E+02   0.888374E-01  -0.986934E+02
   793   0.241375E+04   0.165788E+02   0.889620E-01  -0.973357E+02
   794   0.241722E+04   0.163761E+02   0.890862E-01  -0.959562E+02
   795   0.242052E+04   0.161773E+02   0.892098E-01  -0.945564E+02
   796   0.242367E+04   0.159823E+02   0.893329E-01  -0.931355E+02
   797   0.242665E+04   0.157913E+02   0.894554E-01  -0.916949E+02
   798   0.242946E+04   0.156043E+02   0.895773E-01  -0.902346E+02
   799   0.243211E+04   0.154213E+02   0.896986E-01  -0.887553E+02
   800   0.243460E+04   0.152424E+02   0.898192E-01  -0.872561E+02
   801   0.243691E+04   0.150676E+02   0.899391E-01  -0.857394E+02
   802   0.243907E+04   0.148968E+02   0.900583E-01  -0.842042E+02
   803   0.244105E+04   0.147305E+02   0.901768E-01  -0.826513E+02
   804   0.244287E+04   0.145684E+02   0.902944E-01  -0.810821E+02
   805   0.244451E+04   0.144109E+02   0.904113E-01  -0.794958E+02
   806   0.244595E+04   0.142580E+02   0.905273E-01  -0.778945E+02
   807   0.244721E+04   0.141098E+02   0.906425E-01  -0.762767E+02
   808   0.244828E+04   0.139664E+02   0.907567E-01  -0.746453E+02
   809   0.244915E+04   0.138280E+02   0.908700E-01  -0.729995E+02
   810   0.244983E+04   0.136946E+02   0.909824E-01  -0.713400E+02
   811   0.245031E+04   0.135661E+02   0.910938E-01  -0.696683E+02
   812   0.245062E+04   0.134427E+02   0.912043E-01  -0.679851E+02
   813   0.245073E+04   0.133244E+02   0.913136E-01  -0.662912E+02
   814   0.245067E+04   0.132112E+02   0.914220E-01  -0.645875E+02
   815   0.245043E+04   0.131030E+02   0.915292E-01  -0.628748E+02
   816   0.245002E+04   0.130001E+02   0.916354E-01  -0.611539E+02
   817   0.244943E+04   0.129025E+02   0.917404E-01  -0.594253E+02
   818   0.244866E+04   0.128101E+02   0.918443E-01  -0.576891E+02
   819   0.244770E+04   0.127230E+02   0.919470E-01  -0.559456E+02
   820   0.244655E+04   0.126414E+02   0.920484E-01  -0.541953E+02
   821   0.244520E+04   0.125653E+02   0.921487E-01  -0.524385E+02
   822   0.244365E+04   0.124947E+02   0.922478E-01  -0.506754E+02
   823   0.244189E+04   0.124297E+02   0.923455E-01  -0.489063E+02
   824   0.243992E+04   0.123703E+02   0.924420E-01  -0.471324E+02
   825   0.243777E+04   0.123165E+02   0.925372E-01  -0.453547E+02
   826   0.243541E+04   0.122684E+02   0.926311E-01  -0.435743E+02
   827   0.243288E+04   0.122260E+02   0.927236E-01  -0.417923E+02
   828   0.243015E+04   0.121892E+02   0.928148E-01  -0.400097E+02
   829   0.242726E+04   0.121581E+02   0.929046E-01  -0.382277E+02
   830   0.242419E+04   0.121327E+02   0.929930E-01  -0.364472E+02
   831   0.242095E+04   0.121130E+02   0.930799E-01  -0.346686E+02
   832   0.241754E+04   0.120991E+02   0.931655E-01  -0.328922E+02
   833   0.241393E+04   0.120909E+02   0.932496E-01  -0.311183E+02
   834   0.241015E+04   0.120886E+02   0.933322E-01  -0.293470E+02
   835   0.240618E+04   0.120920E+02   0.934134E-01  -0.275788E+02
   836   0.240200E+04   0.121013E+02   0.934931E-01  -0.258139E+02
   837   0.239763E+04   0.121165E+02   0.935712E-01  -0.240526E+02
   838   0.239308E+04   0.121375E+02   0.936479E-01  -0.222958E+02
   839   0.238832E+04   0.121643E+02   0.937230E-01  -0.205444E+02
   840   0.238339E+04   0.121969E+02   0.937966E-01  -0.187992E+02
   841   0.237828E+04   0.122352E+02   0.938686E-01  -0.170613E+02
   842   0.237301E+04   0.122792E+02   0.939390E-01  -0.153315E+02
   843   0.236756E+04   0.123288E+02   0.940079E-01  -0.136106E+02
   844   0.236196E+04   0.123840E+02   0.940751E-01  -0.118998E+02
   845   0.235619E+04   0.124447E+02   0.941408E-01  -0.101992E+02
   846   0.235026E+04   0.125111E+02   0.942048E-01  -0.850968E+01
   847   0.234416E+04   0.125832E+02   0.942673E-01  -0.683152E+01
   848   0.233790E+04   0.126609E+02   0.943281E-01  -0.516526E+01
   849   0.233146E+04   0.127443E+02   0.943872E-01  -0.351138E+01
   850   0.232485E+04   0.128334E+02   0.944448E-01  -0.187038E+01
   851   0.231807E+04   0.129282E+02   0.945006E-01  -0.242728E+00
   852   0.231112E+04   0.130285E+02   0.945548E-01   0.137113E+01
   853   0.230400E+04   0.131344E+02   0.946074E-01   0.297074E+01
   854   0.229672E+04   0.132457E+02   0.946582E-01   0.455565E+01
   855   0.228929E+04   0.133624E+02   0.947074E-01   0.612543E+01
   856   0.228171E+04   0.134843E+02   0.947549E-01   0.767965E+01
   857   0.227399E+04   0.136112E+02   0.948008E-01   0.921786E+01
   858   0.226614E+04   0.137432E+02   0.948449E-01   0.107395E+02
   859   0.225814E+04   0.138803E+02   0.948873E-01   0.122439E+02
   860   0.225001E+04   0.140223E+02   0.949281E-01   0.137303E+02
   861   0.224176E+04   0.141694E+02   0.949671E-01   0.151977E+02
   862   0.223336E+04   0.143214E+02   0.950044E-01   0.166455E+02
   863   0.222484E+04   0.144784E+02   0.950401E-01   0.180728E+02
   864   0.221619E+04   0.146404E+02   0.950740E-01   0.194788E+02
   865   0.220741E+04   0.148073E+02   0.951063E-01   0.208628E+02
   866   0.219851E+04   0.149791E+02   0.951368E-01   0.222246E+02
   867   0.218948E+04   0.151557E+02   0.951657E-01   0.235641E+02
   868   0.218033E+04   0.153370E+02   0.951928E-01   0.248811E+02
   869   0.217106E+04   0.155228E+02   0.952183E-01   0.261756E+02
   870   0.216167E+04   0.157133E+02   0.952420E-01   0.274475E+02
   871   0.215215E+04   0.159081E+02   0.952641E-01   0.286967E+02
   872   0.214253E+04   0.161073E+02   0.952845E-01   0.299229E+02
   873   0.213279E+04   0.163106E+02   0.953033E-01   0.311258E+02
   874   0.212294E+04   0.165182E+02   0.953203E-01   0.323049E+02
   875   0.211299E+04   0.167298E+02   0.953357E-01   0.334595E+02
   876   0.210295E+04   0.169453E+02   0.953495E-01   0.345894E+02
   877   0.209280E+04   0.171645E+02   0.953616E-01   0.356938E+02
   878   0.208258E+04   0.173875E+02   0.953721E-01   0.367724E+02
   879   0.207227E+04   0.176141E+02   0.953809E-01   0.378246E+02
   880   0.206189E+04   0.178442E+02   0.953881E-01   0.388500E+02
   881   0.205142E+04   0.180778E+02   0.953937E-01   0.398481E+02
   882   0.204088E+04   0.183148E+02   0.953977E-01   0.408186E+02
   883   0.203026E+04   0.185550E+02   0.954002E-01   0.417609E+02
   884   0.201957E+04   0.187985E+02   0.954010E-01   0.426746E+02
   885   0.200880E+04   0.190453E+02   0.954003E-01   0.435593E+02
   886   0.199796E+04   0.192951E+02   0.953981E-01   0.444147E+02
   887   0.198706E+04   0.195479E+02   0.953943E-01   0.452405E+02
   888   0.197609E+04   0.198037E+02   0.953890E-01   0.460368E+02
   889   0.196505E+04   0.200621E+02   0.953822E-01   0.468037E+02
   890   0.195397E+04   0.203233E+02   0.953739E-01   0.475411E+02
   891   0.194282E+04   0.205871E+02   0.953642E-01   0.482490E+02
   892   0.193162E+04   0.208533E+02   0.953530E-01   0.489274E+02
   893   0.192038E+04   0.211219E+02   0.953404E-01   0.495763E+02
   894   0.190909E+04   0.213927E+02   0.953263E-01   0.501956E+02
   895   0.189775E+04   0.216656E+02   0.953109E-01   0.507851E+02
   896   0.188639E+04   0.219404E+02   0.952941E-01   0.513448E+02
   897   0.187498E+04   0.222170E+02   0.952759E-01   0.518746E+02
   898   0.186354E+04   0.224954E+02   0.952564E-01   0.523744E+02
   899   0.185208E+04   0.227752E+02   0.952356E-01   0.528441E+02
   900   0.184060E+04   0.230566E+02   0.952135E-01   0.532835E+02
   901   0.182908E+04   0.233392E+02   0.951902E-01   0.536926E+02
   902   0.181756E+04   0.236230E+02   0.951656E-01   0.540714E+02
   903   0.180603E+04   0.239080E+02   0.951397E-01   0.544195E+02
   904   0.179448E+04   0.241939E+02   0.951127E-01   0.547371E+02
   905   0.178293E+04   0.244807E+02   0.950845E-01   0.550240E+02
   906   0.177138E+04   0.247683E+02   0.950551E-01   0.552801E+02
   907   0.175983E+04   0.250565E+02   0.950246E-01   0.555052E+02
   908   0.174829E+04   0.253452E+02   0.949930E-01   0.556994E+02
   909   0.173675E+04   0.256344E+02   0.949603E-01   0.558628E+02
   910   0.172523E+04   0.259240E+02   0.949266E-01   0.559954E+02
   911   0.171372E+04   0.262137E+02   0.948918E-01   0.560973E+02
   912   0.170223E+04   0.265035E+02   0.948560E-01   0.561686E+02
   913   0.169076E+04   0.267935E+02   0.948192E-01   0.562093E+02
   914   0.167931E+04   0.270832E+02   0.947815E-01   0.562194E+02
   915   0.166789E+04   0.273728E+02   0.947429E-01   0.561991E+02
   916   0.165650E+04   0.276621E+02   0.947033E-01   0.561485E+02
   917   0.164514E+04   0.279509E+02   0.946629E-01   0.560676E+02
   918   0.163380E+04   0.282391E+02   0.946216E-01   0.559567E+02
   919   0.162251E+04   0.285267E+02   0.945795E-01   0.558158E+02
   920   0.161126E+04   0.288134E+02   0.945366E-01   0.556451E+02
   921   0.160004E+04   0.290991E+02   0.944929E-01   0.554445E+02
   922   0.158887E+04   0.293838E+02   0.944485E-01   0.552146E+02
   923   0.157776E+04   0.296673E+02   0.944033E-01   0.549555E+02
   924   0.156668E+04   0.299496E+02   0.943575E-01   0.546676E+02
   925   0.155567E+04   0.302304E+02   0.943110E-01   0.543511E+02
   926   0.154471E+04   0.305099E+02   0.942639E-01   0.540065E+02
   927   0.153381E+04   0.307876E+02   0.942162E-01   0.536340E+02
   928   0.152297E+04   0.310637E+02   0.941678E-01   0.532339E+02
   929   0.151221E+04   0.313380E+02   0.941190E-01   0.528065E+02
   930   0.150151E+04   0.316104E+02   0.940696E-01   0.523520E+02
   931   0.149088E+04   0.318807E+02   0.940197E-01   0.518707E+02
   932   0.148033E+04   0.321488E+02   0.939693E-01   0.513627E+02
   933   0.146985E+04   0.324147E+02   0.939185E-01   0.508284E+02
   934   0.145946E+04   0.326782E+02   0.938672E-01   0.502680E+02
   935   0.144914E+04   0.329391E+02   0.938156E-01   0.496818E+02
   936   0.143890E+04   0.331974E+02   0.937636E-01   0.490699E+02
   937   0.142875E+04   0.334530E+02   0.937113E-01   0.484330E+02
   938   0.141868E+04   0.337057E+02   0.936586E-01   0.477711E+02
   939   0.140871E+04   0.339556E+02   0.936057E-01   0.470847E+02
   940   0.139883E+04   0.342023E+02   0.935525E-01   0.463742E+02
   941   0.138904E+04   0.344459E+02   0.934992E-01   0.456399E+02
   942   0.137934E+04   0.346863E+02   0.934456E-01   0.448820E+02
   943   0.136975E+04   0.349233E+02   0.933918E-01   0.441011E+02
   944   0.136025E+04   0.351570E+02   0.933379E-01   0.432976E+02
   945   0.135086E+04   0.353871E+02   0.932838E-01   0.424718E+02
   946   0.134157E+04   0.356136E+02   0.932297E-01   0.416242E+02
   947   0.133239E+04   0.358364E+02   0.931755E-01   0.407553E+02
   948   0.132331E+04   0.360555E+02   0.931213E-01   0.398655E+02
   949   0.131434E+04   0.362708E+02   0.930671E-01   0.389551E+02
   950   0.130549E+04   0.364821E+02   0.930129E-01   0.380247E+02
   951   0.129675E+04   0.366893E+02   0.929587E-01   0.370747E+02
   952   0.128812E+04   0.368925E+02   0.929046E-01   0.361054E+02
   953   0.127961E+04   0.370915E+02   0.928506E-01   0.351173E+02
   954   0.127120E+04   0.372861E+02   0.927968E-01   0.341108E+02
   955   0.126293E+04   0.374764E+02   0.927431E-01   0.330864E+02
   956   0.125477E+04   0.376622E+02   0.926895E-01   0.320444E+02
   957   0.124673E+04   0.378435E+02   0.926362E-01   0.309854E+02
   958   0.123882E+04   0.380202E+02   0.925831E-01   0.299101E+02
   959   0.123102E+04   0.381923E+02   0.925302E-01   0.288190E+02
   960   0.122336E+04   0.383598E+02   0.924776E-01   0.277126E+02
   961   0.121583E+04   0.385225E+02   0.924254E-01   0.265916E+02
   962   0.120842E+04   0.386805E+02   0.923734E-01   0.254565E+02
   963   0.120115E+04   0.388337E+02   0.923219E-01   0.243079E+02
   964   0.119400E+04   0.389820E+02   0.922707E-01   0.231463E+02
   965   0.118699E+04   0.391254E+02   0.922199E-01   0.219722E+02
   966   0.118010E+04   0.392639E+02   0.921695E-01   0.207860E+02
   967   0.117336E+04   0.393973E+02   0.921196E-01   0.195884E+02
   968   0.116674E+04   0.395256E+02   0.920701E-01   0.183797E+02
   969   0.116027E+04   0.396487E+02   0.920212E-01   0.171604E+02
   970   0.115392E+04   0.397665E+02   0.919728E-01   0.159311E+02
   971   0.114771E+04   0.398792E+02   0.919249E-01   0.146923E+02
   972   0.114164E+04   0.399865E+02   0.918776E-01   0.134445E+02
   973   0.113570E+04   0.400885E+02   0.918309E-01   0.121883E+02
   974   0.112991E+04   0.401852E+02   0.917847E-01   0.109243E+02
   975   0.112425E+04   0.402764E+02   0.917393E-01   0.965302E+01
   976   0.111872E+04   0.403622E+02   0.916944E-01   0.837492E+01
   977   0.111334E+04   0.404425E+02   0.916503E-01   0.709072E+01
   978   0.110809E+04   0.405175E+02   0.916068E-01   0.580079E+01
   979   0.110298E+04   0.405869E+02   0.915640E-01   0.450574E+01
   980   0.109801E+04   0.406508E+02   0.915220E-01   0.320606E+01
   981   0.109318E+04   0.407093E+02   0.914807E-01   0.190226E+01
   982   0.108848E+04   0.407622E+02   0.914401E-01   0.594852E+00
   983   0.108392E+04   0.408097E+02   0.914004E-01  -0.715634E+00
   984   0.107951E+04   0.408516E+02   0.913614E-01  -0.202871E+01
   985   0.107523E+04   0.408879E+02   0.913232E-01  -0.334390E+01
   986   0.107108E+04   0.409186E+02   0.912859E-01  -0.466075E+01
   987   0.106708E+04   0.409438E+02   0.912494E-01  -0.597882E+01
   988   0.106321E+04   0.409633E+02   0.912138E-01  -0.729765E+01
   989   0.105948E+04   0.409772E+02   0.911790E-01  -0.861680E+01
   990   0.105589E+04   0.409854E+02   0.911452E-01  -0.993576E+01
   991   0.105243E+04   0.409878E+02   0.911122E-01  -0.112542E+02
   992   0.104911E+04   0.409847E+02   0.910801E-01  -0.125714E+02
   993   0.104592E+04   0.409758E+02   0.910489E-01  -0.138869E+02
   994   0.104288E+04   0.409612E+02   0.910187E-01  -0.152001E+02
   995   0.103996E+04   0.409411E+02   0.909894E-01  -0.165105E+02
   996   0.103718E+04   0.409154E+02   0.909610E-01  -0.178174E+02
   997   0.103453E+04   0.408840E+02   0.909337E-01  -0.191203E+02
   998   0.103202E+04   0.408469E+02   0.909072E-01  -0.204187E+02
   999   0.102964E+04   0.408044E+02   0.908818E-01  -0.217119E+02
  1000   0.102739E+04   0.407563E+02   0.908573E-01  -0.229992E+02
  1001   0.102526E+04   0.407025E+02   0.908338E-01  -0.242801E+02
  1002   0.102327E+04   0.406432E+02   0.908113E-01  -0.255539E+02
  1003   0.102140E+04   0.405783E+02   0.907899E-01  -0.268200E+02
  1004   0.101966E+04   0.405077E+02   0.907694E-01  -0.280776E+02
  1005   0.101803E+04   0.404316E+02   0.907499E-01  -0.293263E+02
  1006   0.101654E+04   0.403500E+02   0.907314E-01  -0.305656E+02
  1007   0.101515E+04   0.402630E+02   0.907140E-01  -0.317953E+02
  1008   0.101389E+04   0.401709E+02   0.906976E-01  -0.330153E+02
  1009   0.101275E+04   0.400738E+02   0.906822E-01  -0.342252E+02
  1010   0.101172E+04   0.399718E+02   0.906678E-01  -0.354248E+02
  1011   0.101081E+04   0.398650E+02   0.906544E-01  -0.366137E+02
  1012   0.101001E+04   0.397536E+02   0.906421E-01  -0.377918E+02
  1013   0.100932E+04   0.396375E+02   0.906308E-01  -0.389588E+02
  1014   0.100875E+04   0.395167E+02   0.906205E-01  -0.401140E+02
  1015   0.100828E+04   0.393910E+02   0.906113E-01  -0.412573E+02
  1016   0.100793E+04   0.392606E+02   0.906030E-01  -0.423882E+02
  1017   0.100769E+04   0.391252E+02   0.905958E-01  -0.435063E+02
  1018   0.100756E+04   0.389847E+02   0.905896E-01  -0.446112E+02
  1019   0.100753E+04   0.388393E+02   0.905845E-01  -0.457025E+02
  1020   0.100762E+04   0.386888E+02   0.905803E-01  -0.467795E+02
  1021   0.100781E+04   0.385337E+02   0.905772E-01  -0.478417E+02
  1022   0.100810E+04   0.383738E+02   0.905751E-01  -0.488884E+02
  1023   0.100848E+04   0.382095E+02   0.905739E-01  -0.499189E+02
  1024   0.100896E+04   0.380409E+02   0.905738E-01  -0.509326E+02
  1025   0.100952E+04   0.378681E+02   0.905747E-01  -0.519288E+02
  1026   0.101018E+04   0.376913E+02   0.905765E-01  -0.529069E+02
  1027   0.101093E+04   0.375105E+02   0.905793E-01  -0.538671E+02
  1028   0.101175E+04   0.373258E+02   0.905832E-01  -0.548094E+02
  1029   0.101268E+04   0.371372E+02   0.905879E-01  -0.557339E+02
  1030   0.101367E+04   0.369447E+02   0.905937E-01  -0.566408E+02
  1031   0.101476E+04   0.367485E+02   0.906004E-01  -0.575301E+02
  1032   0.101593E+04   0.365485E+02   0.906080E-01  -0.584020E+02
  1033   0.101718E+04   0.363449E+02   0.906166E-01  -0.592566E+02
  1034   0.101852E+04   0.361376E+02   0.906261E-01  -0.600933E+02
  1035   0.101993E+04   0.359269E+02   0.906365E-01  -0.609115E+02
  1036   0.102142E+04   0.357128E+02   0.906478E-01  -0.617106E+02
  1037   0.102297E+04   0.354956E+02   0.906600E-01  -0.624901E+02
  1038   0.102460E+04   0.352752E+02   0.906732E-01  -0.632494E+02
  1039   0.102629E+04   0.350519E+02   0.906871E-01  -0.639879E+02
  1040   0.102804E+04   0.348257E+02   0.907020E-01  -0.647051E+02
  1041   0.102985E+04   0.345966E+02   0.907177E-01  -0.654009E+02
  1042   0.103172E+04   0.343647E+02   0.907342E-01  -0.660753E+02
  1043   0.103364E+04   0.341300E+02   0.907516E-01  -0.667281E+02
  1044   0.103562E+04   0.338925E+02   0.907698E-01  -0.673598E+02
  1045   0.103765E+04   0.336521E+02   0.907888E-01  -0.679698E+02
  1046   0.103974E+04   0.334091E+02   0.908086E-01  -0.685588E+02
  1047   0.104187E+04   0.331632E+02   0.908291E-01  -0.691262E+02
  1048   0.104406E+04   0.329146E+02   0.908504E-01  -0.696720E+02
  1049   0.104629E+04   0.326638E+02   0.908724E-01  -0.701956E+02
  1050   0.104857E+04   0.324107E+02   0.908952E-01  -0.706983E+02
  1051   0.105089E+04   0.321556E+02   0.909187E-01  -0.711796E+02
  1052   0.105324E+04   0.318985E+02   0.909428E-01  -0.716386E+02
  1053   0.105563E+04   0.316399E+02   0.909677E-01  -0.720755E+02
  1054   0.105806E+04   0.313797E+02   0.909932E-01  -0.724902E+02
  1055   0.106052E+04   0.311182E+02   0.910193E-01  -0.728834E+02
  1056   0.106301E+04   0.308554E+02   0.910461E-01  -0.732545E+02
  1057   0.106552E+04   0.305913E+02   0.910735E-01  -0.736027E+02
  1058   0.106806E+04   0.303260E+02   0.911014E-01  -0.739296E+02
  1059   0.107061E+04   0.300597E+02   0.911299E-01  -0.742335E+02
  1060   0.107319E+04   0.297924E+02   0.911590E-01  -0.745146E+02
  1061   0.107580E+04   0.295242E+02   0.911886E-01  -0.747743E+02
  1062   0.107842E+04   0.292552E+02   0.912187E-01  -0.750103E+02
  1063   0.108105E+04   0.289855E+02   0.912493E-01  -0.752251E+02
  1064   0.108370E+04   0.287151E+02   0.912804E-01  -0.754169E+02
  1065   0.108635E+04   0.284442E+02   0.913119E-01  -0.755859E+02
  1066   0.108901E+04   0.281728E+02   0.913438E-01  -0.757335E+02
