#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.105108E+04   0.439080E-01   0.000000E+00   0.316239E+01   0.517560E-07   0.306948E-02  -0.147932E-04
     3   0.993366E+03   0.686153E-01   0.000000E+00   0.383302E+01   0.629637E-07   0.308144E-02  -0.176674E-04
     4   0.936211E+03   0.737235E-01   0.000000E+00   0.385346E+01   0.725368E-07   0.301699E-02  -0.173107E-04
     5   0.891865E+03   0.622032E-01   0.000000E+00   0.350732E+01   0.808486E-07   0.292275E-02  -0.147183E-04
     6   0.859993E+03   0.435286E-01   0.000000E+00   0.300491E+01   0.881084E-07   0.281811E-02  -0.108023E-04
     7   0.838398E+03   0.263321E-01   0.000000E+00   0.247620E+01   0.945052E-07   0.271306E-02  -0.641909E-05
     8   0.824406E+03   0.148722E-01   0.000000E+00   0.199715E+01   0.100172E-06   0.260833E-02  -0.232740E-05
     9   0.816341E+03   0.919154E-02   0.000000E+00   0.160254E+01   0.105221E-06   0.250367E-02   0.891622E-06
    10   0.812865E+03   0.715535E-02   0.000000E+00   0.130791E+01   0.109722E-06   0.240153E-02   0.295075E-05
    11   0.812539E+03   0.650275E-02   0.000000E+00   0.111556E+01   0.113774E-06   0.230711E-02   0.386296E-05
    12   0.815821E+03   0.594298E-02   0.000000E+00   0.101839E+01   0.117377E-06   0.222030E-02   0.379331E-05
    13   0.820633E+03   0.519819E-02   0.000000E+00   0.994192E+00   0.120638E-06   0.214446E-02   0.294824E-05
    14   0.826905E+03   0.451860E-02   0.000000E+00   0.101469E+01   0.123546E-06   0.207260E-02   0.158660E-05
    15   0.833511E+03   0.417486E-02   0.000000E+00   0.106152E+01   0.126175E-06   0.200495E-02   0.725561E-07
    16   0.842156E+03   0.421218E-02   0.000000E+00   0.112529E+01   0.128530E-06   0.193823E-02  -0.118270E-05
    17   0.852631E+03   0.448130E-02   0.000000E+00   0.119402E+01   0.130639E-06   0.187352E-02  -0.199900E-05
    18   0.863748E+03   0.482625E-02   0.000000E+00   0.125845E+01   0.132538E-06   0.181285E-02  -0.231036E-05
    19   0.876260E+03   0.521864E-02   0.000000E+00   0.131809E+01   0.134237E-06   0.175573E-02  -0.225252E-05
    20   0.888557E+03   0.566301E-02   0.000000E+00   0.136640E+01   0.135743E-06   0.170122E-02  -0.198047E-05
    21   0.901328E+03   0.624822E-02   0.000000E+00   0.141091E+01   0.137079E-06   0.164884E-02  -0.153590E-05
    22   0.914587E+03   0.707559E-02   0.000000E+00   0.145619E+01   0.138267E-06   0.159839E-02  -0.958134E-06
    23   0.927934E+03   0.813953E-02   0.000000E+00   0.150441E+01   0.139317E-06   0.155018E-02  -0.389460E-06
    24   0.941679E+03   0.941671E-02   0.000000E+00   0.155671E+01   0.140235E-06   0.150457E-02   0.165347E-07
    25   0.955952E+03   0.108889E-01   0.000000E+00   0.160819E+01   0.141033E-06   0.146155E-02   0.159346E-06
    26   0.970260E+03   0.125460E-01   0.000000E+00   0.166394E+01   0.141723E-06   0.142093E-02  -0.215484E-08
    27   0.985008E+03   0.143812E-01   0.000000E+00   0.172218E+01   0.142313E-06   0.138222E-02  -0.326170E-06
    28   0.100003E+04   0.163728E-01   0.000000E+00   0.177484E+01   0.142812E-06   0.134502E-02  -0.649945E-06
    29   0.101524E+04   0.185369E-01   0.000000E+00   0.182476E+01   0.143219E-06   0.130946E-02  -0.905132E-06
    30   0.103085E+04   0.208904E-01   0.000000E+00   0.186312E+01   0.143536E-06   0.127570E-02  -0.106376E-05
    31   0.104627E+04   0.234086E-01   0.000000E+00   0.189730E+01   0.143773E-06   0.124348E-02  -0.116467E-05
    32   0.106230E+04   0.260947E-01   0.000000E+00   0.191940E+01   0.143943E-06   0.121243E-02  -0.124523E-05
    33   0.107842E+04   0.289388E-01   0.000000E+00   0.192853E+01   0.144050E-06   0.118230E-02  -0.127145E-05
    34   0.109458E+04   0.320010E-01   0.000000E+00   0.192777E+01   0.144097E-06   0.115291E-02  -0.119907E-05
    35   0.111138E+04   0.352963E-01   0.000000E+00   0.191211E+01   0.144088E-06   0.112420E-02  -0.101329E-05
    36   0.112789E+04   0.388486E-01   0.000000E+00   0.189511E+01   0.144026E-06   0.109630E-02  -0.731540E-06
    37   0.114466E+04   0.426520E-01   0.000000E+00   0.186888E+01   0.143916E-06   0.106976E-02  -0.470720E-06
    38   0.116177E+04   0.466693E-01   0.000000E+00   0.183285E+01   0.143762E-06   0.104506E-02  -0.339389E-06
    39   0.117913E+04   0.509157E-01   0.000000E+00   0.178772E+01   0.143565E-06   0.102186E-02  -0.315061E-06
    40   0.119667E+04   0.554222E-01   0.000000E+00   0.173348E+01   0.143327E-06   0.999626E-03  -0.342750E-06
    41   0.121429E+04   0.602130E-01   0.000000E+00   0.167016E+01   0.143051E-06   0.977920E-03  -0.376573E-06
    42   0.123201E+04   0.652855E-01   0.000000E+00   0.159792E+01   0.142739E-06   0.956705E-03  -0.406296E-06
    43   0.124983E+04   0.706303E-01   0.000000E+00   0.151654E+01   0.142393E-06   0.936041E-03  -0.430584E-06
    44   0.126781E+04   0.762357E-01   0.000000E+00   0.142422E+01   0.142017E-06   0.915991E-03  -0.448104E-06
    45   0.128603E+04   0.820872E-01   0.000000E+00   0.131881E+01   0.141612E-06   0.896616E-03  -0.457524E-06
    46   0.130444E+04   0.881739E-01   0.000000E+00   0.119906E+01   0.141181E-06   0.877951E-03  -0.459036E-06
    47   0.132303E+04   0.945092E-01   0.000000E+00   0.106524E+01   0.140726E-06   0.859921E-03  -0.458899E-06
    48   0.134177E+04   0.101107E+00   0.000000E+00   0.918005E+00   0.140249E-06   0.842426E-03  -0.464868E-06
    49   0.136065E+04   0.107978E+00   0.000000E+00   0.758084E+00   0.139751E-06   0.825365E-03  -0.484682E-06
    50   0.137973E+04   0.115147E+00   0.000000E+00   0.586340E+00   0.139233E-06   0.808637E-03  -0.526062E-06
    51   0.139906E+04   0.122634E+00   0.000000E+00   0.403586E+00   0.138699E-06   0.792180E-03  -0.592878E-06
    52   0.141859E+04   0.130433E+00   0.000000E+00   0.210239E+00   0.138148E-06   0.776071E-03  -0.673668E-06
    53   0.143825E+04   0.138534E+00   0.000000E+00   0.640320E-02   0.137581E-06   0.760427E-03  -0.753171E-06
    54   0.145800E+04   0.146924E+00   0.000000E+00  -0.208676E+00   0.137001E-06   0.745362E-03  -0.816157E-06
    55   0.147785E+04   0.155593E+00   0.000000E+00  -0.436122E+00   0.136407E-06   0.730993E-03  -0.847424E-06
    56   0.149791E+04   0.164528E+00   0.000000E+00  -0.677503E+00   0.135801E-06   0.717395E-03  -0.836750E-06
    57   0.151827E+04   0.173730E+00   0.000000E+00  -0.933595E+00   0.135184E-06   0.704494E-03  -0.793709E-06
    58   0.153890E+04   0.183205E+00   0.000000E+00  -0.120430E+01   0.134556E-06   0.692178E-03  -0.732802E-06
    59   0.155971E+04   0.192961E+00   0.000000E+00  -0.148923E+01   0.133917E-06   0.680335E-03  -0.668499E-06
    60   0.158068E+04   0.202998E+00   0.000000E+00  -0.178758E+01   0.133268E-06   0.668852E-03  -0.615247E-06
    61   0.160183E+04   0.213314E+00   0.000000E+00  -0.209862E+01   0.132611E-06   0.657629E-03  -0.583863E-06
    62   0.162316E+04   0.223906E+00   0.000000E+00  -0.242227E+01   0.131945E-06   0.646607E-03  -0.570733E-06
    63   0.164469E+04   0.234769E+00   0.000000E+00  -0.275861E+01   0.131272E-06   0.635735E-03  -0.568649E-06
    64   0.166642E+04   0.245899E+00   0.000000E+00  -0.310772E+01   0.130594E-06   0.624967E-03  -0.570413E-06
    65   0.168837E+04   0.257291E+00   0.000000E+00  -0.346975E+01   0.129910E-06   0.614253E-03  -0.568839E-06
    66   0.171059E+04   0.268937E+00   0.000000E+00  -0.384485E+01   0.129222E-06   0.603568E-03  -0.559160E-06
    67   0.173306E+04   0.280829E+00   0.000000E+00  -0.423245E+01   0.128531E-06   0.592987E-03  -0.546246E-06
    68   0.175573E+04   0.292956E+00   0.000000E+00  -0.463175E+01   0.127837E-06   0.582606E-03  -0.537364E-06
    69   0.177856E+04   0.305311E+00   0.000000E+00  -0.504201E+01   0.127140E-06   0.572520E-03  -0.539776E-06
    70   0.180153E+04   0.317886E+00   0.000000E+00  -0.546267E+01   0.126442E-06   0.562828E-03  -0.560732E-06
    71   0.182461E+04   0.330676E+00   0.000000E+00  -0.589352E+01   0.125741E-06   0.553601E-03  -0.604498E-06
    72   0.184791E+04   0.343678E+00   0.000000E+00  -0.633563E+01   0.125040E-06   0.544816E-03  -0.663431E-06
    73   0.187155E+04   0.356888E+00   0.000000E+00  -0.679017E+01   0.124337E-06   0.536428E-03  -0.726922E-06
    74   0.189553E+04   0.370296E+00   0.000000E+00  -0.725723E+01   0.123632E-06   0.528387E-03  -0.784374E-06
    75   0.191985E+04   0.383891E+00   0.000000E+00  -0.773659E+01   0.122926E-06   0.520649E-03  -0.825201E-06
    76   0.194448E+04   0.397660E+00   0.000000E+00  -0.822785E+01   0.122219E-06   0.513167E-03  -0.841225E-06
    77   0.196929E+04   0.411594E+00   0.000000E+00  -0.872959E+01   0.121510E-06   0.505902E-03  -0.833856E-06
    78   0.199425E+04   0.425682E+00   0.000000E+00  -0.924132E+01   0.120801E-06   0.498816E-03  -0.806895E-06
    79   0.201942E+04   0.439914E+00   0.000000E+00  -0.976285E+01   0.120092E-06   0.491872E-03  -0.764139E-06
    80   0.204481E+04   0.454280E+00   0.000000E+00  -0.102942E+02   0.119384E-06   0.485032E-03  -0.709383E-06
    81   0.207045E+04   0.468768E+00   0.000000E+00  -0.108350E+02   0.118676E-06   0.478264E-03  -0.647139E-06
    82   0.209635E+04   0.483369E+00   0.000000E+00  -0.113848E+02   0.117969E-06   0.471560E-03  -0.584815E-06
    83   0.212249E+04   0.498070E+00   0.000000E+00  -0.119432E+02   0.117264E-06   0.464919E-03  -0.530534E-06
    84   0.214887E+04   0.512859E+00   0.000000E+00  -0.125095E+02   0.116560E-06   0.458337E-03  -0.492414E-06
    85   0.217548E+04   0.527723E+00   0.000000E+00  -0.130835E+02   0.115858E-06   0.451815E-03  -0.478567E-06
    86   0.220232E+04   0.542653E+00   0.000000E+00  -0.136645E+02   0.115158E-06   0.445353E-03  -0.494323E-06
    87   0.222935E+04   0.557636E+00   0.000000E+00  -0.142520E+02   0.114461E-06   0.438972E-03  -0.533917E-06
    88   0.225656E+04   0.572660E+00   0.000000E+00  -0.148456E+02   0.113766E-06   0.432695E-03  -0.588815E-06
    89   0.228396E+04   0.587713E+00   0.000000E+00  -0.154450E+02   0.113074E-06   0.426546E-03  -0.650491E-06
    90   0.231155E+04   0.602778E+00   0.000000E+00  -0.160499E+02   0.112385E-06   0.420549E-03  -0.710427E-06
    91   0.233934E+04   0.617844E+00   0.000000E+00  -0.166598E+02   0.111698E-06   0.414724E-03  -0.761645E-06
    92   0.236733E+04   0.632895E+00   0.000000E+00  -0.172746E+02   0.111015E-06   0.409067E-03  -0.803312E-06
    93   0.239554E+04   0.647918E+00   0.000000E+00  -0.178938E+02   0.110334E-06   0.403573E-03  -0.836133E-06
    94   0.242395E+04   0.662900E+00   0.000000E+00  -0.185172E+02   0.109657E-06   0.398235E-03  -0.860811E-06
    95   0.245259E+04   0.677827E+00   0.000000E+00  -0.191444E+02   0.108983E-06   0.393046E-03  -0.878047E-06
    96   0.248145E+04   0.692685E+00   0.000000E+00  -0.197748E+02   0.108312E-06   0.388000E-03  -0.888543E-06
    97   0.251052E+04   0.707460E+00   0.000000E+00  -0.204081E+02   0.107644E-06   0.383090E-03  -0.893001E-06
    98   0.253982E+04   0.722137E+00   0.000000E+00  -0.210438E+02   0.106980E-06   0.378309E-03  -0.892120E-06
    99   0.256932E+04   0.736703E+00   0.000000E+00  -0.216815E+02   0.106319E-06   0.373651E-03  -0.886601E-06
   100   0.259904E+04   0.751145E+00   0.000000E+00  -0.223207E+02   0.105662E-06   0.369109E-03  -0.877143E-06
   101   0.262898E+04   0.765451E+00   0.000000E+00  -0.229609E+02   0.105008E-06   0.364677E-03  -0.864444E-06
   102   0.265912E+04   0.779598E+00   0.000000E+00  -0.236018E+02   0.104357E-06   0.360348E-03  -0.849204E-06
   103   0.268946E+04   0.793587E+00   0.000000E+00  -0.242426E+02   0.103711E-06   0.356115E-03  -0.832120E-06
   104   0.272001E+04   0.807389E+00   0.000000E+00  -0.248830E+02   0.103068E-06   0.351972E-03  -0.813889E-06
   105   0.275074E+04   0.820997E+00   0.000000E+00  -0.255224E+02   0.102429E-06   0.347912E-03  -0.795210E-06
   106   0.278166E+04   0.834397E+00   0.000000E+00  -0.261602E+02   0.101793E-06   0.343929E-03  -0.776777E-06
   107   0.281275E+04   0.847582E+00   0.000000E+00  -0.267959E+02   0.101162E-06   0.340016E-03  -0.759289E-06
   108   0.284401E+04   0.860531E+00   0.000000E+00  -0.274291E+02   0.100535E-06   0.336166E-03  -0.743441E-06
   109   0.287543E+04   0.873236E+00   0.000000E+00  -0.280590E+02   0.999116E-07   0.332374E-03  -0.729928E-06
   110   0.290702E+04   0.885677E+00   0.000000E+00  -0.286852E+02   0.992924E-07   0.328633E-03  -0.719447E-06
   111   0.293875E+04   0.897845E+00   0.000000E+00  -0.293073E+02   0.986775E-07   0.324936E-03  -0.712529E-06
   112   0.297063E+04   0.909735E+00   0.000000E+00  -0.299245E+02   0.980668E-07   0.321285E-03  -0.709057E-06
   113   0.300265E+04   0.921323E+00   0.000000E+00  -0.305364E+02   0.974602E-07   0.317678E-03  -0.708751E-06
   114   0.303481E+04   0.932596E+00   0.000000E+00  -0.311425E+02   0.968579E-07   0.314116E-03  -0.711332E-06
   115   0.306709E+04   0.943552E+00   0.000000E+00  -0.317421E+02   0.962597E-07   0.310601E-03  -0.716520E-06
   116   0.309949E+04   0.954178E+00   0.000000E+00  -0.323347E+02   0.956658E-07   0.307132E-03  -0.724036E-06
   117   0.313202E+04   0.964452E+00   0.000000E+00  -0.329198E+02   0.950760E-07   0.303709E-03  -0.733600E-06
   118   0.316464E+04   0.974372E+00   0.000000E+00  -0.334968E+02   0.944904E-07   0.300334E-03  -0.744933E-06
   119   0.319737E+04   0.983926E+00   0.000000E+00  -0.340652E+02   0.939091E-07   0.297006E-03  -0.757757E-06
   120   0.323019E+04   0.993104E+00   0.000000E+00  -0.346245E+02   0.933319E-07   0.293727E-03  -0.771792E-06
   121   0.326309E+04   0.100189E+01   0.000000E+00  -0.351740E+02   0.927588E-07   0.290496E-03  -0.786760E-06
   122   0.329607E+04   0.101029E+01   0.000000E+00  -0.357134E+02   0.921900E-07   0.287315E-03  -0.802382E-06
   123   0.332911E+04   0.101827E+01   0.000000E+00  -0.362420E+02   0.916254E-07   0.284183E-03  -0.818380E-06
   124   0.336222E+04   0.102584E+01   0.000000E+00  -0.367592E+02   0.910650E-07   0.281101E-03  -0.834475E-06
   125   0.339538E+04   0.103300E+01   0.000000E+00  -0.372646E+02   0.905087E-07   0.278069E-03  -0.850390E-06
   126   0.342858E+04   0.103971E+01   0.000000E+00  -0.377577E+02   0.899567E-07   0.275089E-03  -0.865846E-06
   127   0.346181E+04   0.104600E+01   0.000000E+00  -0.382379E+02   0.894089E-07   0.272159E-03  -0.880565E-06
   128   0.349507E+04   0.105184E+01   0.000000E+00  -0.387048E+02   0.888652E-07   0.269282E-03  -0.894269E-06
   129   0.352835E+04   0.105722E+01   0.000000E+00  -0.391579E+02   0.883258E-07   0.266457E-03  -0.906680E-06
   130   0.356164E+04   0.106215E+01   0.000000E+00  -0.395964E+02   0.877906E-07   0.263685E-03  -0.917521E-06
   131   0.359492E+04   0.106661E+01   0.000000E+00  -0.400201E+02   0.872595E-07   0.260966E-03  -0.926579E-06
   132   0.362821E+04   0.107062E+01   0.000000E+00  -0.404285E+02   0.867327E-07   0.258299E-03  -0.933896E-06
   133   0.366147E+04   0.107414E+01   0.000000E+00  -0.408210E+02   0.862100E-07   0.255681E-03  -0.939583E-06
   134   0.369472E+04   0.107720E+01   0.000000E+00  -0.411972E+02   0.856915E-07   0.253112E-03  -0.943746E-06
   135   0.372793E+04   0.107978E+01   0.000000E+00  -0.415567E+02   0.851770E-07   0.250589E-03  -0.946494E-06
   136   0.376111E+04   0.108188E+01   0.000000E+00  -0.418989E+02   0.846666E-07   0.248111E-03  -0.947935E-06
   137   0.379425E+04   0.108350E+01   0.000000E+00  -0.422234E+02   0.841602E-07   0.245676E-03  -0.948178E-06
   138   0.382734E+04   0.108464E+01   0.000000E+00  -0.425299E+02   0.836579E-07   0.243282E-03  -0.947329E-06
   139   0.386036E+04   0.108530E+01   0.000000E+00  -0.428179E+02   0.831595E-07   0.240928E-03  -0.945499E-06
   140   0.389333E+04   0.108547E+01   0.000000E+00  -0.430870E+02   0.826651E-07   0.238612E-03  -0.942793E-06
   141   0.392621E+04   0.108517E+01   0.000000E+00  -0.433368E+02   0.821746E-07   0.236332E-03  -0.939321E-06
   142   0.395902E+04   0.108440E+01   0.000000E+00  -0.435669E+02   0.816880E-07   0.234087E-03  -0.935190E-06
   143   0.399174E+04   0.108314E+01   0.000000E+00  -0.437769E+02   0.812053E-07   0.231875E-03  -0.930508E-06
   144   0.402436E+04   0.108142E+01   0.000000E+00  -0.439666E+02   0.807264E-07   0.229694E-03  -0.925383E-06
   145   0.405688E+04   0.107922E+01   0.000000E+00  -0.441353E+02   0.802513E-07   0.227543E-03  -0.919922E-06
   146   0.408927E+04   0.107656E+01   0.000000E+00  -0.442828E+02   0.797801E-07   0.225419E-03  -0.914234E-06
   147   0.412152E+04   0.107345E+01   0.000000E+00  -0.444087E+02   0.793126E-07   0.223321E-03  -0.908426E-06
   148   0.415362E+04   0.106989E+01   0.000000E+00  -0.445125E+02   0.788488E-07   0.221248E-03  -0.902606E-06
   149   0.418555E+04   0.106588E+01   0.000000E+00  -0.445940E+02   0.783887E-07   0.219198E-03  -0.896881E-06
   150   0.421731E+04   0.106143E+01   0.000000E+00  -0.446527E+02   0.779324E-07   0.217169E-03  -0.891360E-06
   151   0.424886E+04   0.105655E+01   0.000000E+00  -0.446882E+02   0.774797E-07   0.215159E-03  -0.886125E-06
   152   0.428023E+04   0.105125E+01   0.000000E+00  -0.447004E+02   0.770306E-07   0.213169E-03  -0.881161E-06
   153   0.431138E+04   0.104554E+01   0.000000E+00  -0.446888E+02   0.765851E-07   0.211198E-03  -0.876429E-06
   154   0.434233E+04   0.103943E+01   0.000000E+00  -0.446535E+02   0.761433E-07   0.209247E-03  -0.871888E-06
   155   0.437307E+04   0.103293E+01   0.000000E+00  -0.445939E+02   0.757049E-07   0.207316E-03  -0.867500E-06
   156   0.440360E+04   0.102606E+01   0.000000E+00  -0.445100E+02   0.752702E-07   0.205404E-03  -0.863224E-06
   157   0.443390E+04   0.101881E+01   0.000000E+00  -0.444015E+02   0.748389E-07   0.203513E-03  -0.859021E-06
   158   0.446397E+04   0.101121E+01   0.000000E+00  -0.442681E+02   0.744111E-07   0.201641E-03  -0.854852E-06
   159   0.449381E+04   0.100327E+01   0.000000E+00  -0.441096E+02   0.739869E-07   0.199789E-03  -0.850676E-06
   160   0.452340E+04   0.995005E+00   0.000000E+00  -0.439259E+02   0.735660E-07   0.197957E-03  -0.846455E-06
   161   0.455272E+04   0.986430E+00   0.000000E+00  -0.437167E+02   0.731486E-07   0.196145E-03  -0.842148E-06
   162   0.458177E+04   0.977558E+00   0.000000E+00  -0.434819E+02   0.727346E-07   0.194354E-03  -0.837716E-06
   163   0.461053E+04   0.968420E+00   0.000000E+00  -0.432211E+02   0.723239E-07   0.192582E-03  -0.833120E-06
   164   0.463899E+04   0.959014E+00   0.000000E+00  -0.429344E+02   0.719166E-07   0.190831E-03  -0.828320E-06
   165   0.466715E+04   0.949363E+00   0.000000E+00  -0.426214E+02   0.715126E-07   0.189101E-03  -0.823276E-06
   166   0.469498E+04   0.939488E+00   0.000000E+00  -0.422821E+02   0.711119E-07   0.187391E-03  -0.817949E-06
   167   0.472248E+04   0.929410E+00   0.000000E+00  -0.419164E+02   0.707146E-07   0.185702E-03  -0.812299E-06
   168   0.474965E+04   0.919151E+00   0.000000E+00  -0.415242E+02   0.703204E-07   0.184033E-03  -0.806287E-06
   169   0.477648E+04   0.908734E+00   0.000000E+00  -0.411055E+02   0.699296E-07   0.182385E-03  -0.799874E-06
   170   0.480295E+04   0.898171E+00   0.000000E+00  -0.406602E+02   0.695419E-07   0.180758E-03  -0.793020E-06
   171   0.482906E+04   0.887493E+00   0.000000E+00  -0.401883E+02   0.691574E-07   0.179152E-03  -0.785685E-06
   172   0.485480E+04   0.876721E+00   0.000000E+00  -0.396896E+02   0.687761E-07   0.177566E-03  -0.777829E-06
   173   0.488017E+04   0.865876E+00   0.000000E+00  -0.391642E+02   0.683979E-07   0.176002E-03  -0.769415E-06
   174   0.490515E+04   0.854980E+00   0.000000E+00  -0.386121E+02   0.680229E-07   0.174459E-03  -0.760401E-06
   175   0.492974E+04   0.844071E+00   0.000000E+00  -0.380334E+02   0.676510E-07   0.172937E-03  -0.750749E-06
   176   0.495392E+04   0.833161E+00   0.000000E+00  -0.374280E+02   0.672821E-07   0.171437E-03  -0.740430E-06
   177   0.497769E+04   0.822287E+00   0.000000E+00  -0.367959E+02   0.669163E-07   0.169957E-03  -0.729466E-06
   178   0.500104E+04   0.811471E+00   0.000000E+00  -0.361373E+02   0.665535E-07   0.168497E-03  -0.717889E-06
   179   0.502396E+04   0.800733E+00   0.000000E+00  -0.354520E+02   0.661938E-07   0.167058E-03  -0.705731E-06
   180   0.504645E+04   0.790109E+00   0.000000E+00  -0.347403E+02   0.658369E-07   0.165637E-03  -0.693024E-06
   181   0.506850E+04   0.779628E+00   0.000000E+00  -0.340022E+02   0.654831E-07   0.164235E-03  -0.679800E-06
   182   0.509010E+04   0.769319E+00   0.000000E+00  -0.332380E+02   0.651321E-07   0.162851E-03  -0.666093E-06
   183   0.511125E+04   0.759203E+00   0.000000E+00  -0.324476E+02   0.647840E-07   0.161485E-03  -0.651934E-06
   184   0.513193E+04   0.749315E+00   0.000000E+00  -0.316313E+02   0.644388E-07   0.160136E-03  -0.637355E-06
   185   0.515214E+04   0.739693E+00   0.000000E+00  -0.307891E+02   0.640963E-07   0.158803E-03  -0.622389E-06
   186   0.517188E+04   0.730356E+00   0.000000E+00  -0.299212E+02   0.637567E-07   0.157487E-03  -0.607069E-06
   187   0.519114E+04   0.721335E+00   0.000000E+00  -0.290279E+02   0.634198E-07   0.156186E-03  -0.591425E-06
   188   0.520991E+04   0.712668E+00   0.000000E+00  -0.281093E+02   0.630857E-07   0.154900E-03  -0.575491E-06
   189   0.522818E+04   0.704385E+00   0.000000E+00  -0.271656E+02   0.627543E-07   0.153629E-03  -0.559300E-06
   190   0.524595E+04   0.696520E+00   0.000000E+00  -0.261971E+02   0.624255E-07   0.152372E-03  -0.542882E-06
   191   0.526322E+04   0.689103E+00   0.000000E+00  -0.252042E+02   0.620994E-07   0.151128E-03  -0.526270E-06
   192   0.527996E+04   0.682169E+00   0.000000E+00  -0.241868E+02   0.617759E-07   0.149897E-03  -0.509498E-06
   193   0.529618E+04   0.675748E+00   0.000000E+00  -0.231452E+02   0.614550E-07   0.148679E-03  -0.492595E-06
   194   0.531188E+04   0.669877E+00   0.000000E+00  -0.220799E+02   0.611367E-07   0.147473E-03  -0.475597E-06
   195   0.532704E+04   0.664589E+00   0.000000E+00  -0.209912E+02   0.608209E-07   0.146278E-03  -0.458533E-06
   196   0.534167E+04   0.659919E+00   0.000000E+00  -0.198794E+02   0.605076E-07   0.145093E-03  -0.441437E-06
   197   0.535577E+04   0.655904E+00   0.000000E+00  -0.187449E+02   0.601968E-07   0.143920E-03  -0.424340E-06
   198   0.536934E+04   0.652576E+00   0.000000E+00  -0.175879E+02   0.598884E-07   0.142756E-03  -0.407276E-06
   199   0.538236E+04   0.649972E+00   0.000000E+00  -0.164089E+02   0.595825E-07   0.141601E-03  -0.390276E-06
   200   0.539483E+04   0.648126E+00   0.000000E+00  -0.152083E+02   0.592790E-07   0.140455E-03  -0.373372E-06
   201   0.540676E+04   0.647074E+00   0.000000E+00  -0.139864E+02   0.589778E-07   0.139318E-03  -0.356591E-06
   202   0.541812E+04   0.646851E+00   0.000000E+00  -0.127436E+02   0.586789E-07   0.138189E-03  -0.339937E-06
   203   0.542890E+04   0.647494E+00   0.000000E+00  -0.114803E+02   0.583824E-07   0.137068E-03  -0.323408E-06
   204   0.543911E+04   0.649037E+00   0.000000E+00  -0.101969E+02   0.580882E-07   0.135955E-03  -0.307003E-06
   205   0.544872E+04   0.651517E+00   0.000000E+00  -0.889379E+01   0.577963E-07   0.134850E-03  -0.290720E-06
   206   0.545772E+04   0.654968E+00   0.000000E+00  -0.757138E+01   0.575067E-07   0.133754E-03  -0.274558E-06
   207   0.546612E+04   0.659428E+00   0.000000E+00  -0.622999E+01   0.572193E-07   0.132665E-03  -0.258515E-06
   208   0.547389E+04   0.664932E+00   0.000000E+00  -0.487021E+01   0.569341E-07   0.131584E-03  -0.242589E-06
   209   0.548107E+04   0.671513E+00   0.000000E+00  -0.349256E+01   0.566512E-07   0.130512E-03  -0.226779E-06
   210   0.548765E+04   0.679210E+00   0.000000E+00  -0.209755E+01   0.563704E-07   0.129447E-03  -0.211083E-06
   211   0.549363E+04   0.688059E+00   0.000000E+00  -0.685720E+00   0.560918E-07   0.128390E-03  -0.195500E-06
   212   0.549903E+04   0.698093E+00   0.000000E+00   0.742396E+00   0.558154E-07   0.127341E-03  -0.180028E-06
   213   0.550385E+04   0.709349E+00   0.000000E+00   0.218627E+01   0.555411E-07   0.126299E-03  -0.164665E-06
   214   0.550808E+04   0.721863E+00   0.000000E+00   0.364536E+01   0.552689E-07   0.125266E-03  -0.149410E-06
   215   0.551175E+04   0.735665E+00   0.000000E+00   0.511912E+01   0.549988E-07   0.124240E-03  -0.134262E-06
   216   0.551482E+04   0.750798E+00   0.000000E+00   0.660697E+01   0.547308E-07   0.123221E-03  -0.119218E-06
   217   0.551730E+04   0.767291E+00   0.000000E+00   0.810831E+01   0.544648E-07   0.122211E-03  -0.104277E-06
   218   0.551919E+04   0.785172E+00   0.000000E+00   0.962267E+01   0.542009E-07   0.121208E-03  -0.894379E-07
   219   0.552048E+04   0.804486E+00   0.000000E+00   0.111494E+02   0.539390E-07   0.120212E-03  -0.746986E-07
   220   0.552116E+04   0.825262E+00   0.000000E+00   0.126880E+02   0.536790E-07   0.119223E-03  -0.600575E-07
   221   0.552125E+04   0.847527E+00   0.000000E+00   0.142377E+02   0.534211E-07   0.118243E-03  -0.455133E-07
   222   0.552072E+04   0.871325E+00   0.000000E+00   0.157981E+02   0.531652E-07   0.117269E-03  -0.310642E-07
   223   0.551958E+04   0.896678E+00   0.000000E+00   0.173685E+02   0.529111E-07   0.116303E-03  -0.167087E-07
   224   0.551785E+04   0.923622E+00   0.000000E+00   0.189483E+02   0.526590E-07   0.115344E-03  -0.244527E-08
   225   0.551551E+04   0.952178E+00   0.000000E+00   0.205367E+02   0.524088E-07   0.114392E-03   0.117278E-07
   226   0.551257E+04   0.982390E+00   0.000000E+00   0.221333E+02   0.521605E-07   0.113448E-03   0.258119E-07
   227   0.550903E+04   0.101429E+01   0.000000E+00   0.237373E+02   0.519141E-07   0.112511E-03   0.398088E-07
   228   0.550488E+04   0.104789E+01   0.000000E+00   0.253481E+02   0.516695E-07   0.111580E-03   0.537200E-07
   229   0.550015E+04   0.108323E+01   0.000000E+00   0.269650E+02   0.514267E-07   0.110657E-03   0.675471E-07
   230   0.549481E+04   0.112034E+01   0.000000E+00   0.285874E+02   0.511858E-07   0.109741E-03   0.812917E-07
   231   0.548889E+04   0.115924E+01   0.000000E+00   0.302146E+02   0.509466E-07   0.108832E-03   0.949552E-07
