#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   672   0.172754E+04  -0.498234E+02   0.841201E-05  -0.498234E+02   0.365957E+02  -0.121261E-05   0.841201E-05  -0.121261E-05   0.117819E-07
   673   0.172721E+04  -0.515450E+02   0.846740E-05  -0.515450E+02   0.366939E+02  -0.121462E-05   0.846740E-05  -0.121462E-05   0.117528E-07
   674   0.172707E+04  -0.532674E+02   0.852241E-05  -0.532674E+02   0.367864E+02  -0.121648E-05   0.852241E-05  -0.121648E-05   0.117238E-07
   675   0.172712E+04  -0.549899E+02   0.857701E-05  -0.549899E+02   0.368729E+02  -0.121820E-05   0.857701E-05  -0.121820E-05   0.116949E-07
   676   0.172738E+04  -0.567116E+02   0.863120E-05  -0.567116E+02   0.369535E+02  -0.121978E-05   0.863120E-05  -0.121978E-05   0.116661E-07
   677   0.172783E+04  -0.584320E+02   0.868498E-05  -0.584320E+02   0.370283E+02  -0.122122E-05   0.868498E-05  -0.122122E-05   0.116374E-07
   678   0.172846E+04  -0.601501E+02   0.873834E-05  -0.601501E+02   0.370970E+02  -0.122251E-05   0.873834E-05  -0.122251E-05   0.116088E-07
   679   0.172929E+04  -0.618652E+02   0.879125E-05  -0.618652E+02   0.371596E+02  -0.122366E-05   0.879125E-05  -0.122366E-05   0.115803E-07
   680   0.173032E+04  -0.635765E+02   0.884372E-05  -0.635765E+02   0.372162E+02  -0.122466E-05   0.884372E-05  -0.122466E-05   0.115519E-07
   681   0.173154E+04  -0.652832E+02   0.889574E-05  -0.652832E+02   0.372666E+02  -0.122553E-05   0.889574E-05  -0.122553E-05   0.115237E-07
   682   0.173294E+04  -0.669845E+02   0.894729E-05  -0.669845E+02   0.373109E+02  -0.122625E-05   0.894729E-05  -0.122625E-05   0.114955E-07
   683   0.173453E+04  -0.686797E+02   0.899838E-05  -0.686797E+02   0.373489E+02  -0.122683E-05   0.899838E-05  -0.122683E-05   0.114674E-07
   684   0.173632E+04  -0.703682E+02   0.904897E-05  -0.703682E+02   0.373807E+02  -0.122727E-05   0.904897E-05  -0.122727E-05   0.114394E-07
   685   0.173829E+04  -0.720492E+02   0.909908E-05  -0.720492E+02   0.374064E+02  -0.122757E-05   0.909908E-05  -0.122757E-05   0.114116E-07
   686   0.174044E+04  -0.737216E+02   0.914869E-05  -0.737216E+02   0.374259E+02  -0.122773E-05   0.914869E-05  -0.122773E-05   0.113838E-07
   687   0.174279E+04  -0.753857E+02   0.919779E-05  -0.753857E+02   0.374393E+02  -0.122775E-05   0.919779E-05  -0.122775E-05   0.113561E-07
   688   0.174531E+04  -0.770407E+02   0.924638E-05  -0.770407E+02   0.374466E+02  -0.122764E-05   0.924638E-05  -0.122764E-05   0.113286E-07
   689   0.174803E+04  -0.786852E+02   0.929443E-05  -0.786852E+02   0.374478E+02  -0.122738E-05   0.929443E-05  -0.122738E-05   0.113011E-07
   690   0.175092E+04  -0.803184E+02   0.934195E-05  -0.803184E+02   0.374430E+02  -0.122698E-05   0.934195E-05  -0.122698E-05   0.112738E-07
   691   0.175400E+04  -0.819403E+02   0.938892E-05  -0.819403E+02   0.374321E+02  -0.122644E-05   0.938892E-05  -0.122644E-05   0.112465E-07
   692   0.175725E+04  -0.835504E+02   0.943534E-05  -0.835504E+02   0.374152E+02  -0.122577E-05   0.943534E-05  -0.122577E-05   0.112193E-07
   693   0.176068E+04  -0.851478E+02   0.948119E-05  -0.851478E+02   0.373922E+02  -0.122496E-05   0.948119E-05  -0.122496E-05   0.111923E-07
   694   0.176428E+04  -0.867310E+02   0.952648E-05  -0.867310E+02   0.373633E+02  -0.122401E-05   0.952648E-05  -0.122401E-05   0.111653E-07
   695   0.176807E+04  -0.883002E+02   0.957117E-05  -0.883002E+02   0.373283E+02  -0.122293E-05   0.957117E-05  -0.122293E-05   0.111384E-07
   696   0.177201E+04  -0.898538E+02   0.961528E-05  -0.898538E+02   0.372872E+02  -0.122170E-05   0.961528E-05  -0.122170E-05   0.111116E-07
   697   0.177613E+04  -0.913919E+02   0.965879E-05  -0.913919E+02   0.372402E+02  -0.122034E-05   0.965879E-05  -0.122034E-05   0.110850E-07
   698   0.178041E+04  -0.929131E+02   0.970168E-05  -0.929131E+02   0.371871E+02  -0.121885E-05   0.970168E-05  -0.121885E-05   0.110584E-07
   699   0.178486E+04  -0.944172E+02   0.974396E-05  -0.944172E+02   0.371281E+02  -0.121722E-05   0.974396E-05  -0.121722E-05   0.110319E-07
   700   0.178946E+04  -0.959038E+02   0.978561E-05  -0.959038E+02   0.370632E+02  -0.121545E-05   0.978561E-05  -0.121545E-05   0.110055E-07
   701   0.179423E+04  -0.973719E+02   0.982663E-05  -0.973719E+02   0.369924E+02  -0.121355E-05   0.982663E-05  -0.121355E-05   0.109792E-07
   702   0.179914E+04  -0.988209E+02   0.986700E-05  -0.988209E+02   0.369156E+02  -0.121152E-05   0.986700E-05  -0.121152E-05   0.109530E-07
   703   0.180421E+04  -0.100251E+03   0.990674E-05  -0.100251E+03   0.368332E+02  -0.120935E-05   0.990674E-05  -0.120935E-05   0.109268E-07
   704   0.180944E+04  -0.101659E+03   0.994583E-05  -0.101659E+03   0.367448E+02  -0.120705E-05   0.994583E-05  -0.120705E-05   0.109008E-07
   705   0.181481E+04  -0.103047E+03   0.998428E-05  -0.103047E+03   0.366508E+02  -0.120462E-05   0.998428E-05  -0.120462E-05   0.108749E-07
   706   0.182033E+04  -0.104413E+03   0.100221E-04  -0.104413E+03   0.365511E+02  -0.120206E-05   0.100221E-04  -0.120206E-05   0.108490E-07
   707   0.182599E+04  -0.105757E+03   0.100593E-04  -0.105757E+03   0.364459E+02  -0.119936E-05   0.100593E-04  -0.119936E-05   0.108233E-07
   708   0.183179E+04  -0.107079E+03   0.100958E-04  -0.107079E+03   0.363349E+02  -0.119655E-05   0.100958E-04  -0.119655E-05   0.107976E-07
   709   0.183773E+04  -0.108377E+03   0.101316E-04  -0.108377E+03   0.362186E+02  -0.119360E-05   0.101316E-04  -0.119360E-05   0.107720E-07
   710   0.184380E+04  -0.109651E+03   0.101668E-04  -0.109651E+03   0.360967E+02  -0.119053E-05   0.101668E-04  -0.119053E-05   0.107466E-07
   711   0.185000E+04  -0.110901E+03   0.102014E-04  -0.110901E+03   0.359695E+02  -0.118733E-05   0.102014E-04  -0.118733E-05   0.107212E-07
   712   0.185634E+04  -0.112126E+03   0.102353E-04  -0.112126E+03   0.358368E+02  -0.118401E-05   0.102353E-04  -0.118401E-05   0.106959E-07
   713   0.186279E+04  -0.113324E+03   0.102686E-04  -0.113324E+03   0.356989E+02  -0.118056E-05   0.102686E-04  -0.118056E-05   0.106707E-07
   714   0.186936E+04  -0.114496E+03   0.103012E-04  -0.114496E+03   0.355557E+02  -0.117699E-05   0.103012E-04  -0.117699E-05   0.106455E-07
   715   0.187606E+04  -0.115642E+03   0.103331E-04  -0.115642E+03   0.354073E+02  -0.117330E-05   0.103331E-04  -0.117330E-05   0.106205E-07
   716   0.188286E+04  -0.116761E+03   0.103644E-04  -0.116761E+03   0.352537E+02  -0.116949E-05   0.103644E-04  -0.116949E-05   0.105955E-07
   717   0.188977E+04  -0.117851E+03   0.103951E-04  -0.117851E+03   0.350950E+02  -0.116556E-05   0.103951E-04  -0.116556E-05   0.105707E-07
   718   0.189679E+04  -0.118912E+03   0.104250E-04  -0.118912E+03   0.349312E+02  -0.116151E-05   0.104250E-04  -0.116151E-05   0.105459E-07
   719   0.190391E+04  -0.119944E+03   0.104543E-04  -0.119944E+03   0.347624E+02  -0.115735E-05   0.104543E-04  -0.115735E-05   0.105212E-07
   720   0.191114E+04  -0.120948E+03   0.104830E-04  -0.120948E+03   0.345887E+02  -0.115307E-05   0.104830E-04  -0.115307E-05   0.104966E-07
   721   0.191845E+04  -0.121921E+03   0.105110E-04  -0.121921E+03   0.344103E+02  -0.114867E-05   0.105110E-04  -0.114867E-05   0.104721E-07
   722   0.192586E+04  -0.122865E+03   0.105383E-04  -0.122865E+03   0.342272E+02  -0.114415E-05   0.105383E-04  -0.114415E-05   0.104477E-07
   723   0.193337E+04  -0.123778E+03   0.105649E-04  -0.123778E+03   0.340396E+02  -0.113953E-05   0.105649E-04  -0.113953E-05   0.104233E-07
   724   0.194096E+04  -0.124661E+03   0.105909E-04  -0.124661E+03   0.338475E+02  -0.113479E-05   0.105909E-04  -0.113479E-05   0.103990E-07
   725   0.194864E+04  -0.125512E+03   0.106162E-04  -0.125512E+03   0.336511E+02  -0.112994E-05   0.106162E-04  -0.112994E-05   0.103749E-07
   726   0.195640E+04  -0.126332E+03   0.106408E-04  -0.126332E+03   0.334504E+02  -0.112497E-05   0.106408E-04  -0.112497E-05   0.103508E-07
   727   0.196424E+04  -0.127120E+03   0.106648E-04  -0.127120E+03   0.332455E+02  -0.111990E-05   0.106648E-04  -0.111990E-05   0.103267E-07
   728   0.197215E+04  -0.127877E+03   0.106881E-04  -0.127877E+03   0.330365E+02  -0.111472E-05   0.106881E-04  -0.111472E-05   0.103028E-07
   729   0.198013E+04  -0.128600E+03   0.107107E-04  -0.128600E+03   0.328236E+02  -0.110943E-05   0.107107E-04  -0.110943E-05   0.102789E-07
   730   0.198818E+04  -0.129290E+03   0.107326E-04  -0.129290E+03   0.326067E+02  -0.110403E-05   0.107326E-04  -0.110403E-05   0.102552E-07
   731   0.199630E+04  -0.129948E+03   0.107539E-04  -0.129948E+03   0.323859E+02  -0.109853E-05   0.107539E-04  -0.109853E-05   0.102315E-07
   732   0.200447E+04  -0.130572E+03   0.107744E-04  -0.130572E+03   0.321614E+02  -0.109292E-05   0.107744E-04  -0.109292E-05   0.102079E-07
   733   0.201269E+04  -0.131161E+03   0.107943E-04  -0.131161E+03   0.319333E+02  -0.108721E-05   0.107943E-04  -0.108721E-05   0.101843E-07
   734   0.202097E+04  -0.131716E+03   0.108136E-04  -0.131716E+03   0.317015E+02  -0.108140E-05   0.108136E-04  -0.108140E-05   0.101609E-07
   735   0.202928E+04  -0.132237E+03   0.108321E-04  -0.132237E+03   0.314664E+02  -0.107548E-05   0.108321E-04  -0.107548E-05   0.101375E-07
   736   0.203765E+04  -0.132723E+03   0.108499E-04  -0.132723E+03   0.312280E+02  -0.106946E-05   0.108499E-04  -0.106946E-05   0.101142E-07
   737   0.204605E+04  -0.133174E+03   0.108671E-04  -0.133174E+03   0.309863E+02  -0.106334E-05   0.108671E-04  -0.106334E-05   0.100910E-07
   738   0.205448E+04  -0.133590E+03   0.108835E-04  -0.133590E+03   0.307415E+02  -0.105713E-05   0.108835E-04  -0.105713E-05   0.100679E-07
   739   0.206294E+04  -0.133970E+03   0.108993E-04  -0.133970E+03   0.304937E+02  -0.105081E-05   0.108993E-04  -0.105081E-05   0.100448E-07
   740   0.207143E+04  -0.134313E+03   0.109144E-04  -0.134313E+03   0.302430E+02  -0.104440E-05   0.109144E-04  -0.104440E-05   0.100219E-07
   741   0.207993E+04  -0.134621E+03   0.109288E-04  -0.134621E+03   0.299897E+02  -0.103789E-05   0.109288E-04  -0.103789E-05   0.999897E-08
   742   0.208845E+04  -0.134894E+03   0.109425E-04  -0.134894E+03   0.297336E+02  -0.103128E-05   0.109425E-04  -0.103128E-05   0.997614E-08
   743   0.209698E+04  -0.135130E+03   0.109555E-04  -0.135130E+03   0.294751E+02  -0.102458E-05   0.109555E-04  -0.102458E-05   0.995340E-08
   744   0.210552E+04  -0.135329E+03   0.109678E-04  -0.135329E+03   0.292142E+02  -0.101779E-05   0.109678E-04  -0.101779E-05   0.993072E-08
   745   0.211405E+04  -0.135492E+03   0.109794E-04  -0.135492E+03   0.289511E+02  -0.101090E-05   0.109794E-04  -0.101090E-05   0.990813E-08
   746   0.212258E+04  -0.135620E+03   0.109903E-04  -0.135620E+03   0.286859E+02  -0.100393E-05   0.109903E-04  -0.100393E-05   0.988561E-08
   747   0.213111E+04  -0.135710E+03   0.110005E-04  -0.135710E+03   0.284186E+02  -0.996859E-06   0.110005E-04  -0.996859E-06   0.986316E-08
   748   0.213962E+04  -0.135763E+03   0.110100E-04  -0.135763E+03   0.281495E+02  -0.989701E-06   0.110100E-04  -0.989701E-06   0.984079E-08
   749   0.214812E+04  -0.135780E+03   0.110188E-04  -0.135780E+03   0.278785E+02  -0.982455E-06   0.110188E-04  -0.982455E-06   0.981849E-08
   750   0.215659E+04  -0.135761E+03   0.110269E-04  -0.135761E+03   0.276059E+02  -0.975121E-06   0.110269E-04  -0.975121E-06   0.979626E-08
   751   0.216504E+04  -0.135705E+03   0.110343E-04  -0.135705E+03   0.273318E+02  -0.967701E-06   0.110343E-04  -0.967701E-06   0.977411E-08
   752   0.217346E+04  -0.135611E+03   0.110410E-04  -0.135611E+03   0.270562E+02  -0.960195E-06   0.110410E-04  -0.960195E-06   0.975203E-08
   753   0.218185E+04  -0.135482E+03   0.110470E-04  -0.135482E+03   0.267792E+02  -0.952606E-06   0.110470E-04  -0.952606E-06   0.973002E-08
   754   0.219021E+04  -0.135315E+03   0.110523E-04  -0.135315E+03   0.265011E+02  -0.944935E-06   0.110523E-04  -0.944935E-06   0.970809E-08
   755   0.219852E+04  -0.135112E+03   0.110569E-04  -0.135112E+03   0.262219E+02  -0.937183E-06   0.110569E-04  -0.937183E-06   0.968623E-08
   756   0.220678E+04  -0.134872E+03   0.110608E-04  -0.134872E+03   0.259418E+02  -0.929352E-06   0.110608E-04  -0.929352E-06   0.966443E-08
   757   0.221501E+04  -0.134596E+03   0.110640E-04  -0.134596E+03   0.256611E+02  -0.921444E-06   0.110640E-04  -0.921444E-06   0.964271E-08
   758   0.222320E+04  -0.134285E+03   0.110665E-04  -0.134285E+03   0.253796E+02  -0.913460E-06   0.110665E-04  -0.913460E-06   0.962106E-08
   759   0.223133E+04  -0.133937E+03   0.110684E-04  -0.133937E+03   0.250977E+02  -0.905402E-06   0.110684E-04  -0.905402E-06   0.959948E-08
   760   0.223940E+04  -0.133553E+03   0.110695E-04  -0.133553E+03   0.248154E+02  -0.897271E-06   0.110695E-04  -0.897271E-06   0.957797E-08
   761   0.224743E+04  -0.133133E+03   0.110700E-04  -0.133133E+03   0.245330E+02  -0.889069E-06   0.110700E-04  -0.889069E-06   0.955653E-08
   762   0.225538E+04  -0.132678E+03   0.110698E-04  -0.132678E+03   0.242504E+02  -0.880798E-06   0.110698E-04  -0.880798E-06   0.953516E-08
   763   0.226328E+04  -0.132187E+03   0.110690E-04  -0.132187E+03   0.239679E+02  -0.872458E-06   0.110690E-04  -0.872458E-06   0.951386E-08
   764   0.227109E+04  -0.131660E+03   0.110675E-04  -0.131660E+03   0.236854E+02  -0.864052E-06   0.110675E-04  -0.864052E-06   0.949263E-08
   765   0.227883E+04  -0.131097E+03   0.110653E-04  -0.131097E+03   0.234032E+02  -0.855581E-06   0.110653E-04  -0.855581E-06   0.947147E-08
   766   0.228650E+04  -0.130499E+03   0.110625E-04  -0.130499E+03   0.231214E+02  -0.847047E-06   0.110625E-04  -0.847047E-06   0.945037E-08
   767   0.229406E+04  -0.129864E+03   0.110590E-04  -0.129864E+03   0.228400E+02  -0.838452E-06   0.110590E-04  -0.838452E-06   0.942934E-08
   768   0.230155E+04  -0.129194E+03   0.110548E-04  -0.129194E+03   0.225592E+02  -0.829796E-06   0.110548E-04  -0.829796E-06   0.940838E-08
   769   0.230893E+04  -0.128488E+03   0.110500E-04  -0.128488E+03   0.222793E+02  -0.821081E-06   0.110500E-04  -0.821081E-06   0.938749E-08
   770   0.231621E+04  -0.127749E+03   0.110445E-04  -0.127749E+03   0.220002E+02  -0.812309E-06   0.110445E-04  -0.812309E-06   0.936667E-08
   771   0.232339E+04  -0.126975E+03   0.110384E-04  -0.126975E+03   0.217221E+02  -0.803482E-06   0.110384E-04  -0.803482E-06   0.934591E-08
   772   0.233046E+04  -0.126166E+03   0.110317E-04  -0.126166E+03   0.214453E+02  -0.794601E-06   0.110317E-04  -0.794601E-06   0.932522E-08
   773   0.233742E+04  -0.125324E+03   0.110243E-04  -0.125324E+03   0.211698E+02  -0.785668E-06   0.110243E-04  -0.785668E-06   0.930459E-08
   774   0.234425E+04  -0.124449E+03   0.110163E-04  -0.124449E+03   0.208958E+02  -0.776683E-06   0.110163E-04  -0.776683E-06   0.928403E-08
   775   0.235097E+04  -0.123541E+03   0.110076E-04  -0.123541E+03   0.206233E+02  -0.767650E-06   0.110076E-04  -0.767650E-06   0.926354E-08
   776   0.235757E+04  -0.122601E+03   0.109983E-04  -0.122601E+03   0.203526E+02  -0.758569E-06   0.109983E-04  -0.758569E-06   0.924311E-08
   777   0.236406E+04  -0.121628E+03   0.109884E-04  -0.121628E+03   0.200837E+02  -0.749441E-06   0.109884E-04  -0.749441E-06   0.922274E-08
   778   0.237042E+04  -0.120625E+03   0.109779E-04  -0.120625E+03   0.198168E+02  -0.740270E-06   0.109779E-04  -0.740270E-06   0.920244E-08
   779   0.237666E+04  -0.119590E+03   0.109667E-04  -0.119590E+03   0.195519E+02  -0.731055E-06   0.109667E-04  -0.731055E-06   0.918221E-08
   780   0.238277E+04  -0.118525E+03   0.109549E-04  -0.118525E+03   0.192892E+02  -0.721799E-06   0.109549E-04  -0.721799E-06   0.916203E-08
   781   0.238876E+04  -0.117430E+03   0.109425E-04  -0.117430E+03   0.190288E+02  -0.712502E-06   0.109425E-04  -0.712502E-06   0.914193E-08
   782   0.239462E+04  -0.116306E+03   0.109295E-04  -0.116306E+03   0.187708E+02  -0.703168E-06   0.109295E-04  -0.703168E-06   0.912188E-08
   783   0.240035E+04  -0.115151E+03   0.109159E-04  -0.115151E+03   0.185153E+02  -0.693797E-06   0.109159E-04  -0.693797E-06   0.910190E-08
   784   0.240594E+04  -0.113967E+03   0.109017E-04  -0.113967E+03   0.182624E+02  -0.684391E-06   0.109017E-04  -0.684391E-06   0.908198E-08
   785   0.241138E+04  -0.112754E+03   0.108869E-04  -0.112754E+03   0.180122E+02  -0.674951E-06   0.108869E-04  -0.674951E-06   0.906213E-08
   786   0.241667E+04  -0.111510E+03   0.108714E-04  -0.111510E+03   0.177647E+02  -0.665479E-06   0.108714E-04  -0.665479E-06   0.904233E-08
   787   0.242181E+04  -0.110239E+03   0.108554E-04  -0.110239E+03   0.175202E+02  -0.655976E-06   0.108554E-04  -0.655976E-06   0.902260E-08
   788   0.242680E+04  -0.108938E+03   0.108388E-04  -0.108938E+03   0.172787E+02  -0.646445E-06   0.108388E-04  -0.646445E-06   0.900293E-08
   789   0.243161E+04  -0.107610E+03   0.108216E-04  -0.107610E+03   0.170404E+02  -0.636886E-06   0.108216E-04  -0.636886E-06   0.898332E-08
   790   0.243626E+04  -0.106253E+03   0.108038E-04  -0.106253E+03   0.168054E+02  -0.627301E-06   0.108038E-04  -0.627301E-06   0.896377E-08
   791   0.244075E+04  -0.104871E+03   0.107854E-04  -0.104871E+03   0.165738E+02  -0.617693E-06   0.107854E-04  -0.617693E-06   0.894428E-08
   792   0.244507E+04  -0.103463E+03   0.107664E-04  -0.103463E+03   0.163458E+02  -0.608061E-06   0.107664E-04  -0.608061E-06   0.892485E-08
   793   0.244921E+04  -0.102031E+03   0.107468E-04  -0.102031E+03   0.161215E+02  -0.598408E-06   0.107468E-04  -0.598408E-06   0.890549E-08
   794   0.245319E+04  -0.100574E+03   0.107267E-04  -0.100574E+03   0.159011E+02  -0.588736E-06   0.107267E-04  -0.588736E-06   0.888618E-08
   795   0.245699E+04  -0.990956E+02   0.107060E-04  -0.990956E+02   0.156848E+02  -0.579046E-06   0.107060E-04  -0.579046E-06   0.886693E-08
   796   0.246062E+04  -0.975936E+02   0.106847E-04  -0.975936E+02   0.154724E+02  -0.569340E-06   0.106847E-04  -0.569340E-06   0.884774E-08
   797   0.246408E+04  -0.960700E+02   0.106629E-04  -0.960700E+02   0.152642E+02  -0.559618E-06   0.106629E-04  -0.559618E-06   0.882861E-08
   798   0.246736E+04  -0.945246E+02   0.106405E-04  -0.945246E+02   0.150602E+02  -0.549883E-06   0.106405E-04  -0.549883E-06   0.880953E-08
   799   0.247048E+04  -0.929583E+02   0.106175E-04  -0.929583E+02   0.148604E+02  -0.540137E-06   0.106175E-04  -0.540137E-06   0.879052E-08
   800   0.247341E+04  -0.913702E+02   0.105940E-04  -0.913702E+02   0.146649E+02  -0.530380E-06   0.105940E-04  -0.530380E-06   0.877156E-08
   801   0.247617E+04  -0.897626E+02   0.105699E-04  -0.897626E+02   0.144737E+02  -0.520615E-06   0.105699E-04  -0.520615E-06   0.875266E-08
   802   0.247875E+04  -0.881347E+02   0.105453E-04  -0.881347E+02   0.142869E+02  -0.510841E-06   0.105453E-04  -0.510841E-06   0.873382E-08
   803   0.248115E+04  -0.864872E+02   0.105201E-04  -0.864872E+02   0.141047E+02  -0.501060E-06   0.105201E-04  -0.501060E-06   0.871503E-08
   804   0.248338E+04  -0.848216E+02   0.104944E-04  -0.848216E+02   0.139270E+02  -0.491272E-06   0.104944E-04  -0.491272E-06   0.869631E-08
   805   0.248541E+04  -0.831371E+02   0.104682E-04  -0.831371E+02   0.137541E+02  -0.481477E-06   0.104682E-04  -0.481477E-06   0.867763E-08
   806   0.248724E+04  -0.814359E+02   0.104414E-04  -0.814359E+02   0.135861E+02  -0.471677E-06   0.104414E-04  -0.471677E-06   0.865902E-08
   807   0.248887E+04  -0.797165E+02   0.104142E-04  -0.797165E+02   0.134231E+02  -0.461870E-06   0.104142E-04  -0.461870E-06   0.864046E-08
   808   0.249031E+04  -0.779818E+02   0.103864E-04  -0.779818E+02   0.132652E+02  -0.452059E-06   0.103864E-04  -0.452059E-06   0.862195E-08
   809   0.249153E+04  -0.762311E+02   0.103581E-04  -0.762311E+02   0.131125E+02  -0.442244E-06   0.103581E-04  -0.442244E-06   0.860351E-08
   810   0.249255E+04  -0.744650E+02   0.103293E-04  -0.744650E+02   0.129651E+02  -0.432424E-06   0.103293E-04  -0.432424E-06   0.858511E-08
   811   0.249336E+04  -0.726852E+02   0.103001E-04  -0.726852E+02   0.128230E+02  -0.422601E-06   0.103001E-04  -0.422601E-06   0.856677E-08
   812   0.249398E+04  -0.708924E+02   0.102703E-04  -0.708924E+02   0.126862E+02  -0.412776E-06   0.102703E-04  -0.412776E-06   0.854849E-08
   813   0.249439E+04  -0.690874E+02   0.102401E-04  -0.690874E+02   0.125549E+02  -0.402947E-06   0.102401E-04  -0.402947E-06   0.853026E-08
   814   0.249462E+04  -0.672711E+02   0.102094E-04  -0.672711E+02   0.124290E+02  -0.393118E-06   0.102094E-04  -0.393118E-06   0.851209E-08
   815   0.249466E+04  -0.654445E+02   0.101783E-04  -0.654445E+02   0.123085E+02  -0.383286E-06   0.101783E-04  -0.383286E-06   0.849397E-08
   816   0.249451E+04  -0.636083E+02   0.101466E-04  -0.636083E+02   0.121936E+02  -0.373454E-06   0.101466E-04  -0.373454E-06   0.847591E-08
   817   0.249418E+04  -0.617630E+02   0.101146E-04  -0.617630E+02   0.120843E+02  -0.363622E-06   0.101146E-04  -0.363622E-06   0.845790E-08
   818   0.249365E+04  -0.599088E+02   0.100821E-04  -0.599088E+02   0.119807E+02  -0.353790E-06   0.100821E-04  -0.353790E-06   0.843994E-08
   819   0.249292E+04  -0.580463E+02   0.100492E-04  -0.580463E+02   0.118827E+02  -0.343959E-06   0.100492E-04  -0.343959E-06   0.842204E-08
   820   0.249198E+04  -0.561757E+02   0.100158E-04  -0.561757E+02   0.117906E+02  -0.334129E-06   0.100158E-04  -0.334129E-06   0.840418E-08
   821   0.249082E+04  -0.542974E+02   0.998204E-05  -0.542974E+02   0.117043E+02  -0.324301E-06   0.998204E-05  -0.324301E-06   0.838639E-08
   822   0.248946E+04  -0.524117E+02   0.994785E-05  -0.524117E+02   0.116239E+02  -0.314475E-06   0.994785E-05  -0.314475E-06   0.836864E-08
   823   0.248786E+04  -0.505190E+02   0.991325E-05  -0.505190E+02   0.115495E+02  -0.304652E-06   0.991325E-05  -0.304652E-06   0.835095E-08
   824   0.248606E+04  -0.486205E+02   0.987825E-05  -0.486205E+02   0.114812E+02  -0.294833E-06   0.987825E-05  -0.294833E-06   0.833331E-08
   825   0.248405E+04  -0.467172E+02   0.984285E-05  -0.467172E+02   0.114188E+02  -0.285017E-06   0.984285E-05  -0.285017E-06   0.831572E-08
   826   0.248182E+04  -0.448104E+02   0.980707E-05  -0.448104E+02   0.113626E+02  -0.275206E-06   0.980707E-05  -0.275206E-06   0.829818E-08
   827   0.247940E+04  -0.429011E+02   0.977091E-05  -0.429011E+02   0.113124E+02  -0.265400E-06   0.977091E-05  -0.265400E-06   0.828070E-08
   828   0.247678E+04  -0.409903E+02   0.973437E-05  -0.409903E+02   0.112683E+02  -0.255599E-06   0.973437E-05  -0.255599E-06   0.826326E-08
   829   0.247397E+04  -0.390795E+02   0.969747E-05  -0.390795E+02   0.112303E+02  -0.245804E-06   0.969747E-05  -0.245804E-06   0.824588E-08
   830   0.247098E+04  -0.371694E+02   0.966020E-05  -0.371694E+02   0.111985E+02  -0.236016E-06   0.966020E-05  -0.236016E-06   0.822855E-08
   831   0.246780E+04  -0.352605E+02   0.962258E-05  -0.352605E+02   0.111728E+02  -0.226235E-06   0.962258E-05  -0.226235E-06   0.821127E-08
   832   0.246443E+04  -0.333533E+02   0.958462E-05  -0.333533E+02   0.111532E+02  -0.216461E-06   0.958462E-05  -0.216461E-06   0.819404E-08
   833   0.246086E+04  -0.314479E+02   0.954631E-05  -0.314479E+02   0.111400E+02  -0.206696E-06   0.954631E-05  -0.206696E-06   0.817686E-08
   834   0.245709E+04  -0.295448E+02   0.950767E-05  -0.295448E+02   0.111330E+02  -0.196939E-06   0.950767E-05  -0.196939E-06   0.815973E-08
   835   0.245312E+04  -0.276443E+02   0.946871E-05  -0.276443E+02   0.111322E+02  -0.187191E-06   0.946871E-05  -0.187191E-06   0.814265E-08
   836   0.244893E+04  -0.257466E+02   0.942942E-05  -0.257466E+02   0.111378E+02  -0.177453E-06   0.942942E-05  -0.177453E-06   0.812562E-08
   837   0.244453E+04  -0.238523E+02   0.938982E-05  -0.238523E+02   0.111497E+02  -0.167725E-06   0.938982E-05  -0.167725E-06   0.810864E-08
   838   0.243994E+04  -0.219620E+02   0.934992E-05  -0.219620E+02   0.111679E+02  -0.158008E-06   0.934992E-05  -0.158008E-06   0.809170E-08
   839   0.243513E+04  -0.200770E+02   0.930971E-05  -0.200770E+02   0.111924E+02  -0.148302E-06   0.930971E-05  -0.148302E-06   0.807482E-08
   840   0.243013E+04  -0.181980E+02   0.926921E-05  -0.181980E+02   0.112231E+02  -0.138608E-06   0.926921E-05  -0.138608E-06   0.805799E-08
   841   0.242494E+04  -0.163262E+02   0.922842E-05  -0.163262E+02   0.112601E+02  -0.128926E-06   0.922842E-05  -0.128926E-06   0.804120E-08
   842   0.241956E+04  -0.144623E+02   0.918736E-05  -0.144623E+02   0.113032E+02  -0.119257E-06   0.918736E-05  -0.119257E-06   0.802446E-08
   843   0.241399E+04  -0.126075E+02   0.914602E-05  -0.126075E+02   0.113524E+02  -0.109601E-06   0.914602E-05  -0.109601E-06   0.800777E-08
   844   0.240827E+04  -0.107626E+02   0.910441E-05  -0.107626E+02   0.114076E+02  -0.999591E-07   0.910441E-05  -0.999591E-07   0.799113E-08
   845   0.240236E+04  -0.892819E+01   0.906254E-05  -0.892819E+01   0.114690E+02  -0.903315E-07   0.906254E-05  -0.903315E-07   0.797453E-08
   846   0.239627E+04  -0.710488E+01   0.902043E-05  -0.710488E+01   0.115365E+02  -0.807187E-07   0.902043E-05  -0.807187E-07   0.795799E-08
   847   0.239000E+04  -0.529315E+01   0.897806E-05  -0.529315E+01   0.116101E+02  -0.711213E-07   0.897806E-05  -0.711213E-07   0.794148E-08
