#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    24   0.941679E+03   0.155671E+01   0.150457E-02   0.155671E+01   0.941671E-02   0.164935E-07   0.150457E-02   0.164935E-07   0.140235E-06
    25   0.955952E+03   0.160819E+01   0.146155E-02   0.160819E+01   0.108889E-01   0.159346E-06   0.146155E-02   0.159346E-06   0.141033E-06
    26   0.970260E+03   0.166394E+01   0.142093E-02   0.166394E+01   0.125460E-01  -0.199248E-08   0.142093E-02  -0.199248E-08   0.141723E-06
    27   0.985008E+03   0.172218E+01   0.138222E-02   0.172218E+01   0.143812E-01  -0.326170E-06   0.138222E-02  -0.326170E-06   0.142313E-06
    28   0.100003E+04   0.177484E+01   0.134502E-02   0.177484E+01   0.163728E-01  -0.649965E-06   0.134502E-02  -0.649965E-06   0.142812E-06
    29   0.101524E+04   0.182476E+01   0.130946E-02   0.182476E+01   0.185369E-01  -0.905132E-06   0.130946E-02  -0.905132E-06   0.143219E-06
    30   0.103085E+04   0.186312E+01   0.127570E-02   0.186312E+01   0.208904E-01  -0.106380E-05   0.127570E-02  -0.106380E-05   0.143536E-06
    31   0.104627E+04   0.189730E+01   0.124348E-02   0.189730E+01   0.234086E-01  -0.116467E-05   0.124348E-02  -0.116467E-05   0.143773E-06
    32   0.106230E+04   0.191940E+01   0.121243E-02   0.191940E+01   0.260947E-01  -0.124520E-05   0.121243E-02  -0.124520E-05   0.143943E-06
    33   0.107842E+04   0.192853E+01   0.118230E-02   0.192853E+01   0.289388E-01  -0.127145E-05   0.118230E-02  -0.127145E-05   0.144050E-06
    34   0.109458E+04   0.192777E+01   0.115291E-02   0.192777E+01   0.320010E-01  -0.119906E-05   0.115291E-02  -0.119906E-05   0.144097E-06
    35   0.111138E+04   0.191211E+01   0.112420E-02   0.191211E+01   0.352963E-01  -0.101329E-05   0.112420E-02  -0.101329E-05   0.144088E-06
    36   0.112789E+04   0.189511E+01   0.109630E-02   0.189511E+01   0.388486E-01  -0.731631E-06   0.109630E-02  -0.731631E-06   0.144026E-06
    37   0.114466E+04   0.186888E+01   0.106976E-02   0.186888E+01   0.426520E-01  -0.470720E-06   0.106976E-02  -0.470720E-06   0.143916E-06
    38   0.116177E+04   0.183285E+01   0.104506E-02   0.183285E+01   0.466693E-01  -0.339244E-06   0.104506E-02  -0.339244E-06   0.143762E-06
    39   0.117913E+04   0.178772E+01   0.102186E-02   0.178772E+01   0.509157E-01  -0.314927E-06   0.102186E-02  -0.314927E-06   0.143565E-06
    40   0.119667E+04   0.173348E+01   0.999626E-03   0.173348E+01   0.554222E-01  -0.342750E-06   0.999626E-03  -0.342750E-06   0.143327E-06
