#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.237228E+00   0.522900E+06   0.518275E+06   0.103825E+01   0.101233E+01   0.000000E+00   0.522186E+06   0.522186E+06   0.522186E+06  -0.249243E-01   0.458296E+06   0.458172E+06   0.157198E+00
   0.242627E+00   0.508312E+06   0.503984E+06   0.964918E+00   0.940828E+00   0.000000E+00   0.507644E+06   0.507644E+06   0.507644E+06  -0.242302E-01   0.445533E+06   0.445416E+06   0.144709E+00
   0.248027E+00   0.495149E+06   0.491138E+06   0.899515E+00   0.877057E+00   0.000000E+00   0.494530E+06   0.494530E+06   0.494530E+06  -0.236043E-01   0.434023E+06   0.433913E+06   0.132650E+00
   0.253426E+00   0.482648E+06   0.478923E+06   0.839894E+00   0.818925E+00   0.000000E+00   0.482073E+06   0.482073E+06   0.482073E+06  -0.230097E-01   0.423090E+06   0.422986E+06   0.122163E+00
   0.258826E+00   0.470139E+06   0.466632E+06   0.784381E+00   0.764798E+00   0.000000E+00   0.469598E+06   0.469598E+06   0.469598E+06  -0.224142E-01   0.412140E+06   0.412042E+06   0.113895E+00
   0.264225E+00   0.457246E+06   0.453874E+06   0.732020E+00   0.713744E+00   0.000000E+00   0.456725E+06   0.456725E+06   0.456725E+06  -0.217998E-01   0.400843E+06   0.400748E+06   0.107937E+00
   0.269625E+00   0.443965E+06   0.440653E+06   0.682567E+00   0.665526E+00   0.000000E+00   0.443454E+06   0.443454E+06   0.443454E+06  -0.211664E-01   0.389196E+06   0.389102E+06   0.103906E+00
   0.275024E+00   0.430542E+06   0.427235E+06   0.636170E+00   0.620288E+00   0.000000E+00   0.430031E+06   0.430031E+06   0.430031E+06  -0.205257E-01   0.377415E+06   0.377323E+06   0.101117E+00
   0.280423E+00   0.417303E+06   0.413980E+06   0.593064E+00   0.578258E+00   0.000000E+00   0.416790E+06   0.416790E+06   0.416790E+06  -0.198937E-01   0.365795E+06   0.365702E+06   0.987951E-01
   0.285823E+00   0.404590E+06   0.401258E+06   0.553453E+00   0.539635E+00   0.000000E+00   0.404076E+06   0.404076E+06   0.404076E+06  -0.192868E-01   0.354636E+06   0.354544E+06   0.962816E-01
   0.291222E+00   0.392720E+06   0.389412E+06   0.517464E+00   0.504545E+00   0.000000E+00   0.392210E+06   0.392210E+06   0.392210E+06  -0.187205E-01   0.344222E+06   0.344132E+06   0.931661E-01
   0.296622E+00   0.381895E+06   0.378650E+06   0.485041E+00   0.472932E+00   0.000000E+00   0.381394E+06   0.381394E+06   0.381394E+06  -0.182042E-01   0.334730E+06   0.334641E+06   0.893307E-01
   0.302021E+00   0.372111E+06   0.368968E+06   0.455872E+00   0.444490E+00   0.000000E+00   0.371626E+06   0.371626E+06   0.371626E+06  -0.177380E-01   0.326157E+06   0.326071E+06   0.849115E-01
   0.307421E+00   0.363191E+06   0.360178E+06   0.429462E+00   0.418740E+00   0.000000E+00   0.362726E+06   0.362726E+06   0.362726E+06  -0.173132E-01   0.318346E+06   0.318263E+06   0.802121E-01
   0.312820E+00   0.354884E+06   0.352010E+06   0.405292E+00   0.395173E+00   0.000000E+00   0.354441E+06   0.354441E+06   0.354441E+06  -0.169177E-01   0.311074E+06   0.310995E+06   0.755980E-01
   0.318219E+00   0.346946E+06   0.344202E+06   0.382906E+00   0.373346E+00   0.000000E+00   0.346523E+06   0.346523E+06   0.346523E+06  -0.165398E-01   0.304125E+06   0.304049E+06   0.713923E-01
   0.323619E+00   0.339159E+06   0.336523E+06   0.361933E+00   0.352897E+00   0.000000E+00   0.338752E+06   0.338752E+06   0.338752E+06  -0.161689E-01   0.297304E+06   0.297231E+06   0.678005E-01
   0.329018E+00   0.331364E+06   0.328809E+06   0.342107E+00   0.333566E+00   0.000000E+00   0.330969E+06   0.330969E+06   0.330969E+06  -0.157974E-01   0.290474E+06   0.290403E+06   0.648799E-01
   0.334418E+00   0.323508E+06   0.321006E+06   0.323298E+00   0.315226E+00   0.000000E+00   0.323122E+06   0.323122E+06   0.323122E+06  -0.154229E-01   0.283587E+06   0.283517E+06   0.625537E-01
   0.339817E+00   0.315653E+06   0.313182E+06   0.305498E+00   0.297871E+00   0.000000E+00   0.315272E+06   0.315272E+06   0.315272E+06  -0.150481E-01   0.276697E+06   0.276628E+06   0.606542E-01
   0.345217E+00   0.307922E+06   0.305472E+06   0.288760E+00   0.281550E+00   0.000000E+00   0.307543E+06   0.307543E+06   0.307543E+06  -0.146793E-01   0.269915E+06   0.269847E+06   0.589763E-01
   0.350616E+00   0.300441E+06   0.298012E+06   0.273128E+00   0.266309E+00   0.000000E+00   0.300066E+06   0.300066E+06   0.300066E+06  -0.143224E-01   0.263352E+06   0.263285E+06   0.573304E-01
   0.356015E+00   0.293310E+06   0.290909E+06   0.258614E+00   0.252157E+00   0.000000E+00   0.292939E+06   0.292939E+06   0.292939E+06  -0.139822E-01   0.257097E+06   0.257031E+06   0.555832E-01
   0.361415E+00   0.286592E+06   0.284233E+06   0.245195E+00   0.239074E+00   0.000000E+00   0.286228E+06   0.286228E+06   0.286228E+06  -0.136619E-01   0.251207E+06   0.251143E+06   0.536784E-01
   0.366814E+00   0.280306E+06   0.278001E+06   0.232809E+00   0.226997E+00   0.000000E+00   0.279950E+06   0.279950E+06   0.279950E+06  -0.133622E-01   0.245698E+06   0.245634E+06   0.516333E-01
   0.372214E+00   0.274412E+06   0.272171E+06   0.221352E+00   0.215825E+00   0.000000E+00   0.274066E+06   0.274066E+06   0.274066E+06  -0.130814E-01   0.240533E+06   0.240472E+06   0.495179E-01
   0.377613E+00   0.268827E+06   0.266655E+06   0.210693E+00   0.205433E+00   0.000000E+00   0.268492E+06   0.268492E+06   0.268492E+06  -0.128153E-01   0.235641E+06   0.235582E+06   0.474269E-01
   0.383013E+00   0.263461E+06   0.261355E+06   0.200710E+00   0.195699E+00   0.000000E+00   0.263136E+06   0.263136E+06   0.263136E+06  -0.125597E-01   0.230941E+06   0.230883E+06   0.454518E-01
   0.388412E+00   0.258236E+06   0.256190E+06   0.191299E+00   0.186523E+00   0.000000E+00   0.257920E+06   0.257920E+06   0.257920E+06  -0.123107E-01   0.226363E+06   0.226306E+06   0.436589E-01
   0.393811E+00   0.253094E+06   0.251098E+06   0.182385E+00   0.177832E+00   0.000000E+00   0.252786E+06   0.252786E+06   0.252786E+06  -0.120656E-01   0.221857E+06   0.221801E+06   0.420766E-01
   0.399211E+00   0.248002E+06   0.246047E+06   0.173915E+00   0.169573E+00   0.000000E+00   0.247700E+06   0.247700E+06   0.247700E+06  -0.118229E-01   0.217393E+06   0.217339E+06   0.406939E-01
   0.404610E+00   0.242963E+06   0.241040E+06   0.165863E+00   0.161722E+00   0.000000E+00   0.242666E+06   0.242666E+06   0.242666E+06  -0.115826E-01   0.212975E+06   0.212922E+06   0.394709E-01
   0.410010E+00   0.238011E+06   0.236115E+06   0.158230E+00   0.154279E+00   0.000000E+00   0.237718E+06   0.237718E+06   0.237718E+06  -0.113465E-01   0.208633E+06   0.208580E+06   0.383529E-01
   0.415409E+00   0.233192E+06   0.231321E+06   0.151021E+00   0.147250E+00   0.000000E+00   0.232903E+06   0.232903E+06   0.232903E+06  -0.111166E-01   0.204407E+06   0.204355E+06   0.372851E-01
   0.420809E+00   0.228538E+06   0.226694E+06   0.144232E+00   0.140631E+00   0.000000E+00   0.228254E+06   0.228254E+06   0.228254E+06  -0.108947E-01   0.200326E+06   0.200275E+06   0.362234E-01
   0.426208E+00   0.224068E+06   0.222253E+06   0.137850E+00   0.134408E+00   0.000000E+00   0.223788E+06   0.223788E+06   0.223788E+06  -0.106815E-01   0.196407E+06   0.196357E+06   0.351432E-01
   0.431607E+00   0.219791E+06   0.218009E+06   0.131856E+00   0.128564E+00   0.000000E+00   0.219516E+06   0.219516E+06   0.219516E+06  -0.104777E-01   0.192658E+06   0.192609E+06   0.340410E-01
   0.437007E+00   0.215706E+06   0.213962E+06   0.126228E+00   0.123077E+00   0.000000E+00   0.215437E+06   0.215437E+06   0.215437E+06  -0.102830E-01   0.189078E+06   0.189030E+06   0.329308E-01
   0.442406E+00   0.211791E+06   0.210085E+06   0.120931E+00   0.117912E+00   0.000000E+00   0.211528E+06   0.211528E+06   0.211528E+06  -0.100964E-01   0.185647E+06   0.185600E+06   0.318357E-01
   0.447806E+00   0.208008E+06   0.206340E+06   0.115925E+00   0.113030E+00   0.000000E+00   0.207750E+06   0.207750E+06   0.207750E+06  -0.991607E-02   0.182331E+06   0.182285E+06   0.307807E-01
   0.453205E+00   0.204325E+06   0.202694E+06   0.111176E+00   0.108400E+00   0.000000E+00   0.204074E+06   0.204074E+06   0.204074E+06  -0.974058E-02   0.179105E+06   0.179060E+06   0.297861E-01
   0.458605E+00   0.200727E+06   0.199128E+06   0.106662E+00   0.103999E+00   0.000000E+00   0.200480E+06   0.200480E+06   0.200480E+06  -0.956906E-02   0.175951E+06   0.175906E+06   0.288639E-01
   0.464004E+00   0.197199E+06   0.195630E+06   0.102363E+00   0.998071E-01   0.000000E+00   0.196957E+06   0.196957E+06   0.196957E+06  -0.940090E-02   0.172859E+06   0.172815E+06   0.280151E-01
   0.469403E+00   0.193733E+06   0.192190E+06   0.982633E-01   0.958100E-01   0.000000E+00   0.193495E+06   0.193495E+06   0.193495E+06  -0.923567E-02   0.169821E+06   0.169778E+06   0.272307E-01
   0.474803E+00   0.190330E+06   0.188811E+06   0.943538E-01   0.919982E-01   0.000000E+00   0.190096E+06   0.190096E+06   0.190096E+06  -0.907341E-02   0.166837E+06   0.166795E+06   0.264964E-01
   0.480202E+00   0.187004E+06   0.185507E+06   0.906315E-01   0.883687E-01   0.000000E+00   0.186773E+06   0.186773E+06   0.186773E+06  -0.891481E-02   0.163921E+06   0.163879E+06   0.257963E-01
   0.485602E+00   0.183770E+06   0.182295E+06   0.870943E-01   0.849199E-01   0.000000E+00   0.183543E+06   0.183543E+06   0.183543E+06  -0.876062E-02   0.161086E+06   0.161045E+06   0.251164E-01
   0.491001E+00   0.180636E+06   0.179184E+06   0.837363E-01   0.816457E-01   0.000000E+00   0.180412E+06   0.180412E+06   0.180412E+06  -0.861119E-02   0.158338E+06   0.158298E+06   0.244471E-01
   0.496401E+00   0.177601E+06   0.176172E+06   0.805478E-01   0.785369E-01   0.000000E+00   0.177380E+06   0.177380E+06   0.177380E+06  -0.846649E-02   0.155677E+06   0.155638E+06   0.237840E-01
   0.501800E+00   0.174663E+06   0.173257E+06   0.775197E-01   0.755844E-01   0.000000E+00   0.174446E+06   0.174446E+06   0.174446E+06  -0.832642E-02   0.153102E+06   0.153063E+06   0.231282E-01
   0.507199E+00   0.171819E+06   0.170438E+06   0.746427E-01   0.727792E-01   0.000000E+00   0.171606E+06   0.171606E+06   0.171606E+06  -0.819086E-02   0.150609E+06   0.150571E+06   0.224848E-01
   0.512599E+00   0.169061E+06   0.167705E+06   0.719058E-01   0.701106E-01   0.000000E+00   0.168852E+06   0.168852E+06   0.168852E+06  -0.805943E-02   0.148192E+06   0.148155E+06   0.218602E-01
   0.517998E+00   0.166376E+06   0.165044E+06   0.692965E-01   0.675664E-01   0.000000E+00   0.166171E+06   0.166171E+06   0.166171E+06  -0.793145E-02   0.145839E+06   0.145802E+06   0.212601E-01
   0.523398E+00   0.163752E+06   0.162443E+06   0.668037E-01   0.651359E-01   0.000000E+00   0.163550E+06   0.163550E+06   0.163550E+06  -0.780636E-02   0.143539E+06   0.143503E+06   0.206885E-01
   0.528797E+00   0.161183E+06   0.159896E+06   0.644199E-01   0.628116E-01   0.000000E+00   0.160985E+06   0.160985E+06   0.160985E+06  -0.768392E-02   0.141288E+06   0.141252E+06   0.201467E-01
   0.534197E+00   0.158669E+06   0.157401E+06   0.621395E-01   0.605881E-01   0.000000E+00   0.158473E+06   0.158473E+06   0.158473E+06  -0.756405E-02   0.139084E+06   0.139049E+06   0.196334E-01
   0.539596E+00   0.156207E+06   0.154958E+06   0.599570E-01   0.584601E-01   0.000000E+00   0.156014E+06   0.156014E+06   0.156014E+06  -0.744667E-02   0.136925E+06   0.136891E+06   0.191451E-01
   0.544995E+00   0.153796E+06   0.152566E+06   0.578677E-01   0.564230E-01   0.000000E+00   0.153606E+06   0.153606E+06   0.153606E+06  -0.733174E-02   0.134812E+06   0.134778E+06   0.186770E-01
   0.550395E+00   0.151439E+06   0.150226E+06   0.558684E-01   0.544736E-01   0.000000E+00   0.151252E+06   0.151252E+06   0.151252E+06  -0.721938E-02   0.132746E+06   0.132713E+06   0.182246E-01
   0.555794E+00   0.149142E+06   0.147946E+06   0.539569E-01   0.526098E-01   0.000000E+00   0.148957E+06   0.148957E+06   0.148957E+06  -0.710984E-02   0.130732E+06   0.130699E+06   0.177845E-01
   0.561194E+00   0.146905E+06   0.145726E+06   0.521298E-01   0.508283E-01   0.000000E+00   0.146723E+06   0.146723E+06   0.146723E+06  -0.700320E-02   0.128771E+06   0.128739E+06   0.173544E-01
   0.566593E+00   0.144726E+06   0.143565E+06   0.503824E-01   0.491246E-01   0.000000E+00   0.144547E+06   0.144547E+06   0.144547E+06  -0.689932E-02   0.126861E+06   0.126829E+06   0.169336E-01
   0.571993E+00   0.142602E+06   0.141458E+06   0.487101E-01   0.474940E-01   0.000000E+00   0.142425E+06   0.142425E+06   0.142425E+06  -0.679806E-02   0.124999E+06   0.124968E+06   0.165224E-01
   0.577392E+00   0.140531E+06   0.139404E+06   0.471092E-01   0.459330E-01   0.000000E+00   0.140357E+06   0.140357E+06   0.140357E+06  -0.669934E-02   0.123184E+06   0.123153E+06   0.161222E-01
   0.582791E+00   0.138511E+06   0.137401E+06   0.455757E-01   0.444379E-01   0.000000E+00   0.138340E+06   0.138340E+06   0.138340E+06  -0.660305E-02   0.121413E+06   0.121383E+06   0.157345E-01
   0.588191E+00   0.136537E+06   0.135444E+06   0.441052E-01   0.430040E-01   0.000000E+00   0.136368E+06   0.136368E+06   0.136368E+06  -0.650895E-02   0.119683E+06   0.119653E+06   0.153606E-01
   0.593590E+00   0.134604E+06   0.133527E+06   0.426933E-01   0.416274E-01   0.000000E+00   0.134437E+06   0.134437E+06   0.134437E+06  -0.641679E-02   0.117989E+06   0.117959E+06   0.150007E-01
   0.598990E+00   0.132709E+06   0.131648E+06   0.413371E-01   0.403051E-01   0.000000E+00   0.132546E+06   0.132546E+06   0.132546E+06  -0.632650E-02   0.116328E+06   0.116299E+06   0.146547E-01
   0.604389E+00   0.130855E+06   0.129808E+06   0.400344E-01   0.390349E-01   0.000000E+00   0.130693E+06   0.130693E+06   0.130693E+06  -0.623809E-02   0.114703E+06   0.114674E+06   0.143219E-01
   0.609789E+00   0.129039E+06   0.128007E+06   0.387829E-01   0.378146E-01   0.000000E+00   0.128880E+06   0.128880E+06   0.128880E+06  -0.615153E-02   0.113111E+06   0.113083E+06   0.140009E-01
   0.615188E+00   0.127261E+06   0.126242E+06   0.375798E-01   0.366416E-01   0.000000E+00   0.127103E+06   0.127103E+06   0.127103E+06  -0.606674E-02   0.111552E+06   0.111524E+06   0.136903E-01
   0.620587E+00   0.125519E+06   0.124514E+06   0.364233E-01   0.355140E-01   0.000000E+00   0.125364E+06   0.125364E+06   0.125364E+06  -0.598371E-02   0.110025E+06   0.109997E+06   0.133887E-01
   0.625987E+00   0.123816E+06   0.122824E+06   0.353120E-01   0.344304E-01   0.000000E+00   0.123663E+06   0.123663E+06   0.123663E+06  -0.590252E-02   0.108532E+06   0.108505E+06   0.130952E-01
   0.631386E+00   0.122152E+06   0.121173E+06   0.342441E-01   0.333892E-01   0.000000E+00   0.122001E+06   0.122001E+06   0.122001E+06  -0.582319E-02   0.107074E+06   0.107047E+06   0.128092E-01
   0.680140E+00   0.108619E+06   0.107750E+06   0.262413E-01   0.255862E-01   0.000000E+00   0.108485E+06   0.108485E+06   0.108485E+06  -0.517806E-02   0.952115E+05   0.951875E+05   0.105641E-01
   0.732659E+00   0.965079E+05   0.957355E+05   0.200926E-01   0.195910E-01   0.000000E+00   0.963887E+05   0.963887E+05   0.963887E+05  -0.460070E-02   0.845952E+05   0.845739E+05   0.871040E-02
   0.789233E+00   0.856866E+05   0.850009E+05   0.153737E-01   0.149899E-01   0.000000E+00   0.855808E+05   0.855808E+05   0.855808E+05  -0.408483E-02   0.751098E+05   0.750908E+05   0.717734E-02
   0.811282E+00   0.819808E+05   0.813248E+05   0.139202E-01   0.135727E-01   0.000000E+00   0.818796E+05   0.818796E+05   0.818796E+05  -0.390817E-02   0.718614E+05   0.718433E+05   0.667903E-02
   0.100425E+01   0.580321E+05   0.575679E+05   0.643081E-02   0.627026E-02   0.000000E+00   0.579605E+05   0.579605E+05   0.579605E+05  -0.276649E-02   0.508688E+05   0.508560E+05   0.381482E-02
   0.124311E+01   0.408759E+05   0.405490E+05   0.295617E-02   0.288236E-02   0.000000E+00   0.408254E+05   0.408254E+05   0.408254E+05  -0.194863E-02   0.358303E+05   0.358213E+05   0.216726E-02
   0.153878E+01   0.286626E+05   0.284335E+05   0.135283E-02   0.131905E-02   0.000000E+00   0.286273E+05   0.286273E+05   0.286273E+05  -0.136640E-02   0.251247E+05   0.251184E+05   0.122495E-02
   0.190478E+01   0.200167E+05   0.198567E+05   0.616568E-03   0.601174E-03   0.000000E+00   0.199920E+05   0.199920E+05   0.199920E+05  -0.954231E-03   0.175459E+05   0.175415E+05   0.688832E-03
   0.235783E+01   0.139270E+05   0.138157E+05   0.279970E-03   0.272980E-03   0.000000E+00   0.139098E+05   0.139098E+05   0.139098E+05  -0.663927E-03   0.122079E+05   0.122049E+05   0.385302E-03
   0.291864E+01   0.965734E+04   0.958021E+04   0.126700E-03   0.123536E-03   0.000000E+00   0.964544E+04   0.964544E+04   0.964544E+04  -0.460384E-03   0.846529E+04   0.846320E+04   0.214257E-03
   0.361284E+01   0.667602E+04   0.662272E+04   0.571609E-04   0.557338E-04   0.000000E+00   0.666779E+04   0.666779E+04   0.666779E+04  -0.318258E-03   0.585196E+04   0.585054E+04   0.118312E-03
   0.447215E+01   0.460205E+04   0.456533E+04   0.257157E-04   0.250736E-04   0.000000E+00   0.459638E+04   0.459638E+04   0.459638E+04  -0.219389E-03   0.403400E+04   0.403303E+04   0.647474E-04
   0.553586E+01   0.316417E+04   0.313895E+04   0.115391E-04   0.112510E-04   0.000000E+00   0.316028E+04   0.316028E+04   0.316028E+04  -0.150842E-03   0.277360E+04   0.277296E+04   0.349974E-04
   0.685256E+01   0.217037E+04   0.215309E+04   0.516548E-05   0.503652E-05   0.000000E+00   0.216770E+04   0.216770E+04   0.216770E+04  -0.103466E-03   0.190247E+04   0.190205E+04   0.185739E-04
   0.848245E+01   0.148543E+04   0.147363E+04   0.230726E-05   0.224966E-05   0.000000E+00   0.148361E+04   0.148361E+04   0.148361E+04  -0.708138E-04   0.130208E+04   0.130181E+04   0.957661E-05
   0.105000E+02   0.101459E+04   0.100656E+04   0.102849E-05   0.100282E-05   0.000000E+00   0.101335E+04   0.101335E+04   0.101335E+04  -0.483678E-04   0.889355E+03   0.889190E+03   0.469865E-05
