#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186551E-03   0.120046E+08   0.120045E+08   0.146074E+08   0.145622E+08   0.000000E+00   0.120046E+08   0.120046E+08   0.120131E+08  -0.573790E+00   0.105378E+08   0.105377E+08   0.152316E+03
   0.205994E-03   0.120036E+08   0.120034E+08   0.143154E+08   0.142613E+08   0.000000E+00   0.120036E+08   0.120036E+08   0.120119E+08  -0.573731E+00   0.105370E+08   0.105368E+08   0.167026E+03
   0.227463E-03   0.120024E+08   0.120022E+08   0.139670E+08   0.139022E+08   0.000000E+00   0.120024E+08   0.120024E+08   0.120105E+08  -0.573660E+00   0.105359E+08   0.105358E+08   0.182881E+03
   0.251170E-03   0.120009E+08   0.120007E+08   0.135533E+08   0.134761E+08   0.000000E+00   0.120009E+08   0.120009E+08   0.120088E+08  -0.573574E+00   0.105346E+08   0.105345E+08   0.199876E+03
   0.277348E-03   0.119992E+08   0.119989E+08   0.130647E+08   0.129732E+08   0.000000E+00   0.119991E+08   0.119991E+08   0.120067E+08  -0.573469E+00   0.105331E+08   0.105329E+08   0.217967E+03
   0.306255E-03   0.119970E+08   0.119967E+08   0.124920E+08   0.123842E+08   0.000000E+00   0.119970E+08   0.119970E+08   0.120042E+08  -0.573343E+00   0.105312E+08   0.105310E+08   0.237059E+03
   0.338173E-03   0.119944E+08   0.119940E+08   0.118266E+08   0.117007E+08   0.000000E+00   0.119944E+08   0.119944E+08   0.120012E+08  -0.573191E+00   0.105289E+08   0.105286E+08   0.256988E+03
   0.373419E-03   0.119913E+08   0.119908E+08   0.110620E+08   0.109162E+08   0.000000E+00   0.119912E+08   0.119912E+08   0.119976E+08  -0.573009E+00   0.105262E+08   0.105258E+08   0.277507E+03
   0.412338E-03   0.119875E+08   0.119869E+08   0.101952E+08   0.100283E+08   0.000000E+00   0.119874E+08   0.119874E+08   0.119933E+08  -0.572791E+00   0.105228E+08   0.105224E+08   0.298260E+03
   0.455314E-03   0.119829E+08   0.119823E+08   0.922897E+07   0.904078E+07   0.000000E+00   0.119828E+08   0.119828E+08   0.119882E+08  -0.572530E+00   0.105188E+08   0.105183E+08   0.318765E+03
   0.502768E-03   0.119774E+08   0.119766E+08   0.817440E+07   0.796587E+07   0.000000E+00   0.119773E+08   0.119773E+08   0.119820E+08  -0.572220E+00   0.105140E+08   0.105134E+08   0.338399E+03
   0.555168E-03   0.119708E+08   0.119699E+08   0.705340E+07   0.682738E+07   0.000000E+00   0.119707E+08   0.119707E+08   0.119748E+08  -0.571853E+00   0.105082E+08   0.105075E+08   0.356392E+03
   0.613030E-03   0.119630E+08   0.119619E+08   0.590091E+07   0.566256E+07   0.000000E+00   0.119628E+08   0.119628E+08   0.119662E+08  -0.571421E+00   0.105012E+08   0.105005E+08   0.371837E+03
   0.676922E-03   0.119536E+08   0.119523E+08   0.476538E+07   0.452249E+07   0.000000E+00   0.119534E+08   0.119534E+08   0.119561E+08  -0.570915E+00   0.104929E+08   0.104921E+08   0.383731E+03
   0.747473E-03   0.119425E+08   0.119410E+08   0.370622E+07   0.346914E+07   0.000000E+00   0.119423E+08   0.119423E+08   0.119444E+08  -0.570325E+00   0.104831E+08   0.104821E+08   0.391050E+03
   0.825378E-03   0.119294E+08   0.119277E+08   0.278638E+07   0.256728E+07   0.000000E+00   0.119291E+08   0.119291E+08   0.119307E+08  -0.569642E+00   0.104715E+08   0.104704E+08   0.392870E+03
   0.911402E-03   0.119140E+08   0.119121E+08   0.205925E+07   0.187044E+07   0.000000E+00   0.119137E+08   0.119137E+08   0.119148E+08  -0.568853E+00   0.104578E+08   0.104566E+08   0.388522E+03
   0.100639E-02   0.118959E+08   0.118939E+08   0.155105E+07   0.140246E+07   0.000000E+00   0.118956E+08   0.118956E+08   0.118965E+08  -0.567948E+00   0.104418E+08   0.104405E+08   0.377770E+03
   0.111128E-02   0.118750E+08   0.118727E+08   0.124452E+07   0.114075E+07   0.000000E+00   0.118746E+08   0.118746E+08   0.118753E+08  -0.566910E+00   0.104231E+08   0.104218E+08   0.360941E+03
   0.122710E-02   0.118506E+08   0.118482E+08   0.107453E+07   0.101280E+07   0.000000E+00   0.118503E+08   0.118503E+08   0.118509E+08  -0.565723E+00   0.104015E+08   0.104002E+08   0.338965E+03
   0.135500E-02   0.118226E+08   0.118200E+08   0.948030E+06   0.918483E+06   0.000000E+00   0.118222E+08   0.118222E+08   0.118228E+08  -0.564366E+00   0.103767E+08   0.103753E+08   0.313253E+03
   0.149622E-02   0.117904E+08   0.117877E+08   0.790551E+06   0.779818E+06   0.000000E+00   0.117900E+08   0.117900E+08   0.117904E+08  -0.562813E+00   0.103482E+08   0.103468E+08   0.285422E+03
   0.165216E-02   0.117535E+08   0.117507E+08   0.595672E+06   0.592154E+06   0.000000E+00   0.117530E+08   0.117530E+08   0.117534E+08  -0.561039E+00   0.103157E+08   0.103143E+08   0.257000E+03
   0.182435E-02   0.117113E+08   0.117086E+08   0.427661E+06   0.424676E+06   0.000000E+00   0.117109E+08   0.117109E+08   0.117111E+08  -0.559015E+00   0.102785E+08   0.102771E+08   0.229297E+03
   0.201449E-02   0.116633E+08   0.116606E+08   0.346738E+06   0.341047E+06   0.000000E+00   0.116629E+08   0.116629E+08   0.116631E+08  -0.556715E+00   0.102363E+08   0.102349E+08   0.203497E+03
   0.222445E-02   0.116089E+08   0.116061E+08   0.321932E+06   0.255877E+06   0.000000E+00   0.116084E+08   0.116084E+08   0.116086E+08  -0.554108E+00   0.101884E+08   0.101871E+08   0.180720E+03
   0.245629E-02   0.115472E+08   0.115444E+08   0.268790E+06   0.208753E+06   0.000000E+00   0.115468E+08   0.115468E+08   0.115470E+08  -0.551162E+00   0.101343E+08   0.101329E+08   0.161670E+03
   0.271230E-02   0.114778E+08   0.114748E+08   0.191175E+06   0.170184E+06   0.000000E+00   0.114773E+08   0.114773E+08   0.114774E+08  -0.547840E+00   0.100732E+08   0.100719E+08   0.146084E+03
   0.299498E-02   0.113996E+08   0.113965E+08   0.158084E+06   0.138630E+06   0.000000E+00   0.113992E+08   0.113992E+08   0.113993E+08  -0.544106E+00   0.100046E+08   0.100032E+08   0.132869E+03
   0.330713E-02   0.113121E+08   0.113087E+08   0.135940E+06   0.112825E+06   0.000000E+00   0.113116E+08   0.113116E+08   0.113117E+08  -0.539923E+00   0.992765E+07   0.992632E+07   0.120891E+03
   0.365181E-02   0.112143E+08   0.112107E+08   0.992769E+05   0.917347E+05   0.000000E+00   0.112138E+08   0.112138E+08   0.112138E+08  -0.535252E+00   0.984177E+07   0.984043E+07   0.109378E+03
   0.403241E-02   0.111055E+08   0.111016E+08   0.931305E+05   0.745060E+05   0.000000E+00   0.111049E+08   0.111049E+08   0.111049E+08  -0.530053E+00   0.974617E+07   0.974485E+07   0.982405E+02
   0.445269E-02   0.109847E+08   0.109805E+08   0.670140E+05   0.604415E+05   0.000000E+00   0.109841E+08   0.109841E+08   0.109841E+08  -0.524285E+00   0.964011E+07   0.963880E+07   0.881622E+02
   0.491676E-02   0.108512E+08   0.108465E+08   0.556090E+05   0.489679E+05   0.000000E+00   0.108504E+08   0.108504E+08   0.108505E+08  -0.517905E+00   0.952281E+07   0.952150E+07   0.794977E+02
   0.542920E-02   0.107039E+08   0.106988E+08   0.413112E+05   0.396157E+05   0.000000E+00   0.107031E+08   0.107031E+08   0.107032E+08  -0.510873E+00   0.939351E+07   0.939221E+07   0.719259E+02
   0.599505E-02   0.105422E+08   0.105364E+08   0.348037E+05   0.319993E+05   0.000000E+00   0.105413E+08   0.105413E+08   0.105413E+08  -0.503147E+00   0.925146E+07   0.925016E+07   0.648757E+02
   0.661988E-02   0.103650E+08   0.103586E+08   0.284897E+05   0.258027E+05   0.000000E+00   0.103640E+08   0.103640E+08   0.103640E+08  -0.494686E+00   0.909587E+07   0.909458E+07   0.583906E+02
   0.730983E-02   0.101716E+08   0.101643E+08   0.229845E+05   0.207666E+05   0.000000E+00   0.101705E+08   0.101705E+08   0.101705E+08  -0.485447E+00   0.892600E+07   0.892471E+07   0.527445E+02
   0.807169E-02   0.996107E+07   0.995270E+07   0.188010E+05   0.166787E+05   0.000000E+00   0.995978E+07   0.995978E+07   0.995979E+07  -0.475389E+00   0.874107E+07   0.873979E+07   0.476926E+02
   0.891295E-02   0.973256E+07   0.972296E+07   0.136533E+05   0.133648E+05   0.000000E+00   0.973107E+07   0.973107E+07   0.973108E+07  -0.464473E+00   0.854035E+07   0.853907E+07   0.431020E+02
   0.984188E-02   0.948523E+07   0.947418E+07   0.120742E+05   0.106821E+05   0.000000E+00   0.948352E+07   0.948352E+07   0.948353E+07  -0.452657E+00   0.832309E+07   0.832180E+07   0.390716E+02
   0.108676E-01   0.921827E+07   0.920551E+07   0.871754E+04   0.851393E+04   0.000000E+00   0.921630E+07   0.921630E+07   0.921630E+07  -0.439902E+00   0.808856E+07   0.808728E+07   0.354467E+02
   0.120003E-01   0.893088E+07   0.891614E+07   0.811103E+04   0.676462E+04   0.000000E+00   0.892861E+07   0.892861E+07   0.892861E+07  -0.426170E+00   0.783608E+07   0.783479E+07   0.322446E+02
   0.132510E-01   0.862237E+07   0.860533E+07   0.540372E+04   0.535599E+04   0.000000E+00   0.861974E+07   0.861974E+07   0.861974E+07  -0.411427E+00   0.756501E+07   0.756371E+07   0.293858E+02
   0.146321E-01   0.829215E+07   0.827249E+07   0.505223E+04   0.422414E+04   0.000000E+00   0.828912E+07   0.828912E+07   0.828912E+07  -0.395646E+00   0.727485E+07   0.727354E+07   0.268515E+02
   0.161571E-01   0.793988E+07   0.791726E+07   0.368279E+04   0.331694E+04   0.000000E+00   0.793639E+07   0.793639E+07   0.793639E+07  -0.378810E+00   0.696529E+07   0.696397E+07   0.245844E+02
   0.178410E-01   0.756560E+07   0.753971E+07   0.255278E+04   0.259187E+04   0.000000E+00   0.756161E+07   0.756161E+07   0.756161E+07  -0.360921E+00   0.663638E+07   0.663504E+07   0.225453E+02
   0.197005E-01   0.716995E+07   0.714053E+07   0.222906E+04   0.201430E+04   0.000000E+00   0.716541E+07   0.716541E+07   0.716541E+07  -0.342010E+00   0.628867E+07   0.628731E+07   0.206907E+02
