4495.3072 8185.6605 8471.2559 4495.3072 8185.6605 8471.2559
3121.4673 5174.6749 7913.6742 3121.4673 5174.6749 7913.6742
472.6448 878.0641 2037.5616 472.6448 878.0641 2037.5616
1986.9193 3947.5079 5302.1625 1986.9193 3947.5079 5302.1625
979.4377 1951.7974 2309.1633 979.4377 1951.7974 2309.1633
1125.8299 2170.1018 2588.3967 1125.8299 2170.1018 2588.3967
718.4210 1436.1159 1447.9120 718.4210 1436.1159 1447.9120
676.7366 1221.7415 1563.4987 676.7366 1221.7415 1563.4987
465.7726 1022.6086 958.8542 465.7726 1022.6086 958.8542
514.5450 989.5143 1339.6224 514.5450 989.5143 1339.6224
373.9563 810.1425 936.9665 373.9563 810.1425 936.9665
382.0631 750.8922 818.1350 382.0631 750.8922 818.1350
328.1288 568.9163 729.5991 328.1288 568.9163 729.5991
281.2673 628.0146 787.3292 281.2673 628.0146 787.3292
273.9542 615.4395 637.0206 273.9542 615.4395 637.0206
219.6457 502.8583 556.7938 219.6457 502.8583 556.7938
197.6286 459.8247 513.0695 197.6286 459.8247 513.0695
177.4538 427.4972 503.4181 177.4538 427.4972 503.4181
160.8364 391.0179 436.0377 160.8364 391.0179 436.0377
147.3705 334.6590 314.8648 147.3705 334.6590 314.8648
138.9706 319.3124 282.8218 138.9706 319.3124 282.8218
118.7185 276.1658 277.8634 118.7185 276.1658 277.8634
109.5700 281.2007 255.9455 109.5700 281.2007 255.9455
