0.3750 0.4632 0.2937 28095.7734 22443.1465 18747.4023
0.3509 0.3961 0.3804 -3070.8994 -9439.2109 1422.4313
0.0833 0.1047 0.1357 -3315.5632 -10459.6367 -18654.9707
0.4539 0.6108 0.5053 -330.8884 -14241.9297 -6976.5591
0.2825 0.3826 0.2832 -5712.1279 -7389.5762 3437.7114
0.4405 0.5764 0.4202 11768.2178 22789.3105 5786.6758
0.3249 0.4431 0.2998 2564.4075 4564.0059 1026.4652
0.3732 0.4593 0.3756 6791.8682 -2771.3337 3945.8679
0.3065 0.4408 0.2832 8066.7285 10753.2012 -1871.1289
0.3796 0.4894 0.4315 5946.3833 -216.6373 1913.8481
0.3226 0.4645 0.3616 2506.9031 5041.5107 7054.4937
0.3719 0.4886 0.3606 -800.5661 10798.7734 7872.9111
0.3536 0.4131 0.3247 -9111.6992 -4585.0068 -7132.2666
0.3427 0.5101 0.4025 -142.6612 5170.6221 6528.3091
0.3696 0.5615 0.4007 -1251.8091 -1075.5857 -131.4178
0.3237 0.4955 0.3730 39.3510 1982.6520 4851.4707
0.3141 0.4768 0.3779 7591.5835 1312.0787 -533.9465
0.3030 0.4957 0.3795 1561.5043 6331.0366 8636.2451
0.2989 0.4771 0.3779 1396.5192 1986.6963 3554.0693
0.2951 0.4556 0.3203 1063.2802 3747.7419 693.6125
0.2989 0.4504 0.3140 2116.0190 2403.9937 3236.6011
0.2679 0.4144 0.3208 3809.3701 -245.2640 5302.2822
0.2649 0.4538 0.3099 1843.2098 -1835.6580 -653.2608
